good_bad_flag,pct_ontime,total_ontime,max_active_of_loans,max_approval_duration,bank_name_clients,max_age_at_loan,avg_age_at_loan,employment_status,bank_account_type,total_num_of_loans,termdays
Good,50,1,2,1.018888889,Keystone Bank,39,39.4,Permanent,Savings,3,15
Good,100,2,2,1.002777778,First Bank,30,29.9,Unknown,Savings,3,30
Bad,50,1,2,1.018888889,Zenith Bank,42,41.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,28,27.5,Unknown,Savings,3,15
Good,100,2,2,1.019722222,Access Bank,27,26.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Zenith Bank,33,33.3,Permanent,Savings,3,30
Bad,50,1,2,1.018888889,Access Bank,35,34.8,Unknown,Savings,3,15
Bad,50,1,2,1.019166667,GT Bank,43,42.5,Permanent,Savings,3,30
Good,100,2,2,1.018611111,GT Bank,33,33.1,Permanent,Savings,3,30
Good,50,1,2,1.018888889,Fidelity Bank,45,44.7,Permanent,Savings,3,15
Bad,50,1,2,1.003055556,UBA,29,28.6,Unknown,Savings,3,30
Good,100,2,2,1.018888889,First Bank,51,51.2,Unknown,Savings,3,30
Bad,0,0,2,1.003055556,First Bank,27,26.8,Unknown,Savings,3,30
Good,100,2,2,1.0025,GT Bank,41,41.1,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Access Bank,26,26.4,Permanent,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,29,29.1,Permanent,Savings,3,15
Good,100,2,2,1.018888889,First Bank,31,31,Permanent,Savings,3,30
Good,50,1,2,1.018888889,UBA,31,30.8,Unknown,Savings,3,30
Good,100,2,2,1.018611111,Diamond Bank,35,35.2,Permanent,Savings,3,15
Bad,50,1,2,1.018888889,Stanbic IBTC,34,33.5,Unknown,Savings,3,15
Good,100,2,2,1.019444444,Access Bank,33,32.6,ContractRetiredUnemployed,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,32,32.2,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,29,28.8,Permanent,Savings,3,30
Good,100,2,2,1.818055556,Stanbic IBTC,35,35.3,Permanent,Savings,3,15
Bad,50,1,2,1.019444444,Access Bank,22,21.8,Unknown,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Savings,3,30
Bad,50,1,2,1.0025,Access Bank,36,36,Permanent,Savings,3,30
Good,100,2,2,1.005,UBA,27,27.2,Unknown,Savings,3,30
Bad,50,1,2,1.018888889,Diamond Bank,36,36.5,Permanent,Savings,3,15
Good,50,1,2,1.018888889,Heritage Bank,42,42.1,Permanent,Other,3,30
Good,50,1,2,1.019166667,Wema Bank,37,37.2,Permanent,Savings,3,15
Bad,0,0,2,1.018611111,Sterling Bank,25,25.2,Permanent,Savings,3,30
Good,100,2,2,1.018888889,UBA,28,28.3,Permanent,Savings,3,15
Good,100,2,2,1.019166667,Access Bank,30,29.8,Permanent,Savings,3,30
Good,50,1,2,1.019722222,Access Bank,33,32.7,Permanent,Savings,3,30
Good,100,2,2,1.002222222,EcoBank,35,34.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,37,37,Unknown,Savings,3,30
Good,100,2,2,1.019444444,Diamond Bank,36,35.8,Permanent,Savings,3,30
Good,100,2,2,1.018888889,UBA,33,32.8,Unknown,Savings,3,15
Good,100,2,2,1.019166667,UBA,32,32.1,Permanent,Savings,3,15
Bad,0,0,2,1.003333333,Access Bank,31,31.1,Permanent,Savings,3,30
Good,100,2,2,1.002222222,Access Bank,35,34.9,Permanent,Other,3,30
Good,100,2,2,1.018888889,Skye Bank,42,42,Permanent,Savings,3,30
Bad,0,0,2,1.019166667,FCMB,23,22.9,Unknown,Savings,3,30
Bad,50,1,2,1.019166667,Access Bank,32,31.6,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Zenith Bank,35,34.9,Permanent,Savings,3,30
Bad,0,0,2,1.018888889,First Bank,53,52.5,Permanent,Savings,3,30
Good,50,1,2,1.002222222,Diamond Bank,38,37.6,Permanent,Savings,3,30
Good,100,2,2,1.008055556,First Bank,35,35.1,Permanent,Savings,3,30
Good,50,1,2,1.018611111,GT Bank,32,32,Unknown,Savings,3,15
Good,100,2,2,1.019166667,Zenith Bank,27,26.8,Permanent,Savings,3,15
Good,100,2,2,1.019166667,UBA,34,34.1,Permanent,Savings,3,30
Good,50,1,2,1.003333333,UBA,33,33.1,Permanent,Savings,3,30
Bad,50,1,2,1.018888889,Stanbic IBTC,28,27.8,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Access Bank,39,38.9,Permanent,Savings,3,30
Good,100,2,2,1.001944444,UBA,30,30.4,Permanent,Savings,3,30
Bad,0,0,2,1.019166667,Access Bank,28,27.6,Permanent,Savings,3,30
Good,100,2,2,1.002222222,First Bank,34,34.3,Permanent,Savings,3,15
Good,100,2,2,1.020555556,GT Bank,36,35.8,Unknown,Savings,3,15
Bad,0,0,2,1.003888889,GT Bank,29,28.7,Permanent,Savings,3,15
Bad,50,1,2,1.004444444,GT Bank,35,34.9,Unknown,Savings,3,15
Good,50,1,2,1.019166667,Sterling Bank,38,37.8,Permanent,Savings,3,30
Good,50,1,2,1.019166667,Sterling Bank,38,37.8,Permanent,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,38,37.6,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,25,24.8,Unknown,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,35,34.7,Unknown,Savings,3,30
Good,100,2,2,1.019166667,Skye Bank,31,30.5,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Wema Bank,37,37.2,Permanent,Savings,3,30
Good,100,2,2,1.018611111,Zenith Bank,24,24.3,Permanent,Savings,3,30
Bad,50,1,2,1.018611111,UBA,25,25,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,31,31.5,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,29,29.2,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,34,33.9,Permanent,Savings,3,30
Bad,0,0,2,1.018611111,GT Bank,37,37.2,Permanent,Savings,3,15
Good,100,2,2,1.018888889,Zenith Bank,40,39.5,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Stanbic IBTC,36,36.3,Permanent,Savings,3,30
Good,100,2,2,1.018888889,UBA,26,25.5,Permanent,Savings,3,30
Bad,0,0,2,1.018888889,GT Bank,27,27.4,Permanent,Savings,3,15
Bad,50,1,2,1.012222222,Diamond Bank,26,25.7,Permanent,Other,3,30
Good,50,1,2,1.018888889,EcoBank,34,33.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,36,36.4,Permanent,Savings,3,30
Good,50,1,2,1.018611111,GT Bank,33,33.4,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Zenith Bank,31,31.1,Permanent,Savings,3,30
Good,100,2,2,1.019166667,UBA,41,41.2,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Access Bank,51,51.3,Unknown,Savings,3,15
Good,100,2,2,1.018611111,GT Bank,34,33.7,Permanent,Savings,3,30
Bad,0,0,2,1.018611111,Zenith Bank,38,37.7,Unknown,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,31,31,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Access Bank,25,24.9,Permanent,Savings,3,30
Bad,50,1,2,1.019444444,GT Bank,33,32.6,Permanent,Savings,3,30
Bad,50,1,2,1.019444444,Zenith Bank,23,22.8,Permanent,Savings,3,30
Bad,0,0,2,1.018888889,Access Bank,38,37.8,Unknown,Savings,3,30
Good,50,1,2,1.020277778,First Bank,28,28,Unknown,Other,3,30
Bad,50,1,2,1.018888889,Diamond Bank,24,24.3,Permanent,Savings,3,30
Good,100,2,2,1.004166667,Diamond Bank,36,36.2,Unknown,Savings,3,30
Good,100,2,2,1.018611111,First Bank,32,31.5,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,35,34.9,Unknown,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,32,31.6,Permanent,Savings,3,15
Bad,50,1,2,1.018888889,GT Bank,30,29.9,Unknown,Savings,3,30
Good,50,1,2,1.019722222,Stanbic IBTC,37,37,Permanent,Savings,3,30
Bad,0,0,2,1.018611111,First Bank,48,47.9,Permanent,Savings,3,30
Good,100,2,2,1.020277778,UBA,39,38.9,Unknown,Savings,3,30
Bad,0,0,2,1.019166667,Zenith Bank,39,38.8,Unknown,Savings,3,30
Good,100,2,2,1.019166667,First Bank,34,34.1,Unknown,Savings,3,30
Good,100,2,2,1.019166667,FCMB,37,37.1,Permanent,Other,3,30
Good,100,2,2,1.018888889,Diamond Bank,30,29.9,Permanent,Other,3,30
Good,50,1,2,1.002777778,First Bank,28,27.3,Self-Employed,Other,3,30
Good,100,2,2,1.019722222,Skye Bank,29,28.7,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Stanbic IBTC,33,32.9,Permanent,Savings,3,30
Good,100,2,2,1.019166667,First Bank,32,32.1,Permanent,Savings,3,30
Good,100,2,2,1.019722222,Diamond Bank,31,30.8,Permanent,Savings,3,30
Bad,50,1,2,1.019166667,First Bank,24,23.9,Permanent,Savings,3,15
Bad,0,0,2,1.019444444,EcoBank,28,28,Unknown,Savings,3,15
Good,100,2,2,1.018888889,EcoBank,41,41,Unknown,Savings,3,30
Good,100,2,2,1.019166667,First Bank,37,37,Permanent,Savings,3,30
Good,50,1,2,1.0025,GT Bank,32,31.5,Permanent,Savings,3,30
Bad,0,0,2,1.003055556,Access Bank,36,35.6,Permanent,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,37,36.8,Permanent,Savings,3,30
Good,100,2,2,1.003333333,First Bank,41,40.7,Permanent,Savings,3,30
Good,100,2,2,1.003055556,Stanbic IBTC,31,30.5,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Savings,3,30
Good,100,2,2,1.003611111,GT Bank,40,40.2,Unknown,Savings,3,30
Bad,0,0,2,1.018888889,GT Bank,32,32.3,Permanent,Savings,3,30
Good,50,1,2,1.018888889,Skye Bank,38,37.7,Permanent,Savings,3,30
Good,50,1,2,1.018611111,GT Bank,44,43.7,Unknown,Savings,3,30
Good,100,2,2,3.083055556,UBA,37,36.9,Permanent,Savings,3,30
Good,100,2,2,1.210277778,Diamond Bank,39,39.3,Permanent,Savings,3,30
Bad,50,1,2,1.019166667,GT Bank,33,33.2,Unknown,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,27,26.5,Permanent,Savings,3,15
Good,100,2,2,1.001944444,First Bank,32,31.7,Permanent,Savings,3,15
Good,100,2,2,1.001944444,GT Bank,30,30.3,Permanent,Savings,3,30
Good,50,1,2,1.019166667,EcoBank,33,33.1,Permanent,Savings,3,15
Good,100,2,2,1.019166667,GT Bank,37,36.6,Permanent,Savings,3,15
Good,50,1,2,1.018888889,GT Bank,40,40.3,Unknown,Savings,3,15
Good,100,2,2,1.019166667,GT Bank,29,28.8,Permanent,Savings,3,30
Good,50,1,2,1.020277778,Diamond Bank,32,32.2,Unknown,Savings,3,15
Good,100,2,2,1.001944444,GT Bank,28,28.2,Permanent,Savings,3,30
Good,100,2,2,1.002222222,Zenith Bank,36,36.4,Permanent,Savings,3,30
Bad,0,0,2,1.019166667,UBA,37,37.1,Permanent,Savings,3,30
Good,100,2,2,1.018611111,GT Bank,35,35,Unknown,Savings,3,30
Good,100,2,2,1.018888889,Stanbic IBTC,30,30.3,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Access Bank,45,45.1,Unknown,Savings,3,30
Good,50,1,2,1.002222222,Access Bank,22,22.2,Permanent,Savings,3,30
Good,50,1,2,1.003888889,FCMB,23,23.3,Permanent,Savings,3,15
Good,50,1,2,1.018611111,FCMB,40,40.1,Unknown,Savings,3,30
Bad,50,1,2,1.004722222,GT Bank,34,33.9,Permanent,Savings,3,30
Good,100,2,2,1.018611111,GT Bank,24,23.7,Student,Savings,3,15
Good,100,2,2,1.003333333,Fidelity Bank,39,39,Unknown,Savings,3,30
Good,50,1,2,1.003611111,First Bank,41,40.9,Unknown,Savings,3,30
Good,100,2,2,1.019166667,Diamond Bank,32,32.1,Unknown,Savings,3,30
Good,100,2,2,1.019444444,EcoBank,34,34.1,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,42,41.6,Unknown,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,32,31.5,Permanent,Savings,3,15
Good,100,2,2,1.003611111,First Bank,28,27.6,Permanent,Savings,3,30
Good,100,2,2,1.001944444,GT Bank,32,32.4,Permanent,Savings,3,30
Bad,0,0,2,1.018888889,Sterling Bank,31,31.4,Permanent,Savings,3,30
Good,50,1,2,1.003888889,Stanbic IBTC,43,43.5,Permanent,Other,3,15
Good,100,2,2,1.0025,Access Bank,33,32.6,Permanent,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,31,31.3,Permanent,Savings,3,30
Bad,0,0,2,1.019166667,Zenith Bank,33,32.5,Permanent,Savings,3,15
Good,100,2,2,1.020277778,GT Bank,42,42.2,Permanent,Savings,3,15
Good,100,2,2,1.02,Zenith Bank,34,34.3,Permanent,Savings,3,15
Good,100,2,2,1.018888889,First Bank,25,25.3,Permanent,Savings,3,30
Good,100,2,2,1.003333333,Skye Bank,26,26.3,Permanent,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,34,33.6,Permanent,Savings,3,30
Bad,0,0,2,1.002222222,First Bank,31,30.7,Unknown,Savings,3,30
Good,100,2,2,1.019166667,Zenith Bank,30,29.8,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,31,31.1,Unknown,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,23,23.2,Permanent,Savings,3,30
Bad,0,0,2,1.019166667,GT Bank,37,37,Permanent,Savings,3,15
Good,50,1,2,1.002222222,Zenith Bank,33,33,Permanent,Savings,3,15
Good,50,1,2,1.018611111,GT Bank,34,33.6,Permanent,Savings,3,30
Good,100,2,2,1.019166667,First Bank,52,52.1,Unknown,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,38,38.3,Unknown,Savings,3,15
Good,100,2,2,1.018888889,Diamond Bank,28,28,ContractRetiredUnemployed,Savings,3,30
Good,100,2,2,1.543333333,GT Bank,24,24.2,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Zenith Bank,34,34.3,Permanent,Savings,3,30
Good,50,1,2,1.019444444,First Bank,33,33,Permanent,Savings,3,30
Good,100,2,2,1.019166667,First Bank,33,32.8,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,35,34.6,Permanent,Savings,3,15
Good,100,2,2,1.019166667,Access Bank,33,32.7,Permanent,Savings,3,30
Bad,50,1,2,1.019444444,Stanbic IBTC,35,34.8,Permanent,Savings,3,30
Good,100,2,2,1.003611111,GT Bank,37,36.7,Unknown,Savings,3,15
Bad,0,0,2,1.003055556,Diamond Bank,23,22.7,Permanent,Savings,3,30
Good,50,1,2,1.018888889,First Bank,31,31.2,Permanent,Savings,3,30
Bad,0,0,2,1.018888889,GT Bank,37,36.9,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Fidelity Bank,22,22.4,Student,Savings,3,30
Good,100,2,2,1.018888889,UBA,26,25.5,Permanent,Savings,3,15
Good,100,2,2,1.019444444,FCMB,38,38.1,Permanent,Savings,3,30
Good,100,2,2,1.018611111,Access Bank,37,37.2,Unknown,Savings,3,15
Good,100,2,2,1.019166667,GT Bank,23,23.2,Student,Savings,3,30
Bad,0,0,2,1.018611111,GT Bank,27,26.8,Unknown,Savings,3,30
Good,100,2,2,1.018888889,UBA,26,25.8,Unknown,Savings,3,30
Bad,0,0,2,1.003888889,GT Bank,33,33.2,Permanent,Savings,3,30
Good,100,2,2,1.003611111,Access Bank,34,34.4,Unknown,Savings,3,30
Good,50,1,2,1.018888889,Zenith Bank,33,32.9,ContractRetiredUnemployed,Savings,3,30
Good,100,2,2,1.018888889,Diamond Bank,34,34.2,Permanent,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,29,29.4,Unknown,Savings,3,15
Bad,50,1,2,1.018888889,GT Bank,31,30.8,Permanent,Savings,3,30
Good,100,2,2,1.018888889,First Bank,29,29.5,Permanent,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,31,31.2,Permanent,Savings,3,15
Bad,50,1,2,1.002777778,GT Bank,26,26.3,Unknown,Savings,3,15
Good,100,2,2,1.019166667,UBA,27,27.3,Permanent,Savings,3,15
Good,100,2,2,1.004166667,UBA,29,28.5,Permanent,Savings,3,15
Good,100,2,2,1.0125,GT Bank,30,30,Permanent,Savings,3,15
Good,100,2,2,1.019444444,Access Bank,25,24.9,Permanent,Savings,3,30
Good,100,2,2,1.020833333,First Bank,33,33,Permanent,Savings,3,15
Good,100,2,2,1.018611111,Zenith Bank,30,30.2,Permanent,Savings,3,30
Good,100,2,2,1.0025,Access Bank,32,32.2,Permanent,Savings,3,15
Bad,50,1,2,1.018888889,UBA,31,30.5,Permanent,Savings,3,30
Good,50,1,2,1.018888889,Diamond Bank,36,35.7,Unknown,Savings,3,30
Good,100,2,2,1.005,GT Bank,25,25.2,Permanent,Savings,3,15
Good,50,1,2,1.018888889,GT Bank,45,45.3,Permanent,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,30,29.7,Permanent,Savings,3,30
Good,50,1,2,1.018888889,GT Bank,39,38.7,Unknown,Savings,3,30
Good,100,2,2,1.018888889,Zenith Bank,33,33.3,Permanent,Savings,3,30
Good,100,2,2,1.004722222,GT Bank,36,35.5,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Access Bank,29,28.9,Permanent,Savings,3,30
Good,100,2,2,1.002222222,UBA,33,33.2,Permanent,Savings,3,15
Good,50,1,2,1.018888889,UBA,28,28.1,Permanent,Savings,3,30
Good,50,1,2,1.005277778,First Bank,28,28.1,Permanent,Savings,3,30
Good,100,2,2,1.018611111,UBA,34,34.4,Permanent,Savings,3,15
Good,100,2,2,1.020277778,Zenith Bank,45,45.1,Unknown,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,25,24.7,Permanent,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,32,32.1,Unknown,Savings,3,30
Good,100,2,2,1.002777778,First Bank,24,23.9,Permanent,Savings,3,30
Good,50,1,2,1.018888889,GT Bank,25,25.1,Permanent,Savings,3,15
Bad,50,1,2,1.018888889,GT Bank,33,32.7,Permanent,Savings,3,30
Bad,0,0,2,1.02,Zenith Bank,22,22,Unknown,Savings,3,30
Bad,0,0,2,1.018611111,FCMB,33,32.6,Unknown,Savings,3,15
Good,100,2,2,1.018888889,GT Bank,48,47.8,Unknown,Savings,3,30
Bad,50,1,2,1.004444444,Zenith Bank,40,39.8,Permanent,Savings,3,30
Good,100,2,2,1.020555556,GT Bank,35,34.7,Permanent,Savings,3,30
Good,100,2,2,1.003333333,GT Bank,27,27.4,Permanent,Savings,3,30
Bad,0,0,2,1.002222222,GT Bank,37,37.3,Unknown,Savings,3,15
Good,100,2,2,1.019166667,UBA,34,33.8,Unknown,Savings,3,30
Bad,50,1,2,1.018888889,Zenith Bank,45,45.1,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Access Bank,23,23.3,Unknown,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,39,39.5,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Fidelity Bank,32,31.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,43,42.8,Unknown,Savings,3,30
Good,100,2,2,1.472777778,GT Bank,35,35,Unknown,Savings,3,30
Good,50,1,2,1.019166667,GT Bank,32,32.5,Permanent,Savings,3,15
Good,100,2,2,1.018611111,Stanbic IBTC,35,35.4,Permanent,Savings,3,30
Good,100,2,2,1.018611111,EcoBank,29,29.1,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Diamond Bank,31,31.3,Permanent,Savings,3,30
Good,50,1,2,1.019166667,GT Bank,30,30.1,Permanent,Savings,3,30
Good,50,1,2,1.018888889,Zenith Bank,28,27.7,Permanent,Savings,3,30
Good,100,2,2,1.019722222,GT Bank,38,38.1,Permanent,Savings,3,15
Good,100,2,2,1.018888889,Heritage Bank,28,27.6,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Zenith Bank,35,35.4,Permanent,Savings,3,30
Good,100,2,2,1.018888889,UBA,28,28.2,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,34,34,Permanent,Savings,3,30
Good,50,1,2,1.0025,GT Bank,31,31.3,Permanent,Savings,3,30
Bad,0,0,2,1.004722222,UBA,32,32.1,Permanent,Savings,3,30
Bad,0,0,2,1.003611111,GT Bank,34,34.2,Permanent,Savings,3,30
Good,50,1,2,1.003888889,GT Bank,25,25.1,Permanent,Savings,3,30
Bad,50,1,2,1.002222222,UBA,25,24.6,Permanent,Savings,3,30
Good,100,2,2,1.018888889,UBA,21,21.3,Student,Savings,3,30
Bad,50,1,2,1.018888889,Zenith Bank,32,32.3,Permanent,Savings,3,30
Bad,0,0,2,1.001944444,Diamond Bank,26,26.3,Permanent,Savings,3,15
Good,100,2,2,1.002222222,FCMB,31,30.9,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,33,32.6,Permanent,Savings,3,15
Bad,0,0,2,1.001944444,First Bank,31,30.6,Permanent,Savings,3,30
Good,50,1,2,1.019166667,GT Bank,27,27.2,Permanent,Savings,3,30
Good,100,2,2,1.002222222,Wema Bank,43,42.8,Permanent,Savings,3,15
Bad,0,0,2,1.019166667,UBA,37,36.5,Permanent,Savings,3,30
Good,50,1,2,1.018611111,Diamond Bank,41,40.8,Permanent,Savings,3,30
Good,50,1,2,1.003888889,GT Bank,35,35.3,Permanent,Savings,3,30
Good,100,2,2,1.003611111,First Bank,33,32.6,Permanent,Savings,3,15
Bad,0,0,2,1.003333333,First Bank,35,34.5,Permanent,Savings,3,30
Good,100,2,2,1.003055556,GT Bank,32,32.3,Permanent,Savings,3,30
Good,100,2,2,1.0025,GT Bank,36,36.2,Permanent,Savings,3,30
Bad,0,0,2,1.004166667,GT Bank,28,27.5,Permanent,Savings,3,15
Good,100,2,2,1.020277778,EcoBank,28,27.7,Permanent,Savings,3,15
Bad,50,1,2,1.019166667,Stanbic IBTC,29,29.4,Permanent,Savings,3,30
Bad,50,1,2,1.019722222,GT Bank,31,30.8,Permanent,Savings,3,30
Good,100,2,2,1.019722222,GT Bank,25,25,Permanent,Savings,3,30
Good,100,2,2,1.019166667,GT Bank,28,28.3,Unknown,Savings,3,30
Good,100,2,2,1.020277778,GT Bank,56,55.7,ContractRetiredUnemployed,Savings,3,30
Good,100,2,2,1.018888889,Sterling Bank,39,39,Permanent,Savings,3,30
Good,100,2,2,1.004444444,Diamond Bank,28,28.1,Permanent,Savings,3,30
Good,100,2,2,1.019444444,GT Bank,24,24.1,Permanent,Savings,3,30
Good,100,2,2,1.019722222,UBA,27,27.4,Permanent,Savings,3,30
Good,50,1,2,1.003055556,GT Bank,31,30.9,Permanent,Savings,3,15
Good,50,1,2,1.004166667,GT Bank,35,34.5,Unknown,Savings,3,30
Bad,50,1,2,1.005,UBA,25,24.9,Student,Savings,3,30
Good,100,2,2,1.019166667,First Bank,55,54.6,Permanent,Savings,3,15
Bad,0,0,2,1.018888889,GT Bank,47,47.3,Permanent,Savings,3,30
Good,100,2,2,1.020555556,GT Bank,24,24.1,Permanent,Savings,3,30
Good,100,2,2,1.019166667,Stanbic IBTC,33,33.4,Permanent,Savings,3,30
Good,100,2,2,1.001944444,Fidelity Bank,29,28.5,Permanent,Other,3,30
Good,50,1,2,1.002222222,Diamond Bank,37,36.5,Permanent,Savings,2,15
Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Savings,3,15
Bad,0,0,2,1.019166667,First Bank,29,28.7,Permanent,Savings,3,30
Good,100,2,2,1.018611111,UBA,37,37.2,Permanent,Savings,3,15
Good,100,2,2,1.018888889,FCMB,24,24.3,Permanent,Savings,3,30
Good,50,1,2,1.005,Wema Bank,36,36.2,Permanent,Savings,2,30
Bad,0,0,2,1.018888889,GT Bank,42,42.4,Self-Employed,Savings,3,30
Good,50,1,2,1.004444444,GT Bank,28,27.1,Student,Savings,3,30
Good,100,2,2,1.018888889,Diamond Bank,47,47.2,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,29,29,Permanent,Other,3,15
Good,100,2,2,1.018888889,First Bank,31,31.2,Permanent,Other,3,15
Good,50,1,2,1.02,Skye Bank,26,25.8,Unknown,Savings,3,30
Good,100,2,2,1.019444444,Zenith Bank,28,28,Permanent,Other,3,30
Good,50,1,2,1.004166667,GT Bank,26,25.5,Student,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,36,36,Permanent,Savings,3,15
Good,100,2,2,1.019166667,UBA,30,29.7,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Zenith Bank,27,27.1,Permanent,Savings,3,30
Good,100,2,2,1.003333333,GT Bank,26,25.5,Permanent,Savings,3,30
Good,100,2,2,1.02,GT Bank,31,31.1,ContractRetiredUnemployed,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,36,36.3,Permanent,Savings,3,30
Good,100,2,2,1.018888889,GT Bank,40,40,Permanent,Savings,3,30
Good,50,1,2,1.020277778,First Bank,39,38.8,Permanent,Savings,3,30
Good,100,2,2,1.0025,GT Bank,31,31.4,Permanent,Savings,3,15
Bad,50,1,2,1.018888889,Diamond Bank,24,23.6,Permanent,Savings,3,30
Good,100,2,2,1.018888889,Fidelity Bank,36,36.2,Permanent,Savings,3,30
Bad,50,1,2,1.003333333,GT Bank,21,21.3,Student,Savings,3,15
Bad,50,1,2,1.003611111,GT Bank,38,38.1,Unknown,Savings,3,15
