row_id,good_bad_flag,Pct_Ontime,Sum(churn_flag),Max(loannumber),Max(durationforapproval),bank_name_clients,Max(AgeAtTimeofLoan),Mean(AgeAtTimeofLoan),employment_status_clients_reference_only,employment_status_clients_recode,bank_account_type_reference_only,bank_account_recode,Sum(referral_recode),Mean(loannumber),Sum(loannumber),Sum(durationforapproval),Mean(durationforapproval),Max(Interestrate),Mean(Interestrate),Sum(Interestrate),Max(referral_recode),Mean(referral_recode),Max(churn_flag),Mean(churn_flag),Sum(AgeAtTimeofLoan),systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,birthdate,longitude_gps,latitude_gps,bank_branch_clients,level_of_education_clients,Validation,customerid,customerid of PerfDemoCombined_train,referredby
11,Good,100,2,2,1.019166667,Diamond Bank,23,23.3,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,1,47,301978189,2,55:12.0,55:07.0,10000,13000,30,00:00.0,6.9313152,4.8061756,,,Validation,8a858e0f5c45466f015c5469454d1227,8a858e0f5c45466f015c5469454d1227,8a858f605b911d60015b9b0d0fce6913
12,Good,100,2,2,1.004722222,Diamond Bank,35,34.5,Permanent,Permanent,Savings,Savings,0,1.5,3,2.0075,1.00375,365,365,730,0,0,1,1,69,301991701,2,33:33.0,33:16.0,10000,11500,15,00:00.0,8.8633286,9.8119354,,,Training,8a858e0f5c45466f015c536697241575,8a858e0f5c45466f015c536697241575,
13,Good,100,2,2,1.018888889,Stanbic IBTC,26,25.5,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,1,51,301970978,2,42:08.0,42:02.0,10000,13000,30,00:00.0,3.4454016,6.4361152,,,Test,8a858e005c2154c2015c2c44a86e0eaf,8a858e005c2154c2015c2c44a86e0eaf,8a858f4655ca643c0155ccc7c480502f
14,Good,100,2,2,1.019166667,Zenith Bank,39,39.4,Permanent,Permanent,Current,Other,2,1.5,3,2.021111111,1.010555556,365,365,730,1,1,1,1,79,302002283,2,40:26.0,40:19.0,10000,13000,30,00:00.0,3.3253233,6.6772667,,,Validation,8a858e005c2154c2015c2fb72f1e0b51,8a858e005c2154c2015c2fb72f1e0b51,8a858ee05bcdea36015bce28178318af
15,Bad,0,0,2,1.001666667,FCMB,28,27.6,Permanent,Permanent,Savings,Savings,0,1.5,3,2.003055556,1.001527778,365,365,730,0,0,0,0,55,301960306,2,30:35.0,30:30.0,10000,13000,30,00:00.0,3.4515467,6.436961,,,Test,8a858e005c2154c2015c218a9a451516,8a858e005c2154c2015c218a9a451516,
16,Good,100,2,2,1.002777778,UBA,28,28,,Unknown,Savings,Savings,0,1.5,3,2.004722222,1.002361111,365,365,730,0,0,1,1,56,301964580,2,46:51.0,46:44.0,10000,13000,30,00:00.0,3.3468977,6.637077,,,Training,8a858e005c2154c2015c258d28687efa,8a858e005c2154c2015c258d28687efa,
17,Good,100,2,2,1.018888889,Diamond Bank,47,46.6,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,1,93,301960017,2,05:16.0,05:09.0,10000,13000,30,00:00.0,3.871098,7.3473618,,,Test,8a858e005ca7abe3015ca9c692843861,8a858e005ca7abe3015ca9c692843861,8a858e215ca77c7f015ca871c384393d
18,Bad,0,0,2,1.003055556,Stanbic IBTC,30,29.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.005,1.0025,365,365,730,0,0,0,0,59,301966989,2,08:19.0,08:12.0,10000,13000,30,00:00.0,6.9979401,4.8319172,,,Validation,8a858e0059416900015946224e1779e9,8a858e0059416900015946224e1779e9,
19,Bad,50,1,2,1.003611111,GT Bank,37,37.4,Self-Employed,Self-Employed,Other,Other,0,1.5,3,2.005833333,1.002916667,365,365,730,0,0,1,0.5,75,301998317,2,38:21.0,38:13.0,10000,11500,15,00:00.0,7.3592521,8.9924654,,,Test,8a858e0156b782a10156beb5c215582e,8a858e0156b782a10156beb5c215582e,
20,Bad,50,1,2,1.018888889,Access Bank,32,32.4,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,65,301986396,2,12:12.0,12:05.0,10000,13000,30,00:00.0,7.4602796,9.0065501,,,Validation,8a858e045cd5b1d6015cd6da7b3b4bf2,8a858e045cd5b1d6015cd6da7b3b4bf2,
21,Bad,50,1,2,1.002222222,First Bank,41,40.7,Permanent,Permanent,Savings,Savings,2,1.5,3,2.004444444,1.002222222,365,365,730,1,1,1,0.5,81,302002357,2,35:54.0,35:46.0,10000,13000,30,00:00.0,3.8920083,7.4083333,,,Test,8a858e045cd5b1d6015cdac5a9fe38be,8a858e045cd5b1d6015cdac5a9fe38be,8a858f055b15b8d3015b164758eb3a24
22,Bad,50,1,2,1.018888889,UBA,34,34.3,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,0.5,69,302000145,2,35:23.0,35:17.0,10000,13000,30,00:00.0,4.5371415,7.7659524,,,Test,8a858e045cd5b1d6015cdfdd2d7b1310,8a858e045cd5b1d6015cdfdd2d7b1310,8a858ed1594a282f01594a4d14f50a58
23,Good,100,2,2,1.019166667,First Bank,29,29.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,1,58,301959569,2,21:49.0,21:44.0,10000,13000,30,00:00.0,3.4573084,6.4362871,,,Training,8a858e045cd5b1d6015ce3fef2ef0ee4,8a858e045cd5b1d6015ce3fef2ef0ee4,
24,Good,50,1,2,1.018888889,Keystone Bank,39,39.4,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,0.5,79,301979747,2,02:28.0,02:22.0,10000,11500,15,00:00.0,3.422685,6.4437749,,,Validation,8a858e045cd5b1d6015ce34aae8e63ed,8a858e045cd5b1d6015ce34aae8e63ed,8a858e6f5cd5e874015ce084c86e2a87
25,Good,100,2,2,1.002777778,First Bank,30,29.9,,Unknown,Savings,Savings,0,1.5,3,2.004722222,1.002361111,365,365,730,0,0,1,1,60,301996859,2,28:27.0,28:20.0,10000,13000,30,00:00.0,3.2406074,6.6607579,,,Training,8a858e045cd5b1d6015ce47a16742d68,8a858e045cd5b1d6015ce47a16742d68,
26,Bad,50,1,2,1.018888889,Zenith Bank,42,41.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,83,301998818,2,44:55.0,44:48.0,10000,13000,30,00:00.0,7.3545254,8.9651347,,,Validation,8a858e045cd5b1d6015ce403694c1191,8a858e045cd5b1d6015ce403694c1191,
27,Good,100,2,2,1.018888889,GT Bank,28,27.5,,Unknown,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,1,55,301985651,2,16:57.0,16:51.0,10000,11500,15,00:00.0,7.5861802,9.0146061,,,Test,8a858e055d0d9bd3015d0dcfc6bd1b1f,8a858e055d0d9bd3015d0dcfc6bd1b1f,8a858e435bedeb4f015beefb8a294d30
28,Good,100,2,2,1.019722222,Access Bank,27,26.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021388889,1.010694444,365,365,730,0,0,1,1,53,301960177,2,10:44.0,10:38.0,10000,13000,30,00:00.0,6.9918949,4.8726409,,,Test,8a858e065ccb8bc0015ccbf7b21c1875,8a858e065ccb8bc0015ccbf7b21c1875,
29,Good,100,2,2,1.018888889,Zenith Bank,33,33.3,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,1,67,301963351,2,10:39.0,10:33.0,10000,13000,30,00:00.0,3.4617967,6.42786,,,Training,8a858e065ccb8bc0015ccc9d8c2532cb,8a858e065ccb8bc0015ccc9d8c2532cb,
30,Bad,50,1,2,1.018888889,Access Bank,35,34.8,,Unknown,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,70,301970931,2,08:34.0,08:27.0,10000,11500,15,00:00.0,6.204584,6.245407,,,Training,8a858e065ccb8bc0015ccca62cf83466,8a858e065ccb8bc0015ccca62cf83466,
31,Bad,50,1,2,1.019166667,GT Bank,43,42.5,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,85,301990035,2,13:00.0,12:54.0,10000,13000,30,00:00.0,4.84996,7.1090767,,,Validation,8a858e065ccb8bc0015cce72dd475bfc,8a858e065ccb8bc0015cce72dd475bfc,
32,Good,100,2,2,1.018611111,GT Bank,33,33.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,1,1,66,301968344,2,44:06.0,43:59.0,10000,13000,30,00:00.0,6.7086242,6.2140277,,,Training,8a858e085ca0b5e8015ca0bacc7e0208,8a858e085ca0b5e8015ca0bacc7e0208,
33,Good,50,1,2,1.018888889,Fidelity Bank,45,44.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021666667,1.010833333,365,365,730,0,0,1,0.5,89,301988863,2,00:24.0,00:14.0,10000,11500,15,00:00.0,7.6388622,9.0007978,,,Test,8a858e085cc5b826015cc60650982c6c,8a858e085cc5b826015cc60650982c6c,
34,Bad,50,1,2,1.003055556,UBA,29,28.6,,Unknown,Savings,Savings,0,1.5,3,2.005,1.0025,365,365,730,0,0,1,0.5,57,301997872,2,05:41.0,05:34.0,10000,13000,30,00:00.0,7.0053893,4.9033645,,,Training,8a858e1d5ad28479015ad309602c6027,8a858e1d5ad28479015ad309602c6027,
35,Good,100,2,2,1.018888889,First Bank,51,51.2,,Unknown,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,1,102,301978662,2,33:49.0,33:41.0,10000,13000,30,00:00.0,11.3448923,8.9465271,,,Test,8a858e1d5b2510b2015b2c76fe45726a,8a858e1d5b2510b2015b2c76fe45726a,
36,Bad,0,0,2,1.003055556,First Bank,27,26.8,,Unknown,Savings,Savings,2,1.5,3,2.004722222,1.002361111,365,365,730,1,1,0,0,54,301958966,2,41:58.0,41:52.0,10000,13000,30,00:00.0,3.3768003,6.4898933,,,Training,8a858e1d5c5a460c015c5a51775a0613,8a858e1d5c5a460c015c5a51775a0613,8a858eac5c451942015c5635a22f58f6
37,Good,100,2,2,1.0025,GT Bank,41,41.1,Permanent,Permanent,Savings,Savings,2,1.5,3,2.004444444,1.002222222,365,365,730,1,1,1,1,82,301996021,2,55:51.0,55:44.0,10000,13000,30,00:00.0,3.3321234,7.1359255,,,Validation,8a858e1d5cd58f9e015cd5be41721a4e,8a858e1d5cd58f9e015cd5be41721a4e,8a858eba5c884d2a015c9158d0692e5b
38,Good,100,2,2,1.018888889,Access Bank,26,26.4,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,1,53,301990954,2,03:53.0,03:47.0,10000,11500,15,00:00.0,4.5545448,8.5524512,,,Training,8a858e1d5cd58f9e015cd8c747ad7d06,8a858e1d5cd58f9e015cd8c747ad7d06,8a858e4b5c831f02015c83bd0d353711
39,Bad,0,0,2,1.018888889,GT Bank,29,29.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,0,0,58,301979854,2,51:08.0,51:01.0,10000,11500,15,00:00.0,3.3656492,6.4404437,,,Test,8a858e1d5cd58f9e015cd912f8830794,8a858e1d5cd58f9e015cd912f8830794,
40,Good,100,2,2,1.018888889,First Bank,31,31,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,334.5833333,669.1666667,0,0,1,1,62,301996427,2,32:42.0,32:35.0,10000,12500,30,00:00.0,94.6767649,55.3115991,,,Test,8a858e1d5cd58f9e015cdfe7c50d380b,8a858e1d5cd58f9e015cdfe7c50d380b,
41,Good,50,1,2,1.018888889,UBA,31,30.8,,Unknown,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,0.5,62,302003064,2,30:37.0,30:30.0,10000,13000,30,00:00.0,6.692518,6.1958371,,,Training,8a858e1d5cd58f9e015ce559ea09786b,8a858e1d5cd58f9e015ce559ea09786b,
42,Good,100,2,2,1.018611111,Diamond Bank,35,35.2,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020277778,1.010138889,365,365,730,0,0,1,1,70,301976390,2,52:07.0,52:01.0,10000,11500,15,00:00.0,3.3182795,6.6862199,,,Validation,8a858e1d5cd58f9e015ce610e19f13f4,8a858e1d5cd58f9e015ce610e19f13f4,
43,Bad,50,1,2,1.018888889,Stanbic IBTC,34,33.5,,Unknown,Savings,Savings,0,1.5,3,2.02,1.01,365,365,730,0,0,1,0.5,67,301967501,2,14:41.0,14:37.0,10000,11500,15,00:00.0,3.3029506,6.6297912,,,Training,8a858e1d5cd58f9e015ceaef264365a0,8a858e1d5cd58f9e015ceaef264365a0,
44,Good,100,2,2,1.019444444,Access Bank,33,32.6,Unemployed,ContractRetiredUnemployed,Savings,Savings,0,1.5,3,2.021388889,1.010694444,365,365,730,0,0,1,1,65,301981931,2,48:42.0,48:35.0,10000,11500,15,00:00.0,3.2858723,6.5824439,,,Training,8a858e1d5cd58f9e015ceda4bdb63673,8a858e1d5cd58f9e015ceda4bdb63673,
45,Bad,0,0,2,1.018888889,GT Bank,32,32.2,,Unknown,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,0,0,64,301994206,2,31:24.0,31:17.0,10000,11500,15,00:00.0,4.5220062,7.8296432,,,Training,8a858e1d5cd58f9e015ceda385bb359d,8a858e1d5cd58f9e015ceda385bb359d,
46,Good,100,2,2,1.018888889,GT Bank,29,28.8,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,1,58,301989886,2,08:40.0,08:33.0,10000,13000,30,00:00.0,7.469311,9.0274759,,,Test,8a858e1e54e2aa5a0155059eabfa7cc1,8a858e1e54e2aa5a0155059eabfa7cc1,
47,Good,100,2,2,1.818055556,Stanbic IBTC,35,35.3,Permanent,Permanent,Savings,Savings,2,1.5,3,2.822222222,1.411111111,365,365,730,1,1,1,1,71,301989409,2,27:10.0,26:55.0,10000,11500,15,00:00.0,3.379166,6.6194277,,,Test,8a858e2c5b80de3f015b80e8045204ef,8a858e2c5b80de3f015b80e8045204ef,8a8589045384bd8301539e134b745638
48,Bad,50,1,2,1.019444444,Access Bank,22,21.8,,Unknown,Savings,Savings,0,1.5,3,2.021666667,1.010833333,365,365,730,0,0,1,0.5,44,302002358,2,36:40.0,36:32.0,10000,13000,30,00:00.0,3.2534281,6.5121219,,,Validation,8a858e2c5cc64f70015cc83a050e57d2,8a858e2c5cc64f70015cc83a050e57d2,
49,Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,1,63,301983228,2,31:33.0,31:26.0,10000,13000,30,00:00.0,3.3831598,6.6290094,,,Test,8a858e2c5cc64f70015cc942825e71ae,8a858e2c5cc64f70015cc942825e71ae,8a858e7855113fb701551fe018ce6913
50,Bad,50,1,2,1.0025,Access Bank,36,36,Permanent,Permanent,Savings,Savings,0,1.5,3,2.004444444,1.002222222,365,365,730,0,0,1,0.5,72,301987589,2,46:55.0,46:46.0,10000,13000,30,00:00.0,3.3262112,6.6348355,,,Test,8a858e2d597cf6250159830fb43c57ac,8a858e2d597cf6250159830fb43c57ac,
51,Good,100,2,2,1.005,UBA,27,27.2,,Unknown,Savings,Savings,2,1.5,3,2.006388889,1.003194444,365,365,730,1,1,1,1,54,301971212,2,24:54.0,24:49.0,10000,13000,30,00:00.0,3.3982718,6.4489034,,,Validation,8a858e2e5bb57a37015bc8ff494a1089,8a858e2e5bb57a37015bc8ff494a1089,8a858e645755e62201575e72c8b77fd5
52,Bad,50,1,2,1.018888889,Diamond Bank,36,36.5,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,0.5,73,301975808,2,43:13.0,43:06.0,10000,11500,15,00:00.0,3.3894469,6.5947509,,,Training,8a858e3a5cef882a015cefc0bf3f1fa2,8a858e3a5cef882a015cefc0bf3f1fa2,8a858ee55cb156e6015cb63f19146515
53,Good,50,1,2,1.018888889,Heritage Bank,42,42.1,Permanent,Permanent,Other,Other,0,1.5,3,2.023888889,1.011944444,365,365,730,0,0,1,0.5,84,301971257,2,52:38.0,51:30.0,10000,13000,30,00:00.0,3.4086944,6.4269995,,,Training,8a858e3a54e3370201552642ce7830c8,8a858e3a54e3370201552642ce7830c8,
54,Good,50,1,2,1.019166667,Wema Bank,37,37.2,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,0.5,74,301973022,2,20:47.0,20:40.0,10000,11500,15,00:00.0,3.8237879,7.3820442,,,Validation,8a858e3c5cac9fcc015cacdb715d1597,8a858e3c5cac9fcc015cacdb715d1597,
55,Bad,0,0,2,1.018611111,Sterling Bank,25,25.2,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,0,0,50,301989470,2,59:25.0,59:18.0,10000,13000,30,00:00.0,3.2877592,7.1772516,,,Training,8a858e3c5cac9fcc015cb09fdd925a5a,8a858e3c5cac9fcc015cb09fdd925a5a,
56,Good,100,2,2,1.018888889,UBA,28,28.3,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020833333,1.010416667,365,365,730,0,0,1,1,57,301983827,2,14:25.0,14:18.0,10000,11500,15,00:00.0,3.4274473,6.4291349,,,Test,8a858e3d55ca3ef60155cef965907bdc,8a858e3d55ca3ef60155cef965907bdc,
57,Good,100,2,2,1.019166667,Access Bank,30,29.8,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,1,60,301964354,2,38:14.0,38:09.0,10000,13000,30,00:00.0,3.321422,7.1299539,,,Test,8a858e4b5c831f02015c839d82442fc7,8a858e4b5c831f02015c839d82442fc7,8a858f9d5668e3f10156767e9a0f0188
58,Good,50,1,2,1.019722222,Access Bank,33,32.7,Permanent,Permanent,Savings,Savings,2,1.5,3,2.021666667,1.010833333,365,365,730,1,1,1,0.5,65,301997188,2,19:13.0,19:06.0,10000,13000,30,00:00.0,7.3660052,9.1460831,,,Training,8a858e4b5cb1e4d7015cbb9cbacf67e3,8a858e4b5cb1e4d7015cbb9cbacf67e3,8a858ee55cb156e6015cb6a5d8407bd1
59,Good,100,2,2,1.002222222,EcoBank,35,34.7,Permanent,Permanent,Savings,Savings,0,1.5,3,2.004166667,1.002083333,365,365,730,0,0,1,1,69,302000107,2,14:47.0,14:40.0,10000,13000,30,00:00.0,7.9117961,5.0372535,,,Validation,8a858e4b5cb1e4d7015cbbde80436cf1,8a858e4b5cb1e4d7015cbbde80436cf1,
60,Good,100,2,2,1.018888889,GT Bank,37,37,,Unknown,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,1,74,301979132,2,21:52.0,21:44.0,10000,13000,30,00:00.0,4.6120462,8.475389,,,Test,8a858e4b5cb1e4d7015cc28ac0be5d73,8a858e4b5cb1e4d7015cc28ac0be5d73,
61,Good,100,2,2,1.019444444,Diamond Bank,36,35.8,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,1,1,72,301990428,2,01:04.0,00:58.0,10000,13000,30,00:00.0,3.2940814,6.6315824,,,Training,8a858e4b5cb1e4d7015cc489987520bf,8a858e4b5cb1e4d7015cc489987520bf,
62,Good,100,2,2,1.018888889,UBA,33,32.8,,Unknown,Savings,Savings,2,1.5,3,2.020555556,1.010277778,365,365,730,1,1,1,1,66,301970504,2,22:09.0,22:03.0,10000,11500,15,00:00.0,3.2642226,6.6165615,,,Training,8a858e4e5c3502ab015c35362d7c1016,8a858e4e5c3502ab015c35362d7c1016,8a858eb75c21a2b9015c2a3cd3363330
63,Good,100,2,2,1.019166667,UBA,32,32.1,Permanent,Permanent,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,273.75,547.5,0,0,1,1,64,301977346,2,58:16.0,58:09.0,10000,11500,15,00:00.0,3.9704655,6.5858269,,,Validation,8a858e5a5be99e1c015be9e56ea00fde,8a858e5a5be99e1c015be9e56ea00fde,
64,Bad,0,0,2,1.003333333,Access Bank,31,31.1,Permanent,Permanent,Savings,Savings,2,1.5,3,2.005833333,1.002916667,365,365,730,1,1,0,0,62,301997855,2,55:12.0,55:03.0,10000,13000,30,00:00.0,7.4515712,10.4549443,,,Validation,8a858e5b5bd99460015bda6daf5a2d6f,8a858e5b5bd99460015bda6daf5a2d6f,8a858fa154e2912f0154ee239b0857f0
65,Good,100,2,2,1.002222222,Access Bank,35,34.9,Permanent,Permanent,Current,Other,0,1.5,3,2.004166667,1.002083333,365,365,730,0,0,1,1,70,301973062,2,49:26.0,49:19.0,10000,13000,30,00:00.0,3.3626771,6.4537352,,,Validation,8a858e5b5bd99460015bdfb8f92e480d,8a858e5b5bd99460015bdfb8f92e480d,
66,Good,100,2,2,1.018888889,Skye Bank,42,42,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020277778,1.010138889,365,365,730,0,0,1,1,84,301966884,2,41:20.0,41:15.0,10000,13000,30,00:00.0,3.3379693,6.7246877,,,Test,8a858e5b5ca767e1015ca8a7c45543d6,8a858e5b5ca767e1015ca8a7c45543d6,
67,Bad,0,0,2,1.019166667,FCMB,23,22.9,,Unknown,Savings,Savings,0,1.5,3,2.021111111,1.010555556,365,365,730,0,0,0,0,46,301979838,2,25:06.0,24:59.0,10000,13000,30,00:00.0,8.3355696,5.0262751,,,Training,8a858e5b5ca767e1015ca9d8f9d750f4,8a858e5b5ca767e1015ca9d8f9d750f4,
68,Bad,50,1,2,1.019166667,Access Bank,32,31.6,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,0.5,63,301963103,2,43:11.0,43:05.0,10000,13000,30,00:00.0,-92.391699,34.5501035,,,Training,8a858e5b5ca767e1015caa30f3125abc,8a858e5b5ca767e1015caa30f3125abc,8a858fcb5ca240f7015ca6166a3375c4
69,Good,100,2,2,1.018888889,Zenith Bank,35,34.9,Permanent,Permanent,Savings,Savings,2,1.5,3,2.020833333,1.010416667,365,365,730,1,1,1,1,70,301976434,2,35:07.0,35:00.0,10000,13000,30,00:00.0,3.344965,6.6061828,,,Training,8a858e5b5ca767e1015cabb669de1afd,8a858e5b5ca767e1015cabb669de1afd,8a858fe756939bbb0156993f3dda2d08
70,Bad,0,0,2,1.018888889,First Bank,53,52.5,Permanent,Permanent,Savings,Savings,0,1.5,3,2.020555556,1.010277778,365,365,730,0,0,0,0,105,301995581,2,27:52.0,27:46.0,10000,13000,30,00:00.0,6.5242494,9.6283896,,,Test,8a858e5c5c361f7d015c398156ef666a,8a858e5c5c361f7d015c398156ef666a,
71,Good,50,1,2,1.002222222,Diamond Bank,38,37.6,Permanent,Permanent,Savings,Savings,0,1.5,3,2.003888889,1.001944444,365,365,730,0,0,1,0.5,75,301985555,2,42:04.0,41:58.0,10000,13000,30,00:00.0,3.8176559,7.3632415,,,Training,8a858e5d5bf3454f015bf674714d1844,8a858e5d5bf3454f015bf674714d1844,
