ROW_ID,good_bad_flag,bank_name_clients,DurApproval Groups,AgeAtTimeofLoan Groups 2_25thPctile,DemoCreditRating,termdays,employment_status_clients_Risk,employment_status_clients_reference_only,level_of_education_clients_Risk,level_of_education_clients_reference_only,referral,bank_account_type_recode,loanamount Groups,approveddate,creationdate,DurApproval,loanamount,totaldue,Interestrate,birthdate,AgeAtTimeofLoan,longitude_gps,latitude_gps,customerid,systemloanid,bank_account_type,employment_status_clients_Risk 2,level_of_education_clients 2,Validation,termdays 2,loannumber
11,Good,Access Bank,Low - 60.17,Low - 28,1,30,Low,Permanent,Low,Graduate,No,Savings,Norm,58:49.0,58:43.0,60.1,10000,13000,365,00:00.0,28,7.0373446,4.8189784,8a390a2150ad97330150aebdd8ef7456,301609945,Savings,1,1,Training,Norm,1
12,Bad,GT Bank,60.23 - 61.13,36 - High,9,15,High,Unknown,High,,No,Savings,Norm,45:51.0,45:32.0,60.31666667,10000,11500,365,00:00.0,46,3.8709075,7.3979711,8a858e0a5a85cfaa015a85f21a5e0bea,301828455,Savings,3,3,Training,Short,1
13,Good,Access Bank,60.23 - 61.13,28 - 32,3,30,Low,Permanent,High,,No,Savings,Norm,57:12.0,56:49.0,60.38333333,10000,13000,365,00:00.0,30,3.3255134,6.4636791,8a858e0a5a85cfaa015a89b1af345719,301828953,Savings,1,3,Training,Norm,1
14,Bad,Diamond Bank,Low - 60.17,32 - 36,3,30,Low,Permanent,High,,No,Savings,Norm,57:36.0,57:29.0,60.11666667,10000,13000,365,00:00.0,33,3.0363925,6.8878547,8a858e0a5b192e2e015b1948fba112cf,301876724,Savings,1,3,Test,Norm,1
15,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,Permanent,High,,No,Savings,Norm,05:44.0,05:25.0,60.31666667,10000,11500,365,00:00.0,24,3.3744114,6.6357817,8a858e0a5b192e2e015b194726201191,301849059,Savings,1,3,Test,Short,1
16,Good,Access Bank,60.17 - 60.23,28 - 32,3,30,Low,Permanent,High,,No,Savings,Norm,24:26.0,24:15.0,60.18333333,10000,13000,365,00:00.0,30,7.4687117,9.0053581,8a858e0a565e71c40156652b73613d66,301891757,Savings,1,3,Test,Norm,1
17,Good,GT Bank,60.17 - 60.23,36 - High,4,30,Med,Self-Employed,Med,Secondary,No,Other,Norm,02:40.0,02:28.0,60.2,10000,13000,365,00:00.0,44,3.5150748,6.4287105,8a858e0a5668e69c01566f643ad645a9,301674565,Other,2,2,Test,Norm,1
18,Good,Access Bank,60.17 - 60.23,Low - 28,3,30,Low,Permanent,High,,No,Savings,Norm,56:19.0,56:08.0,60.18333333,10000,13000,365,00:00.0,27,4.5558341,7.7962433,8a858e0a5668e69c015669d6d4233c13,301893570,Savings,1,3,Validation,Norm,1
19,Good,UBA,60.17 - 60.23,36 - High,1,30,Low,Permanent,Low,Graduate,No,Other,Norm,31:03.0,30:50.0,60.21666667,10000,13000,365,00:00.0,40,3.8664636,7.3297443,8a858e0a5668e69c01567a390d716175,301677716,Other,1,1,Validation,Norm,1
20,Good,GT Bank,Low - 60.17,28 - 32,9,30,High,Student,High,,No,Other,Norm,01:22.0,01:12.0,60.16666667,10000,13000,365,00:00.0,30,6.9502058,4.8094405,8a858e0a5668e69c01567aa57c377762,301677842,Other,3,3,Training,Norm,1
21,Bad,Zenith Bank,Low - 60.17,Low - 28,9,30,High,Student,High,,No,Savings,Norm,50:05.0,49:56.0,60.15,10000,13000,365,00:00.0,26,7.0801593,5.4794504,8a858e0a5668e69c01567e19e7626d39,301680216,Savings,3,3,Test,Norm,1
22,Good,Skye Bank,Low - 60.17,Low - 28,6,30,Med,Self-Employed,High,,No,Other,Norm,11:13.0,11:04.0,60.15,10000,13000,365,00:00.0,27,7.4833331,9.0666666,8a858e0a5668e69c01567edcd2bc2bf8,301678665,Other,2,3,Validation,Norm,1
23,Good,GT Bank,Low - 60.17,32 - 36,3,15,Low,Permanent,High,,No,Other,Norm,40:16.0,40:06.0,60.16666667,10000,11500,365,00:00.0,35,5.6903337,5.8857439,8a858e0a5668e69c01567fd20d2f6854,301679018,Other,1,3,Validation,Short,1
24,Good,Access Bank,Low - 60.17,36 - High,3,30,Low,Permanent,High,,No,Other,Norm,52:22.0,52:14.0,60.13333333,10000,13000,365,00:00.0,47,3.431007,6.4551378,8a858e0a5668e69c0156782807775d39,301680767,Other,1,3,Test,Norm,1
25,Good,GT Bank,Low - 60.17,36 - High,6,30,Med,Self-Employed,High,,No,Other,Norm,08:06.0,07:58.0,60.13333333,10000,13000,365,00:00.0,51,3.1960999,6.4992127,8a858e0a5668e69c015680dcf84a7f9c,301681197,Other,2,3,Validation,Norm,1
26,Good,EcoBank,60.23 - 61.13,Low - 28,9,30,High,Unemployed,High,,No,Other,Norm,44:45.0,44:29.0,60.26666667,10000,13000,365,00:00.0,24,3.4553466,6.7930779,8a858e0a5668e69c0156831b8a43116f,301679572,Other,3,3,Validation,Norm,1
27,Bad,UBA,60.23 - 61.13,Low - 28,3,15,Low,Permanent,High,,Yes,Savings,Norm,50:19.0,49:11.0,61.13333333,10000,11500,365,00:00.0,27,5.5920183,6.3235483,8a858e0b5cf4883c015cf7f00f2b1efc,301957253,Savings,1,3,Training,Short,1
28,Good,EcoBank,60.23 - 61.13,36 - High,9,30,High,Unknown,High,,No,Savings,Norm,58:15.0,57:08.0,61.11666667,10000,13000,365,00:00.0,38,3.3885508,6.4539447,8a858e0b5cf4883c015cf7f015511f70,301957265,Savings,3,3,Training,Norm,1
29,Good,First Bank,60.23 - 61.13,36 - High,2,30,Low,Permanent,Med,Secondary,No,Savings,Norm,03:15.0,02:07.0,61.13333333,10000,13000,365,00:00.0,41,5.6272822,6.3217533,8a858e0b5cf4883c015cf56488eb4d41,301957629,Savings,1,2,Test,Norm,1
30,Good,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,Permanent,High,,No,Savings,Norm,21:04.0,19:56.0,61.13333333,10000,11500,365,00:00.0,31,3.3549943,6.5397064,8a858e0b5cfa2028015cfd224a806b9a,301958711,Savings,1,3,Test,Short,1
31,Good,First Bank,60.23 - 61.13,28 - 32,9,30,High,Unknown,High,,Yes,Savings,Norm,50:32.0,49:24.0,61.13333333,10000,13000,365,00:00.0,29,7.4018074,9.1226869,8a858e0b5cfa2028015d034211a96a52,301959943,Savings,3,3,Training,Norm,1
32,Good,UBA,61.13 - High,32 - 36,3,15,Low,Permanent,High,,No,Savings,Norm,46:15.0,45:04.0,61.18333333,10000,11500,365,00:00.0,34,3.2865452,6.6156567,8a858e0b5cfa2028015d092b47e27e30,301961614,Savings,1,3,Validation,Short,1
33,Good,Diamond Bank,61.13 - High,Low - 28,9,15,High,Unknown,High,,No,Savings,Norm,59:58.0,58:49.0,61.15,10000,11500,365,00:00.0,24,3.5224291,6.4247056,8a858e0b5cfa2028015d099b789b229f,301962320,Savings,3,3,Test,Short,1
34,Good,GT Bank,61.13 - High,Low - 28,3,30,Low,Permanent,High,,No,Savings,Norm,53:03.0,51:50.0,61.21666667,10000,13000,365,00:00.0,25,3.3546694,6.5791156,8a858e0b5d1d8104015d1da5234b0e90,301980877,Savings,1,3,Training,Norm,1
35,Good,GT Bank,60.17 - 60.23,32 - 36,3,15,Low,Permanent,High,,No,Savings,Norm,28:02.0,27:50.0,60.2,10000,11500,365,00:00.0,33,8.8464408,9.8824985,8a858e0b5d1d8104015d1db8dcf31765,301968321,Savings,1,3,Validation,Short,1
36,Good,GT Bank,60.17 - 60.23,36 - High,9,15,High,Unknown,High,,No,Savings,Norm,50:34.0,50:22.0,60.2,10000,11500,365,00:00.0,44,3.1483217,6.4638023,8a858e0b5d1d8104015d1dcb82a0210c,301968623,Savings,3,3,Training,Short,1
37,Bad,GT Bank,60.23 - 61.13,28 - 32,3,30,Low,Permanent,High,,No,Savings,Norm,08:29.0,08:13.0,60.26666667,10000,13000,365,00:00.0,30,7.4306571,10.5282429,8a858e0c5bf343de015bf734d8c57f92,301906998,Savings,1,3,Training,Norm,1
38,Good,First Bank,60.17 - 60.23,32 - 36,3,15,Low,Permanent,High,,No,Savings,Norm,33:27.0,33:15.0,60.2,10000,11500,365,00:00.0,33,7.4730606,10.4684494,8a858e0c5bfceae6015bfcfabccb0a81,301903471,Savings,1,3,Validation,Short,1
39,Good,Access Bank,Low - 60.17,28 - 32,6,15,Med,Self-Employed,High,,No,Other,Norm,56:25.0,56:17.0,60.13333333,5000,5750,365,00:00.0,30,3.4780827,6.6471457,8a858e0c552ae0b8015543cb7d1a5cbd,301631556,Other,2,3,Validation,Short,1
40,Good,GT Bank,Low - 60.17,32 - 36,1,15,Low,Permanent,Low,Graduate,No,Other,Norm,04:35.0,04:28.0,60.11666667,10000,11500,365,00:00.0,34,3.4231792,6.4540573,8a858e0c552ae0b80155504019352754,301632724,Other,1,1,Validation,Short,1
41,Bad,Diamond Bank,60.17 - 60.23,28 - 32,9,30,High,Student,High,,No,Savings,Norm,12:36.0,12:25.0,60.18333333,10000,13000,365,00:00.0,31,5.1984532,7.6404166,8a858e0c5519be5401551d86e3f71cba,301678997,Savings,3,3,Test,Norm,1
42,Good,First Bank,Low - 60.17,Low - 28,3,30,Low,Permanent,High,,No,Savings,Norm,42:24.0,42:18.0,60.1,10000,13000,365,00:00.0,27,3.374037,6.4812902,8a858e0c5519be540155224efeb83f2f,301631268,Savings,1,3,Validation,Norm,1
43,Good,UBA,61.13 - High,36 - High,3,30,Low,Permanent,High,,No,Savings,Norm,17:04.0,15:53.0,61.18333333,10000,13000,365,00:00.0,39,3.4183333,6.610727,8a858e0d5aa8e240015aa8fb5bc5165f,301833442,Savings,1,3,Test,Norm,1
44,Good,Skye Bank,Low - 60.17,32 - 36,9,15,High,Unknown,High,,No,Savings,Norm,41:40.0,41:33.0,60.11666667,10000,11500,365,00:00.0,33,3.2623567,6.43968,8a858e0d59b23c720159b3a2d9a054bb,301815608,Savings,3,3,Validation,Short,1
45,Good,Zenith Bank,60.23 - 61.13,Low - 28,3,15,Low,Permanent,High,,No,Savings,Norm,13:39.0,13:01.0,60.63333333,10000,11500,365,00:00.0,25,3.3813132,6.4939532,8a858e0d59b7438d0159b7e0aa7533cd,301797026,Savings,1,3,Validation,Short,1
46,Good,GT Bank,Low - 60.17,32 - 36,9,15,High,Unknown,High,,No,Savings,Norm,10:45.0,10:36.0,60.15,10000,11500,365,00:00.0,33,3.2856324,6.6135403,8a858e0d59bbb9050159c0c33dfe4f9d,301799367,Savings,3,3,Training,Short,1
47,Good,Diamond Bank,60.23 - 61.13,28 - 32,3,30,Low,Permanent,High,,No,Savings,Norm,21:24.0,21:06.0,60.3,10000,13000,365,00:00.0,30,7.4345863,10.4829935,8a858e0d59bbb9050159c1f9f1d667ec,301840803,Savings,1,3,Test,Norm,1
48,Good,Stanbic IBTC,60.17 - 60.23,32 - 36,1,15,Low,Permanent,Low,Graduate,No,Savings,Norm,51:43.0,51:29.0,60.23333333,10000,11500,365,00:00.0,35,3.3006553,6.7034117,8a858e0d58625b41015862eadbe32d73,301758808,Savings,1,1,Training,Short,1
49,Good,First Bank,60.17 - 60.23,28 - 32,3,30,Low,Permanent,High,,No,Savings,Norm,39:13.0,39:01.0,60.2,10000,13000,365,00:00.0,29,3.3112585,6.4633712,8a858e0d58625b410158641fcfec1b72,301758966,Savings,1,3,Training,Norm,1
50,Good,Union Bank,Low - 60.17,Low - 28,9,30,High,Student,High,,No,Savings,Norm,13:53.0,13:44.0,60.15,10000,13000,365,00:00.0,24,5.200208,7.2513109,8a858e0d587161ab01587183d98f06c9,301762656,Savings,3,3,Validation,Norm,1
51,Good,Zenith Bank,60.17 - 60.23,32 - 36,3,15,Low,Permanent,High,,Yes,Savings,Norm,43:17.0,43:06.0,60.18333333,10000,11500,365,00:00.0,32,7.3928096,9.1249753,8a858e0e5b80bb4c015b81746a0f5481,301872294,Savings,1,3,Training,Short,1
52,Good,Stanbic IBTC,60.23 - 61.13,32 - 36,3,30,Low,Permanent,High,,No,Savings,Norm,37:30.0,37:11.0,60.31666667,10000,13000,365,00:00.0,34,3.3281894,6.4662308,8a858e0f5c45466f015c4a6560255de7,301919930,Savings,1,3,Test,Norm,1
53,Bad,UBA,60.17 - 60.23,28 - 32,9,30,High,Unknown,High,,No,Savings,Norm,17:13.0,17:02.0,60.18333333,10000,13000,365,00:00.0,30,7.8819306,8.8536729,8a858e0f5c45466f015c55c7e09d5e9c,301921941,Savings,3,3,Test,Norm,1
54,Good,Skye Bank,60.23 - 61.13,Low - 28,3,15,Low,Permanent,High,,No,Savings,Norm,04:46.0,04:29.0,60.28333333,10000,11500,365,00:00.0,24,7.3585564,8.9748124,8a858e0f5c45466f015c518a7d2e5bbe,301928440,Savings,1,3,Validation,Short,1
55,Bad,First Bank,60.17 - 60.23,28 - 32,9,15,High,Unknown,High,,Yes,Savings,Norm,45:48.0,45:34.0,60.23333333,10000,11500,365,00:00.0,30,3.3029379,6.6263662,8a858e0f5c45466f015c546652e81026,301921129,Savings,3,3,Test,Short,1
56,Good,Diamond Bank,61.13 - High,Low - 28,3,30,Low,Permanent,High,,Yes,Savings,Norm,16:53.0,15:44.0,61.15,10000,13000,365,00:00.0,23,6.9313152,4.8061756,8a858e0f5c45466f015c5469454d1227,301939795,Savings,1,3,Validation,Norm,1
57,Good,Diamond Bank,Low - 60.17,32 - 36,3,15,Low,Permanent,High,,No,Savings,Norm,05:35.0,05:25.0,60.16666667,10000,11500,365,00:00.0,34,8.8633286,9.8119354,8a858e0f5c45466f015c536697241575,301966511,Savings,1,3,Validation,Short,1
58,Good,Zenith Bank,60.23 - 61.13,Low - 28,9,30,High,Student,High,,No,Savings,Norm,02:27.0,02:10.0,60.28333333,10000,13000,365,00:00.0,27,7.464168,5.5372662,8a858e0f58afbace0158b64e22de02b4,301767465,Savings,3,3,Validation,Norm,1
59,Good,GT Bank,60.17 - 60.23,32 - 36,3,15,Low,Permanent,High,,No,Savings,Norm,59:16.0,59:04.0,60.2,10000,11500,365,00:00.0,34,3.3828068,6.6021278,8a858e0f58afbace0158b493ecd36d7f,301773960,Savings,1,3,Training,Short,1
60,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,Permanent,High,,No,Savings,Norm,54:42.0,54:24.0,60.3,10000,11500,365,00:00.0,28,4.7175318,8.1396633,8a858e0f58afbace0158cb199b892d2d,301782291,Savings,1,3,Training,Short,1
61,Good,Diamond Bank,60.17 - 60.23,Low - 28,3,15,Low,Permanent,High,,No,Savings,Norm,57:22.0,57:10.0,60.2,10000,11500,365,00:00.0,25,3.3426863,6.447937,8a858e0f58d4699c0158d4894de00907,301770106,Savings,1,3,Training,Short,1
62,Good,GT Bank,Low - 60.17,36 - High,3,15,Low,Permanent,High,,No,Savings,Norm,36:42.0,36:33.0,60.15,9000,10350,365,00:00.0,44,3.3468346,6.5942889,8a858e0f5577f57901557ccf46ce3b55,301637162,Savings,1,3,Training,Short,1
63,Good,Diamond Bank,Low - 60.17,28 - 32,3,15,Low,Permanent,High,,No,Other,Norm,38:45.0,38:35.0,60.16666667,10000,11500,365,00:00.0,30,3.174916,6.6841814,8a858e0f5577f579015581d14503059f,301659092,Other,1,3,Training,Short,1
64,Good,GT Bank,Low - 60.17,Low - 28,6,15,Med,Self-Employed,High,,No,Other,Norm,20:27.0,20:22.0,60.08333333,5000,5750,365,00:00.0,27,8.8897302,9.9135749,8a858e0f5577f57901558109093f578c,301637737,Other,2,3,Training,Short,1
65,Good,Stanbic IBTC,60.17 - 60.23,32 - 36,3,15,Low,Permanent,High,,No,Savings,Norm,06:13.0,06:02.0,60.18333333,10000,11500,365,00:00.0,36,5.2124771,7.6314657,8a858e005b4830ef015b4833bcc6027e,301903195,Savings,1,3,Test,Short,1
66,Good,Stanbic IBTC,60.23 - 61.13,Low - 28,3,15,Low,Permanent,High,,Yes,Savings,Norm,48:51.0,47:43.0,61.13333333,10000,11500,365,00:00.0,25,3.4454016,6.4361152,8a858e005c2154c2015c2c44a86e0eaf,301914957,Savings,1,3,Training,Short,1
67,Good,Diamond Bank,60.23 - 61.13,36 - High,9,30,High,Unknown,High,,No,Savings,Norm,09:49.0,09:33.0,60.26666667,10000,13000,365,00:00.0,36,2.4464717,6.3691899,8a858e005c2154c2015c2cf818481eb3,301968633,Savings,3,3,Validation,Norm,1
68,Good,UBA,60.23 - 61.13,28 - 32,3,30,Low,Permanent,High,,No,Savings,Norm,18:48.0,17:40.0,61.13333333,10000,13000,365,00:00.0,31,3.3496499,6.6060299,8a858e005c2154c2015c2f5f6aac6594,301915256,Savings,1,3,Validation,Norm,1
69,Good,Access Bank,60.23 - 61.13,36 - High,9,15,High,Unknown,High,,No,Savings,Norm,40:55.0,39:47.0,61.13333333,10000,11500,365,00:00.0,37,3.9625763,7.4604206,8a858e005c2154c2015c2f54b7935fe5,301916342,Savings,3,3,Test,Short,1
70,Good,Zenith Bank,61.13 - High,36 - High,3,30,Low,Permanent,High,,Yes,Other,Norm,59:04.0,57:55.0,61.15,10000,13000,365,00:00.0,39,3.3253233,6.6772667,8a858e005c2154c2015c2fb72f1e0b51,301963004,Current,1,3,Test,Norm,1
71,Good,GT Bank,60.23 - 61.13,36 - High,3,15,Low,Permanent,High,,No,Savings,Norm,17:49.0,16:41.0,61.13333333,10000,11500,365,00:00.0,41,3.322697,6.6277907,8a858e005c2154c2015c30e623201bdd,301915652,Savings,1,3,Test,Short,1
72,Bad,FCMB,Low - 60.17,Low - 28,3,30,Low,Permanent,High,,No,Savings,Norm,54:07.0,54:01.0,60.1,10000,13000,365,00:00.0,28,3.4515467,6.436961,8a858e005c2154c2015c218a9a451516,301920400,Savings,1,3,Validation,Norm,1
73,Good,UBA,Low - 60.17,Low - 28,9,30,High,Unknown,High,,No,Savings,Norm,13:23.0,13:13.0,60.16666667,10000,13000,365,00:00.0,28,3.3468977,6.637077,8a858e005c2154c2015c258d28687efa,301929846,Savings,3,3,Training,Norm,1
74,Good,Diamond Bank,60.23 - 61.13,36 - High,3,15,Low,Permanent,High,,Yes,Savings,Norm,59:16.0,58:08.0,61.13333333,10000,11500,365,00:00.0,47,3.871098,7.3473618,8a858e005ca7abe3015ca9c692843861,301939390,Savings,1,3,Training,Short,1
75,Good,Diamond Bank,60.17 - 60.23,32 - 36,3,15,Low,Permanent,High,,No,Other,Norm,38:45.0,38:34.0,60.18333333,8000,9200,365,00:00.0,34,3.3545075,6.5850413,8a858e005577f1ba015578147fc50f0c,301636587,Other,1,3,Test,Short,1
76,Bad,Stanbic IBTC,60.17 - 60.23,28 - 32,3,30,Low,Permanent,High,,No,Savings,Norm,57:39.0,57:28.0,60.18333333,10000,13000,365,00:00.0,30,6.9979401,4.8319172,8a858e0059416900015946224e1779e9,301894254,Savings,1,3,Training,Norm,1
77,Bad,GT Bank,60.23 - 61.13,Low - 28,9,15,High,Student,High,,No,Savings,Norm,06:09.0,05:01.0,61.13333333,10000,11500,365,00:00.0,22,3.2059219,6.643403,8a858e0059416900015959ea8c801312,301971825,Savings,3,3,Validation,Short,1
78,Good,Stanbic IBTC,60.17 - 60.23,Low - 28,3,15,Low,Permanent,High,,No,Other,Norm,14:49.0,14:36.0,60.21666667,10000,11500,365,00:00.0,28,4.5767446,7.5185773,8a858e005941690001596c6cde945968,301898405,Current,1,3,Validation,Short,1
79,Bad,First Bank,61.13 - High,32 - 36,3,15,Low,Permanent,High,,No,Savings,Norm,13:44.0,12:34.0,61.16666667,10000,11500,365,00:00.0,33,3.3583366,6.4346996,8a858e015c58ee6a015c592ed3541c4a,301933364,Savings,1,3,Validation,Short,1
80,Good,Fidelity Bank,Low - 60.17,Low - 28,3,30,Low,Permanent,High,,No,Other,Norm,25:48.0,25:39.0,60.15,10000,13000,365,00:00.0,27,7.4572617,9.005805,8a858e0156b782a10156b8e131824d39,301692434,Other,1,3,Validation,Norm,1
81,Good,Fidelity Bank,Low - 60.17,28 - 32,6,30,Med,Self-Employed,High,,No,Other,Norm,06:41.0,06:31.0,60.16666667,10000,13000,365,00:00.0,28,7.3880845,9.1210136,8a858e0156b782a10156b96d30cb5b73,301692486,Other,2,3,Training,Norm,1
82,Bad,GT Bank,Low - 60.17,32 - 36,4,30,Med,Self-Employed,Med,Secondary,No,Savings,Norm,23:45.0,23:35.0,60.16666667,10000,13000,365,00:00.0,32,4.555411667,7.493411667,8a858e0156b782a10156bb6e91b8089a,301692766,Savings,2,2,Training,Norm,1
83,Bad,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,Permanent,High,,No,Other,Norm,10:31.0,10:16.0,60.25,10000,11500,365,00:00.0,31,3.5231228,6.4247372,8a858e0156b782a10156bbef39622867,301884997,Other,1,3,Training,Short,1
84,Bad,GT Bank,60.17 - 60.23,36 - High,6,15,Med,Self-Employed,High,,No,Other,Norm,44:54.0,44:41.0,60.21666667,10000,11500,365,00:00.0,37,7.3592521,8.9924654,8a858e0156b782a10156beb5c215582e,301964027,Other,2,3,Training,Short,1
85,Good,GT Bank,60.17 - 60.23,Low - 28,2,30,Med,Self-Employed,Low,Graduate,No,Other,Norm,56:57.0,56:43.0,60.23333333,10000,13000,365,00:00.0,27,3.6083256,6.4817141,8a858e0156b782a10156beec8fb25d41,301694320,Other,2,1,Test,Norm,1
86,Good,UBA,60.17 - 60.23,Low - 28,3,30,Low,Permanent,High,,No,Other,Norm,06:57.0,06:45.0,60.2,10000,13000,365,00:00.0,22,3.3913437,6.530161,8a858e0156b782a10156c2f83bd248f2,301707411,Other,1,3,Test,Norm,1
87,Good,Stanbic IBTC,60.17 - 60.23,32 - 36,6,15,Med,Self-Employed,High,Primary,No,Savings,Norm,27:41.0,27:29.0,60.2,10000,11500,365,00:00.0,35,3.5573894,6.463117,8a858e0156b782a10156c72b56162057,301712105,Savings,2,3,Test,Short,1
88,Bad,Zenith Bank,60.17 - 60.23,28 - 32,3,15,High,Student,Low,Post-Graduate,No,Other,Norm,47:52.0,47:41.0,60.18333333,10000,11500,365,00:00.0,29,7.3980912,6.4349228,8a858e0156b782a10156c74e46602d88,301696627,Other,3,1,Training,Short,1
89,Good,GT Bank,Low - 60.17,36 - High,3,30,Low,Permanent,High,,No,Other,Norm,07:39.0,07:29.0,60.16666667,10000,13000,365,00:00.0,42,3.3623516,6.5482963,8a858e0156b782a10156c206b49d04ed,301694893,Other,1,3,Training,Norm,1
90,Good,GT Bank,60.17 - 60.23,32 - 36,3,15,Low,Permanent,High,,No,Other,Norm,26:22.0,26:09.0,60.21666667,10000,11500,365,00:00.0,35,3.3567907,6.6217712,8a858e0156b782a10156c6613e7c4b5f,301696190,Other,1,3,Test,Short,1
91,Good,GT Bank,60.17 - 60.23,32 - 36,3,30,Low,Permanent,High,,No,Other,Norm,37:52.0,37:38.0,60.23333333,10000,13000,365,00:00.0,35,7.5749554,9.0251491,8a858e0156b782a10156c19772015fcd,301797469,Other,1,3,Training,Norm,1
92,Bad,First Bank,60.17 - 60.23,Low - 28,3,15,High,Unemployed,Low,Graduate,No,Other,Norm,29:55.0,29:44.0,60.18333333,10000,11500,365,00:00.0,22,5.6026117,6.3937633,8a858e0156b782a10156d90febe93799,301699713,Other,3,1,Validation,Short,1
93,Good,GT Bank,Low - 60.17,Low - 28,6,30,Med,Self-Employed,High,,No,Other,Norm,23:44.0,23:34.0,60.16666667,10000,13000,365,00:00.0,27,5.2066062,7.2284074,8a858e0156b782a10156d151957b56cc,301698151,Other,2,3,Validation,Norm,1
94,Good,First Bank,Low - 60.17,Low - 28,6,15,Med,Self-Employed,High,,No,Other,Norm,18:43.0,18:34.0,60.15,10000,11500,365,00:00.0,28,4.1532063,7.6237409,8a858e0156b782a10156d773847c2452,301699443,Other,2,3,Training,Short,1
95,Good,First Bank,60.17 - 60.23,36 - High,6,30,Med,Self-Employed,High,,No,Savings,Norm,17:55.0,17:43.0,60.2,10000,13000,365,00:00.0,49,5.710165,5.5934783,8a858e0156b782a10156dfbdd6a1331c,301774849,Savings,2,3,Training,Norm,1
96,Good,Zenith Bank,60.23 - 61.13,32 - 36,3,30,Low,Permanent,High,,No,Other,Norm,33:45.0,33:04.0,60.68333333,10000,13000,365,00:00.0,35,7.430362,10.4847245,8a858e0156b782a10156e09c0f90725b,301770230,Other,1,3,Training,Norm,1
