row_id,good_bad_flag,bank_name_clients,approval_duration_group,age_at_loan_25th_pctile,credit_rating,termdays,employment_status_risk,level_of_education_risk,referral,bank_account_type_recode,loanamount_group,approval_duration,loanamount,totaldue,Interestrate,age_at_loan,longitude_gps,latitude_gps,bank_account_type,validation
22,Good,Skye Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Other,Norm,60.15,10000,13000,365,27,7.4833331,9.0666666,Other,Validation
23,Good,GT Bank,Low - 60.17,32 - 36,3,15,Low,High,No,Other,Norm,60.16666667,10000,11500,365,35,5.6903337,5.8857439,Other,Validation
24,Good,Access Bank,Low - 60.17,36 - High,3,30,Low,High,No,Other,Norm,60.13333333,10000,13000,365,47,3.431007,6.4551378,Other,Test
25,Good,GT Bank,Low - 60.17,36 - High,6,30,Med,High,No,Other,Norm,60.13333333,10000,13000,365,51,3.1960999,6.4992127,Other,Validation
26,Good,EcoBank,60.23 - 61.13,Low - 28,9,30,High,High,No,Other,Norm,60.26666667,10000,13000,365,24,3.4553466,6.7930779,Other,Validation
27,Bad,UBA,60.23 - 61.13,Low - 28,3,15,Low,High,Yes,Savings,Norm,61.13333333,10000,11500,365,27,5.5920183,6.3235483,Savings,Training
28,Good,EcoBank,60.23 - 61.13,36 - High,9,30,High,High,No,Savings,Norm,61.11666667,10000,13000,365,38,3.3885508,6.4539447,Savings,Training
29,Good,First Bank,60.23 - 61.13,36 - High,2,30,Low,Med,No,Savings,Norm,61.13333333,10000,13000,365,41,5.6272822,6.3217533,Savings,Test
30,Good,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,31,3.3549943,6.5397064,Savings,Test
31,Good,First Bank,60.23 - 61.13,28 - 32,9,30,High,High,Yes,Savings,Norm,61.13333333,10000,13000,365,29,7.4018074,9.1226869,Savings,Training
32,Good,UBA,61.13 - High,32 - 36,3,15,Low,High,No,Savings,Norm,61.18333333,10000,11500,365,34,3.2865452,6.6156567,Savings,Validation
33,Good,Diamond Bank,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.15,10000,11500,365,24,3.5224291,6.4247056,Savings,Test
34,Good,GT Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.21666667,10000,13000,365,25,3.3546694,6.5791156,Savings,Training
35,Good,GT Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,Norm,60.2,10000,11500,365,33,8.8464408,9.8824985,Savings,Validation
36,Good,GT Bank,60.17 - 60.23,36 - High,9,15,High,High,No,Savings,Norm,60.2,10000,11500,365,44,3.1483217,6.4638023,Savings,Training
37,Bad,GT Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,60.26666667,10000,13000,365,30,7.4306571,10.5282429,Savings,Training
38,Good,First Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,Norm,60.2,10000,11500,365,33,7.4730606,10.4684494,Savings,Validation
39,Good,Access Bank,Low - 60.17,28 - 32,6,15,Med,High,No,Other,Norm,60.13333333,5000,5750,365,30,3.4780827,6.6471457,Other,Validation
40,Good,GT Bank,Low - 60.17,32 - 36,1,15,Low,Low,No,Other,Norm,60.11666667,10000,11500,365,34,3.4231792,6.4540573,Other,Validation
41,Bad,Diamond Bank,60.17 - 60.23,28 - 32,9,30,High,High,No,Savings,Norm,60.18333333,10000,13000,365,31,5.1984532,7.6404166,Savings,Test
42,Good,First Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.1,10000,13000,365,27,3.374037,6.4812902,Savings,Validation
43,Good,UBA,61.13 - High,36 - High,3,30,Low,High,No,Savings,Norm,61.18333333,10000,13000,365,39,3.4183333,6.610727,Savings,Test
44,Good,Skye Bank,Low - 60.17,32 - 36,9,15,High,High,No,Savings,Norm,60.11666667,10000,11500,365,33,3.2623567,6.43968,Savings,Validation
45,Good,Zenith Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.63333333,10000,11500,365,25,3.3813132,6.4939532,Savings,Validation
46,Good,GT Bank,Low - 60.17,32 - 36,9,15,High,High,No,Savings,Norm,60.15,10000,11500,365,33,3.2856324,6.6135403,Savings,Training
47,Good,Diamond Bank,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,60.3,10000,13000,365,30,7.4345863,10.4829935,Savings,Test
48,Good,Stanbic IBTC,60.17 - 60.23,32 - 36,1,15,Low,Low,No,Savings,Norm,60.23333333,10000,11500,365,35,3.3006553,6.7034117,Savings,Training
49,Good,First Bank,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,29,3.3112585,6.4633712,Savings,Training
50,Good,Union Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.15,10000,13000,365,24,5.200208,7.2513109,Savings,Validation
51,Good,Zenith Bank,60.17 - 60.23,32 - 36,3,15,Low,High,Yes,Savings,Norm,60.18333333,10000,11500,365,32,7.3928096,9.1249753,Savings,Training
52,Good,Stanbic IBTC,60.23 - 61.13,32 - 36,3,30,Low,High,No,Savings,Norm,60.31666667,10000,13000,365,34,3.3281894,6.4662308,Savings,Test
53,Bad,UBA,60.17 - 60.23,28 - 32,9,30,High,High,No,Savings,Norm,60.18333333,10000,13000,365,30,7.8819306,8.8536729,Savings,Test
54,Good,Skye Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.28333333,10000,11500,365,24,7.3585564,8.9748124,Savings,Validation
55,Bad,First Bank,60.17 - 60.23,28 - 32,9,15,High,High,Yes,Savings,Norm,60.23333333,10000,11500,365,30,3.3029379,6.6263662,Savings,Test
56,Good,Diamond Bank,61.13 - High,Low - 28,3,30,Low,High,Yes,Savings,Norm,61.15,10000,13000,365,23,6.9313152,4.8061756,Savings,Validation
57,Good,Diamond Bank,Low - 60.17,32 - 36,3,15,Low,High,No,Savings,Norm,60.16666667,10000,11500,365,34,8.8633286,9.8119354,Savings,Validation
58,Good,Zenith Bank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,60.28333333,10000,13000,365,27,7.464168,5.5372662,Savings,Validation
59,Good,GT Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,Norm,60.2,10000,11500,365,34,3.3828068,6.6021278,Savings,Training
60,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.3,10000,11500,365,28,4.7175318,8.1396633,Savings,Training
61,Good,Diamond Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.2,10000,11500,365,25,3.3426863,6.447937,Savings,Training
62,Good,GT Bank,Low - 60.17,36 - High,3,15,Low,High,No,Savings,Norm,60.15,9000,10350,365,44,3.3468346,6.5942889,Savings,Training
63,Good,Diamond Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Other,Norm,60.16666667,10000,11500,365,30,3.174916,6.6841814,Other,Training
64,Good,GT Bank,Low - 60.17,Low - 28,6,15,Med,High,No,Other,Norm,60.08333333,5000,5750,365,27,8.8897302,9.9135749,Other,Training
65,Good,Stanbic IBTC,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,Norm,60.18333333,10000,11500,365,36,5.2124771,7.6314657,Savings,Test
66,Good,Stanbic IBTC,60.23 - 61.13,Low - 28,3,15,Low,High,Yes,Savings,Norm,61.13333333,10000,11500,365,25,3.4454016,6.4361152,Savings,Training
67,Good,Diamond Bank,60.23 - 61.13,36 - High,9,30,High,High,No,Savings,Norm,60.26666667,10000,13000,365,36,2.4464717,6.3691899,Savings,Validation
68,Good,UBA,60.23 - 61.13,28 - 32,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,31,3.3496499,6.6060299,Savings,Validation
69,Good,Access Bank,60.23 - 61.13,36 - High,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,37,3.9625763,7.4604206,Savings,Test
70,Good,Zenith Bank,61.13 - High,36 - High,3,30,Low,High,Yes,Other,Norm,61.15,10000,13000,365,39,3.3253233,6.6772667,Current,Test
71,Good,GT Bank,60.23 - 61.13,36 - High,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,41,3.322697,6.6277907,Savings,Test
72,Bad,FCMB,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.1,10000,13000,365,28,3.4515467,6.436961,Savings,Validation
73,Good,UBA,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.16666667,10000,13000,365,28,3.3468977,6.637077,Savings,Training
74,Good,Diamond Bank,60.23 - 61.13,36 - High,3,15,Low,High,Yes,Savings,Norm,61.13333333,10000,11500,365,47,3.871098,7.3473618,Savings,Training
75,Good,Diamond Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Other,Norm,60.18333333,8000,9200,365,34,3.3545075,6.5850413,Other,Test
76,Bad,Stanbic IBTC,60.17 - 60.23,28 - 32,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,30,6.9979401,4.8319172,Savings,Training
77,Bad,GT Bank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,22,3.2059219,6.643403,Savings,Validation
78,Good,Stanbic IBTC,60.17 - 60.23,Low - 28,3,15,Low,High,No,Other,Norm,60.21666667,10000,11500,365,28,4.5767446,7.5185773,Current,Validation
79,Bad,First Bank,61.13 - High,32 - 36,3,15,Low,High,No,Savings,Norm,61.16666667,10000,11500,365,33,3.3583366,6.4346996,Savings,Validation
80,Good,Fidelity Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.15,10000,13000,365,27,7.4572617,9.005805,Other,Validation
81,Good,Fidelity Bank,Low - 60.17,28 - 32,6,30,Med,High,No,Other,Norm,60.16666667,10000,13000,365,28,7.3880845,9.1210136,Other,Training
82,Bad,GT Bank,Low - 60.17,32 - 36,4,30,Med,Med,No,Savings,Norm,60.16666667,10000,13000,365,32,4.555411667,7.493411667,Savings,Training
83,Bad,GT Bank,60.23 - 61.13,28 - 32,3,15,Low,High,No,Other,Norm,60.25,10000,11500,365,31,3.5231228,6.4247372,Other,Training
84,Bad,GT Bank,60.17 - 60.23,36 - High,6,15,Med,High,No,Other,Norm,60.21666667,10000,11500,365,37,7.3592521,8.9924654,Other,Training
85,Good,GT Bank,60.17 - 60.23,Low - 28,2,30,Med,Low,No,Other,Norm,60.23333333,10000,13000,365,27,3.6083256,6.4817141,Other,Test
86,Good,UBA,60.17 - 60.23,Low - 28,3,30,Low,High,No,Other,Norm,60.2,10000,13000,365,22,3.3913437,6.530161,Other,Test
87,Good,Stanbic IBTC,60.17 - 60.23,32 - 36,6,15,Med,High,No,Savings,Norm,60.2,10000,11500,365,35,3.5573894,6.463117,Savings,Test
88,Bad,Zenith Bank,60.17 - 60.23,28 - 32,3,15,High,Low,No,Other,Norm,60.18333333,10000,11500,365,29,7.3980912,6.4349228,Other,Training
89,Good,GT Bank,Low - 60.17,36 - High,3,30,Low,High,No,Other,Norm,60.16666667,10000,13000,365,42,3.3623516,6.5482963,Other,Training
90,Good,GT Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Other,Norm,60.21666667,10000,11500,365,35,3.3567907,6.6217712,Other,Test
91,Good,GT Bank,60.17 - 60.23,32 - 36,3,30,Low,High,No,Other,Norm,60.23333333,10000,13000,365,35,7.5749554,9.0251491,Other,Training
92,Bad,First Bank,60.17 - 60.23,Low - 28,3,15,High,Low,No,Other,Norm,60.18333333,10000,11500,365,22,5.6026117,6.3937633,Other,Validation
93,Good,GT Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Other,Norm,60.16666667,10000,13000,365,27,5.2066062,7.2284074,Other,Validation
94,Good,First Bank,Low - 60.17,Low - 28,6,15,Med,High,No,Other,Norm,60.15,10000,11500,365,28,4.1532063,7.6237409,Other,Training
95,Good,First Bank,60.17 - 60.23,36 - High,6,30,Med,High,No,Savings,Norm,60.2,10000,13000,365,49,5.710165,5.5934783,Savings,Training
96,Good,Zenith Bank,60.23 - 61.13,32 - 36,3,30,Low,High,No,Other,Norm,60.68333333,10000,13000,365,35,7.430362,10.4847245,Other,Training
97,Good,GT Bank,Low - 60.17,32 - 36,9,30,High,High,No,Savings,Norm,60.13333333,10000,13000,365,32,3.4204889,6.4293619,Savings,Training
98,Good,Access Bank,61.13 - High,28 - 32,9,15,High,High,Yes,Savings,Norm,61.23333333,10000,11500,365,29,7.409596,9.0911591,Savings,Validation
99,Good,First Bank,Low - 60.17,28 - 32,2,30,Med,Low,No,Savings,Norm,60.15,10000,13000,365,30,7.0369062,4.8261434,Savings,Training
100,Good,UBA,Low - 60.17,28 - 32,3,15,High,Low,No,Other,Norm,60.15,10000,11500,365,30,7.0658478,4.8196957,Other,Test
101,Good,UBA,Low - 60.17,36 - High,3,15,Low,High,No,Other,Norm,60.16666667,10000,11500,365,39,3.1839732,6.4763655,Other,Validation
102,Good,GT Bank,Low - 60.17,28 - 32,6,30,Med,High,No,Other,Norm,60.15,10000,13000,365,29,5.7606924,5.5462823,Other,Validation
103,Bad,Skye Bank,Low - 60.17,Low - 28,2,30,Med,Low,No,Other,Norm,60.15,10000,13000,365,21,5.6009552,6.2333216,Other,Training
104,Good,FCMB,60.17 - 60.23,28 - 32,3,15,Low,High,No,Other,Norm,60.21666667,10000,11500,365,28,4.8338633,7.0627433,Other,Validation
105,Bad,UBA,Low - 60.17,32 - 36,4,15,Med,Med,No,Other,Norm,60.15,10000,11500,365,36,7.0086866,4.7544069,Other,Test
106,Good,Diamond Bank,60.17 - 60.23,32 - 36,6,15,Med,High,No,Other,Norm,60.18333333,10000,11500,365,33,2.7486303,6.6405991,Other,Test
107,Good,GT Bank,Low - 60.17,Low - 28,9,15,High,High,No,Other,Norm,60.16666667,10000,11500,365,26,6.6276272,6.1673517,Other,Validation
108,Bad,GT Bank,60.17 - 60.23,36 - High,3,15,Low,High,No,Other,Norm,60.18333333,10000,11500,365,40,3.3399435,6.4964831,Other,Test
109,Good,Zenith Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.28333333,10000,11500,365,25,3.4009933,6.4443617,Savings,Validation
110,Good,Diamond Bank,Low - 60.17,36 - High,2,30,Med,Low,No,Other,Norm,60.15,10000,13000,365,49,3.3045909,6.503161,Other,Training
111,Good,GT Bank,60.17 - 60.23,32 - 36,4,15,Med,Med,No,Other,Norm,60.23333333,10000,11500,365,33,3.3413629,6.5618182,Other,Training
112,Bad,GT Bank,60.17 - 60.23,36 - High,4,15,Med,Med,No,Other,Norm,60.2,10000,11500,365,37,8.3232966,4.9612435,Other,Training
113,Good,First Bank,60.23 - 61.13,36 - High,3,30,Low,High,No,Savings,Norm,60.25,10000,13000,365,49,3.4272992,6.4348088,Savings,Test
114,Good,Access Bank,60.17 - 60.23,32 - 36,6,30,Med,High,No,Other,Norm,60.2,10000,13000,365,34,7.0725051,8.9361342,Other,Validation
115,Good,First Bank,Low - 60.17,Low - 28,3,15,High,Low,No,Other,Norm,60.15,10000,11500,365,23,7.5296319,6.4263965,Other,Training
116,Good,Access Bank,Low - 60.17,36 - High,6,15,Med,High,No,Savings,Norm,60.16666667,10000,11500,365,37,7.456973,10.4504331,Savings,Test
117,Good,GT Bank,Low - 60.17,36 - High,3,15,Low,High,No,Other,Norm,60.15,10000,11500,365,55,3.3560565,7.1874492,Other,Validation
118,Good,GT Bank,Low - 60.17,Low - 28,4,30,Med,Med,No,Savings,Norm,60.15,10000,13000,365,25,-0.117477,5.6137514,Savings,Test
119,Good,GT Bank,Low - 60.17,36 - High,6,15,Med,High,No,Savings,Norm,60.16666667,10000,11500,365,41,3.3837746,6.5821275,Savings,Test
120,Good,UBA,60.23 - 61.13,28 - 32,3,15,Low,High,No,Other,Norm,60.26666667,10000,11500,365,31,3.5628598,6.4550562,Other,Validation
121,Good,Access Bank,Low - 60.17,36 - High,2,15,Med,Low,No,Savings,Norm,60.15,10000,11500,365,36,7.3825294,10.4619949,Savings,Training
122,Good,First Bank,Low - 60.17,36 - High,2,30,Med,Low,No,Other,Norm,60.16666667,10000,13000,365,52,3.3419228,7.1289625,Other,Validation
123,Good,GT Bank,Low - 60.17,36 - High,6,15,Med,High,No,Other,Norm,60.15,10000,11500,365,38,3.357834,6.544882,Other,Training
124,Bad,UBA,Low - 60.17,32 - 36,3,15,Low,High,No,Savings,Norm,60.15,10000,11500,365,32,7.917136667,5.023743333,Savings,Validation
125,Bad,GT Bank,60.17 - 60.23,36 - High,3,30,Low,High,No,Savings,Norm,60.23333333,10000,13000,365,37,3.3300698,6.4595756,Savings,Training
126,Good,GT Bank,60.23 - 61.13,36 - High,3,30,Low,High,No,Savings,Norm,60.31666667,10000,13000,365,42,3.2953077,6.7081212,Savings,Training
127,Good,GT Bank,Low - 60.17,32 - 36,3,15,Low,High,No,Savings,Norm,60.16666667,10000,11500,365,34,3.328249,7.1478018,Savings,Training
128,Good,GT Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.16666667,10000,13000,365,21,3.4615233,6.4344378,Savings,Training
129,Good,First Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,Norm,60.2,10000,11500,365,34,4.8048475,6.3548195,Savings,Test
130,Good,Access Bank,60.23 - 61.13,32 - 36,3,30,Low,High,No,Savings,Norm,60.48333333,10000,13000,365,32,3.36751,6.5585783,Savings,Validation
131,Good,GT Bank,61.13 - High,28 - 32,3,15,Low,High,No,Savings,Norm,61.15,10000,11500,365,31,3.5545435,6.4574847,Savings,Test
132,Bad,Access Bank,60.23 - 61.13,32 - 36,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,32,7.4602796,9.0065501,Savings,Validation
133,Bad,First Bank,Low - 60.17,36 - High,3,30,Low,High,Yes,Savings,Norm,60.13333333,10000,13000,365,41,3.8920083,7.4083333,Savings,Training
134,Good,First Bank,60.23 - 61.13,36 - High,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,38,7.5105667,6.4173765,Savings,Training
135,Good,First Bank,Low - 60.17,32 - 36,3,15,Low,High,No,Savings,Norm,60.11666667,10000,11500,365,33,7.7070584,11.0741226,Savings,Validation
136,Bad,UBA,60.23 - 61.13,32 - 36,3,30,Low,High,Yes,Savings,Norm,61.13333333,10000,13000,365,34,4.5371415,7.7659524,Savings,Training
137,Good,First Bank,61.13 - High,28 - 32,3,30,Low,High,No,Savings,Norm,61.15,10000,13000,365,29,3.4573084,6.4362871,Savings,Test
138,Good,GT Bank,60.23 - 61.13,36 - High,9,30,High,High,Yes,Savings,Norm,61.13333333,10000,13000,365,36,7.3754605,8.9544368,Savings,Validation
139,Good,Keystone Bank,60.23 - 61.13,36 - High,3,15,Low,High,Yes,Savings,Norm,61.13333333,10000,11500,365,39,3.422685,6.4437749,Savings,Test
140,Good,First Bank,Low - 60.17,28 - 32,9,15,High,High,No,Savings,Norm,60.16666667,10000,11500,365,30,3.2406074,6.6607579,Savings,Test
141,Bad,Zenith Bank,60.23 - 61.13,36 - High,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,42,7.3545254,8.9651347,Savings,Training
142,Good,UBA,60.17 - 60.23,36 - High,9,30,High,High,No,Savings,Norm,60.2,10000,13000,365,44,3.8123833,7.3976417,Savings,Training
143,Bad,Access Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.15,10000,13000,365,24,3.9092595,7.4432612,Savings,Validation
144,Good,UBA,Low - 60.17,36 - High,9,30,High,High,No,Savings,Norm,60.13333333,10000,13000,365,44,7.4907184,5.518951,Savings,Test
145,Good,First Bank,60.23 - 61.13,36 - High,3,30,Low,High,No,Savings,Norm,60.28333333,10000,13000,365,38,7.3672083,10.5884817,Savings,Training
146,Good,GT Bank,Low - 60.17,28 - 32,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,30,3.2641776,6.6099142,Savings,Training
147,Good,Diamond Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,Norm,60.21666667,10000,11500,365,35,3.4189516,6.4276896,Savings,Validation
148,Good,GT Bank,60.23 - 61.13,Low - 28,9,15,High,High,Yes,Savings,Norm,61.13333333,10000,11500,365,27,7.5861802,9.0146061,Savings,Training
149,Good,Access Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.18333333,10000,13000,365,27,6.9918949,4.8726409,Savings,Training
150,Good,Zenith Bank,60.23 - 61.13,32 - 36,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,33,3.4617967,6.42786,Savings,Test
151,Bad,Access Bank,60.23 - 61.13,32 - 36,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,35,6.204584,6.245407,Savings,Training
152,Bad,GT Bank,61.13 - High,36 - High,3,30,Low,High,No,Savings,Norm,61.15,10000,13000,365,42,4.84996,7.1090767,Savings,Test
153,Good,Fidelity Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.21666667,10000,11500,365,27,7.3557845,9.003295,Savings,Training
154,Good,GT Bank,60.23 - 61.13,32 - 36,3,30,Low,High,No,Savings,Norm,61.11666667,10000,13000,365,33,6.7086242,6.2140277,Savings,Validation
155,Good,GT Bank,61.13 - High,36 - High,3,15,Low,High,Yes,Savings,Norm,61.16666667,10000,11500,365,37,3.3693013,6.4491154,Savings,Validation
156,Good,Fidelity Bank,60.23 - 61.13,36 - High,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,45,7.6388622,9.0007978,Savings,Test
157,Bad,GT Bank,61.13 - High,28 - 32,9,30,High,High,No,Savings,Norm,61.16666667,10000,13000,365,30,7.4386425,9.0622105,Savings,Validation
158,Good,GT Bank,60.17 - 60.23,28 - 32,3,15,Low,High,No,Savings,Norm,60.21666667,10000,11500,365,28,3.2594445,6.5570112,Savings,Training
159,Good,GT Bank,Low - 60.17,32 - 36,9,30,High,High,No,Savings,Norm,60.16666667,10000,13000,365,34,4.5642283,8.459555,Savings,Training
160,Good,UBA,60.17 - 60.23,32 - 36,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,33,7.4443892,10.4649699,Savings,Training
161,Bad,Diamond Bank,60.17 - 60.23,32 - 36,3,30,Low,High,No,Savings,Norm,60.23333333,10000,13000,365,34,3.3270902,6.5426432,Savings,Test
162,Good,Access Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,24,3.3913378,6.5304565,Savings,Test
163,Bad,Sterling Bank,Low - 60.17,28 - 32,3,15,Low,High,No,Savings,Norm,60.11666667,10000,11500,365,29,3.3976564,7.177822,Savings,Training
164,Good,FCMB,Low - 60.17,36 - High,3,30,Low,High,No,Savings,Norm,60.13333333,10000,13000,365,39,7.2104513,8.885381,Savings,Validation
165,Good,Skye Bank,Low - 60.17,32 - 36,4,15,Med,Med,No,Other,Norm,60.15,10000,11500,365,32,3.5108375,6.6159321,Other,Training
166,Bad,Zenith Bank,60.17 - 60.23,32 - 36,3,15,Low,High,No,Savings,Norm,60.21666667,10000,11500,365,33,3.9225779,7.4142169,Savings,Validation
167,Bad,UBA,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.18333333,10000,13000,365,21,6.9856483,4.7952117,Savings,Training
168,Good,FCMB,60.23 - 61.13,32 - 36,1,30,Low,Low,No,Savings,Norm,60.28333333,10000,13000,365,33,3.9254564,7.3422948,Savings,Training
169,Bad,UBA,60.17 - 60.23,28 - 32,9,30,High,High,No,Savings,Norm,60.18333333,10000,13000,365,29,7.0053893,4.9033645,Savings,Test
170,Good,First Bank,60.23 - 61.13,36 - High,9,30,High,High,No,Savings,Norm,61.13333333,10000,13000,365,51,11.3448923,8.9465271,Savings,Training
171,Good,UBA,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.45,10000,13000,365,27,3.27245,6.5592536,Savings,Test
172,Bad,GT Bank,60.23 - 61.13,28 - 32,9,30,High,High,No,Savings,Norm,60.31666667,10000,13000,365,31,3.5969317,6.5117336,Savings,Training
173,Bad,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.25,10000,13000,365,23,3.6540193,6.473818,Savings,Test
