Good_or_Bad,Max(loannumber),Max(durationforapproval),Mean(Interestrate),Sum(referral_recode),Sum(churn_flag),Pct_Ontime,Mean(AgeAtTimeofLoan),bank_account_recode,bank_name_clients,employment_status_clients_recode
Good,2,1.019722222,365,0,1,50,37,Savings,Stanbic IBTC,Permanent
Bad,2,1.018611111,365,0,0,0,47.9,Savings,First Bank,Permanent
Good,2,1.020277778,365,2,2,100,38.9,Savings,UBA,Unknown
Bad,2,1.019166667,365,0,0,0,38.8,Savings,Zenith Bank,Unknown
Good,2,1.019166667,365,0,2,100,34.1,Savings,First Bank,Unknown
Good,2,1.019166667,365,0,2,100,37.1,Other,FCMB,Permanent
Good,2,1.018888889,365,0,2,100,29.9,Other,Diamond Bank,Permanent
Good,2,1.002777778,365,0,1,50,27.3,Other,First Bank,Self-Employed
Good,2,1.019722222,365,0,2,100,28.7,Savings,Skye Bank,Permanent
Good,2,1.019166667,365,0,2,100,32.9,Savings,Stanbic IBTC,Permanent
Good,2,1.019722222,365,0,2,100,30.8,Savings,Diamond Bank,Permanent
Bad,2,1.019166667,365,2,1,50,23.9,Savings,First Bank,Permanent
Bad,2,1.019444444,365,0,0,0,28,Savings,EcoBank,Unknown
Good,2,1.019166667,365,0,2,100,37,Savings,First Bank,Permanent
Bad,2,1.003055556,365,2,0,0,35.6,Savings,Access Bank,Permanent
Good,2,1.019166667,365,0,2,100,36.8,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,31.6,Savings,GT Bank,Permanent
Good,2,1.003611111,365,0,2,100,40.2,Savings,GT Bank,Unknown
Bad,2,1.018888889,365,2,0,0,32.3,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,1,50,37.7,Savings,Skye Bank,Permanent
Good,2,3.083055556,365,2,2,100,36.9,Savings,UBA,Permanent
Bad,2,1.019166667,365,0,1,50,33.2,Savings,GT Bank,Unknown
Good,2,1.018888889,365,0,2,100,26.5,Savings,GT Bank,Permanent
Good,2,1.001944444,365,2,2,100,31.7,Savings,First Bank,Permanent
Good,2,1.019166667,365,2,1,50,33.1,Savings,EcoBank,Permanent
Good,2,1.019166667,304.1666667,0,2,100,36.6,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,1,50,40.3,Savings,GT Bank,Unknown
Good,2,1.019166667,365,0,2,100,28.8,Savings,GT Bank,Permanent
Good,2,1.020277778,365,0,1,50,32.2,Savings,Diamond Bank,Unknown
Good,2,1.001944444,365,0,2,100,28.2,Savings,GT Bank,Permanent
Bad,2,1.019166667,365,2,0,0,37.1,Savings,UBA,Permanent
Good,2,1.018888889,365,0,2,100,30.3,Savings,Stanbic IBTC,Permanent
Good,2,1.018888889,365,0,2,100,45.1,Savings,Access Bank,Unknown
Good,2,1.003888889,365,0,1,50,23.3,Savings,FCMB,Permanent
Good,2,1.018611111,365,0,1,50,40.1,Savings,FCMB,Unknown
Bad,2,1.004722222,365,0,1,50,33.9,Savings,GT Bank,Permanent
Good,2,1.003333333,365,0,2,100,39,Savings,Fidelity Bank,Unknown
Good,2,1.003611111,365,0,1,50,40.9,Savings,First Bank,Unknown
Good,2,1.019166667,365,0,2,100,32.1,Savings,Diamond Bank,Unknown
Good,2,1.019444444,365,0,2,100,34.1,Savings,EcoBank,Permanent
Good,2,1.018888889,365,0,2,100,41.6,Savings,GT Bank,Unknown
Good,2,1.001944444,365,0,2,100,32.4,Savings,GT Bank,Permanent
Bad,2,1.018888889,365,0,0,0,31.4,Savings,Sterling Bank,Permanent
Good,2,1.0025,365,0,2,100,32.6,Savings,Access Bank,Permanent
Good,2,1.018888889,365,0,2,100,31.3,Savings,GT Bank,Permanent
Good,2,1.02,365,0,2,100,34.3,Savings,Zenith Bank,Permanent
Good,2,1.018888889,365,0,2,100,25.3,Savings,First Bank,Permanent
Good,2,1.003333333,365,0,2,100,26.3,Savings,Skye Bank,Permanent
Good,2,1.018888889,365,0,2,100,33.6,Savings,GT Bank,Permanent
Bad,2,1.002222222,365,0,0,0,30.7,Savings,First Bank,Unknown
Good,2,1.019166667,365,2,2,100,29.8,Savings,Zenith Bank,Permanent
Good,2,1.018888889,365,0,2,100,31.1,Savings,GT Bank,Unknown
Bad,2,1.018888889,365,0,0,0,23.2,Savings,GT Bank,Permanent
Bad,2,1.019166667,365,2,0,0,37,Savings,GT Bank,Permanent
Good,2,1.018611111,365,2,1,50,33.6,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,52.1,Savings,First Bank,Unknown
Bad,2,1.018888889,365,2,0,0,38.3,Savings,GT Bank,Unknown
Good,2,1.018888889,365,2,2,100,28,Savings,Diamond Bank,ContractRetiredUnemployed
Good,2,1.543333333,365,0,2,100,24.2,Savings,GT Bank,Permanent
Good,2,1.019444444,365,2,1,50,33,Savings,First Bank,Permanent
Good,2,1.019166667,365,2,2,100,32.8,Savings,First Bank,Permanent
Good,2,1.018888889,365,0,2,100,34.6,Savings,GT Bank,Permanent
Good,2,1.019166667,365,2,2,100,32.7,Savings,Access Bank,Permanent
Bad,2,1.019444444,365,0,1,50,34.8,Savings,Stanbic IBTC,Permanent
Good,2,1.003611111,365,0,2,100,36.7,Savings,GT Bank,Unknown
Bad,2,1.003055556,365,0,0,0,22.7,Savings,Diamond Bank,Permanent
Bad,2,1.018888889,365,2,0,0,36.9,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,25.5,Savings,UBA,Permanent
Good,2,1.018611111,365,0,2,100,37.2,Savings,Access Bank,Unknown
Bad,2,1.018611111,365,0,0,0,26.8,Savings,GT Bank,Unknown
Good,2,1.018888889,365,2,1,50,32.9,Savings,Zenith Bank,ContractRetiredUnemployed
Good,2,1.018888889,365,0,2,100,29.4,Savings,GT Bank,Unknown
Good,2,1.018888889,365,0,2,100,31.2,Savings,GT Bank,Permanent
Bad,2,1.002777778,365,0,1,50,26.3,Savings,GT Bank,Unknown
Good,2,1.019166667,365,0,2,100,27.3,Savings,UBA,Permanent
Good,2,1.019444444,365,0,2,100,24.9,Savings,Access Bank,Permanent
Good,2,1.020833333,365,0,2,100,33,Savings,First Bank,Permanent
Good,2,1.018611111,365,2,2,100,30.2,Savings,Zenith Bank,Permanent
Bad,2,1.018888889,365,0,1,50,30.5,Savings,UBA,Permanent
Good,2,1.018888889,365,0,1,50,35.7,Savings,Diamond Bank,Unknown
Good,2,1.018888889,365,0,1,50,45.3,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,29.7,Savings,GT Bank,Permanent
Good,2,1.004722222,365,0,2,100,35.5,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,28.9,Savings,Access Bank,Permanent
Good,2,1.002222222,365,0,2,100,33.2,Savings,UBA,Permanent
Good,2,1.018888889,365,0,1,50,28.1,Savings,UBA,Permanent
Good,2,1.018611111,365,0,2,100,34.4,Savings,UBA,Permanent
Good,2,1.020277778,365,0,2,100,45.1,Savings,Zenith Bank,Unknown
Bad,2,1.018888889,365,2,0,0,24.7,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,32.1,Savings,GT Bank,Unknown
Good,2,1.002777778,365,0,2,100,23.9,Savings,First Bank,Permanent
Good,2,1.018888889,365,0,1,50,25.1,Savings,GT Bank,Permanent
Bad,2,1.018611111,365,0,0,0,32.6,Savings,FCMB,Unknown
Good,2,1.018888889,365,0,2,100,47.8,Savings,GT Bank,Unknown
Bad,2,1.004444444,365,0,1,50,39.8,Savings,Zenith Bank,Permanent
Good,2,1.020555556,365,2,2,100,34.7,Savings,GT Bank,Permanent
Good,2,1.003333333,365,2,2,100,27.4,Savings,GT Bank,Permanent
Bad,2,1.002222222,365,0,0,0,37.3,Savings,GT Bank,Unknown
Good,2,1.019166667,365,0,2,100,33.8,Savings,UBA,Unknown
Bad,2,1.018888889,365,2,1,50,45.1,Savings,Zenith Bank,Permanent
Good,2,1.018888889,365,0,2,100,23.3,Savings,Access Bank,Unknown
Good,2,1.018888889,365,2,2,100,39.5,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,31.7,Savings,Fidelity Bank,Permanent
Good,2,1.018888889,365,0,2,100,42.8,Savings,GT Bank,Unknown
Good,2,1.472777778,365,0,2,100,35,Savings,GT Bank,Unknown
Good,2,1.019166667,365,0,1,50,32.5,Savings,GT Bank,Permanent
Good,2,1.018611111,365,0,2,100,35.4,Savings,Stanbic IBTC,Permanent
Good,2,1.018611111,365,0,2,100,29.1,Savings,EcoBank,Permanent
Good,2,1.019166667,365,0,2,100,31.3,Savings,Diamond Bank,Permanent
Good,2,1.019166667,365,0,1,50,30.1,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,35.4,Savings,Zenith Bank,Permanent
Good,2,1.018888889,365,0,2,100,28.2,Savings,UBA,Permanent
Good,2,1.018888889,365,2,2,100,34,Savings,GT Bank,Permanent
Bad,2,1.004722222,365,0,0,0,32.1,Savings,UBA,Permanent
Good,2,1.018888889,365,0,2,100,21.3,Savings,UBA,Student
Bad,2,1.018888889,365,0,1,50,32.3,Savings,Zenith Bank,Permanent
Bad,2,1.001944444,365,0,0,0,26.3,Savings,Diamond Bank,Permanent
Good,2,1.002222222,365,0,2,100,30.9,Savings,FCMB,Permanent
Good,2,1.018888889,365,0,2,100,32.6,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,1,50,27.2,Savings,GT Bank,Permanent
Good,2,1.002222222,365,2,2,100,42.8,Savings,Wema Bank,Permanent
Bad,2,1.019166667,365,2,0,0,36.5,Savings,UBA,Permanent
Good,2,1.018611111,365,2,1,50,40.8,Savings,Diamond Bank,Permanent
Good,2,1.003888889,365,0,1,50,35.3,Savings,GT Bank,Permanent
Good,2,1.003611111,365,0,2,100,32.6,Savings,First Bank,Permanent
Good,2,1.003055556,365,2,2,100,32.3,Savings,GT Bank,Permanent
Good,2,1.0025,365,0,2,100,36.2,Savings,GT Bank,Permanent
Bad,2,1.004166667,365,2,0,0,27.5,Savings,GT Bank,Permanent
Good,2,1.020277778,365,0,2,100,27.7,Savings,EcoBank,Permanent
Good,2,1.019722222,365,0,2,100,25,Savings,GT Bank,Permanent
Good,2,1.019166667,365,2,2,100,28.3,Savings,GT Bank,Unknown
Good,2,1.004444444,365,0,2,100,28.1,Savings,Diamond Bank,Permanent
Good,2,1.019444444,365,0,2,100,24.1,Savings,GT Bank,Permanent
Good,2,1.019722222,365,0,2,100,27.4,Savings,UBA,Permanent
Good,2,1.004166667,365,2,1,50,34.5,Savings,GT Bank,Unknown
Bad,2,1.005,365,0,1,50,24.9,Savings,UBA,Student
Good,2,1.019166667,365,0,2,100,54.6,Savings,First Bank,Permanent
Bad,2,1.018888889,365,0,0,0,47.3,Savings,GT Bank,Permanent
Good,2,1.020555556,365,0,2,100,24.1,Savings,GT Bank,Permanent
Good,2,1.019166667,365,2,2,100,33.4,Savings,Stanbic IBTC,Permanent
Good,2,1.001944444,365,0,2,100,28.5,Other,Fidelity Bank,Permanent
Good,2,1.018888889,365,0,2,100,31.6,Savings,GT Bank,Permanent
Bad,2,1.019166667,365,0,0,0,28.7,Savings,First Bank,Permanent
Good,2,1.018611111,304.1666667,0,2,100,37.2,Savings,UBA,Permanent
Good,2,1.018888889,365,0,2,100,24.3,Savings,FCMB,Permanent
Good,2,1.005,365,0,1,50,36.2,Savings,Wema Bank,Permanent
Bad,2,1.018888889,365,0,0,0,42.4,Savings,GT Bank,Self-Employed
Good,2,1.004444444,365,0,1,50,27.1,Savings,GT Bank,Student
Good,2,1.018888889,365,0,2,100,47.2,Savings,Diamond Bank,Permanent
Good,2,1.018888889,365,0,2,100,31.2,Other,First Bank,Permanent
Good,2,1.019444444,365,0,2,100,28,Other,Zenith Bank,Permanent
Good,2,1.004166667,365,0,1,50,25.5,Savings,GT Bank,Student
Good,2,1.018888889,365,0,2,100,36,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,29.7,Savings,UBA,Permanent
Good,2,1.018888889,365,0,2,100,27.1,Savings,Zenith Bank,Permanent
Good,2,1.003333333,365,0,2,100,25.5,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,36.3,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,40,Savings,GT Bank,Permanent
Good,2,1.020277778,365,0,1,50,38.8,Savings,First Bank,Permanent
Good,2,1.018888889,365,2,2,100,36.2,Savings,Fidelity Bank,Permanent
Bad,2,1.003611111,365,0,1,50,38.1,Savings,GT Bank,Unknown
Good,2,1.018888889,365,0,2,100,32.3,Other,Diamond Bank,Permanent
Good,2,1.003333333,365,0,1,50,47,Other,Access Bank,Permanent
Bad,2,1.018888889,365,0,0,0,31.7,Savings,Stanbic IBTC,Permanent
Good,2,1.019444444,334.5833333,0,2,100,31.4,Savings,UBA,Permanent
Good,2,1.003055556,365,0,2,100,30.5,Other,Diamond Bank,Permanent
Good,2,1.018888889,365,0,2,100,24.8,Savings,Access Bank,Student
Good,2,1.018888889,365,2,2,100,28.1,Savings,Diamond Bank,ContractRetiredUnemployed
Good,2,1.019166667,365,2,2,100,26.7,Savings,GT Bank,Unknown
Bad,2,1.003055556,365,0,0,0,25.7,Savings,GT Bank,Permanent
Bad,2,1.001944444,365,0,0,0,32,Savings,Zenith Bank,Permanent
Bad,2,1.003888889,365,0,1,50,21.6,Savings,GT Bank,Student
Good,2,1.02,365,2,2,100,38.2,Savings,FCMB,Permanent
Good,2,1.006666667,365,2,1,50,28.2,Savings,GT Bank,Permanent
Good,2,1.018611111,365,0,2,100,35.1,Savings,Sterling Bank,Permanent
Bad,2,1.019444444,365,0,1,50,39.4,Savings,UBA,Permanent
Good,2,1.018888889,365,2,2,100,38.2,Savings,First Bank,Permanent
Good,2,1.019166667,365,2,2,100,35.7,Savings,UBA,Permanent
Bad,2,1.018888889,365,0,1,50,22,Savings,EcoBank,Unknown
Good,2,1.003888889,365,2,2,100,34.7,Savings,First Bank,Permanent
Good,2,1.005,365,0,2,100,44.1,Savings,GT Bank,Permanent
Bad,2,1.018888889,365,0,1,50,25.1,Savings,UBA,Unknown
Good,2,1.002222222,365,0,1,50,42.3,Savings,Diamond Bank,Permanent
Good,2,1.004444444,365,2,1,50,25.8,Savings,Access Bank,Permanent
Bad,2,1.02,365,0,0,0,47.4,Savings,Access Bank,Permanent
Good,2,1.002777778,365,0,2,100,33.3,Savings,UBA,Permanent
Good,2,1.018888889,365,0,2,100,25.4,Savings,GT Bank,Permanent
Good,2,1.018611111,365,2,2,100,34.8,Savings,Zenith Bank,Permanent
Good,2,1.004444444,365,0,2,100,38.4,Savings,GT Bank,Permanent
Bad,2,1.003611111,365,0,0,0,32.3,Savings,GT Bank,Permanent
Good,2,1.018611111,365,0,2,100,37.7,Savings,FCMB,Permanent
Good,2,1.018888889,365,0,2,100,22.3,Savings,GT Bank,Permanent
Good,2,1.018888889,365,2,2,100,32.4,Savings,GT Bank,Permanent
Good,2,1.021666667,365,0,2,100,31.4,Savings,UBA,Permanent
Good,2,1.924166667,365,0,2,100,29.2,Savings,GT Bank,Unknown
Bad,2,1.019166667,365,0,0,0,34.7,Savings,FCMB,Unknown
Good,2,1.018888889,365,0,2,100,26.7,Savings,Stanbic IBTC,Permanent
Bad,2,1.018888889,365,0,0,0,39.4,Savings,Access Bank,Permanent
Good,2,1.003611111,365,0,1,50,23.4,Savings,Skye Bank,Permanent
Good,2,4.221388889,365,0,2,100,26.9,Savings,GT Bank,Permanent
Good,2,1.003055556,365,0,1,50,36.4,Savings,UBA,Permanent
Bad,2,1.018888889,365,0,1,50,34.5,Savings,Diamond Bank,Permanent
Good,2,1.005,365,0,2,100,31,Savings,Fidelity Bank,Permanent
Bad,2,1.003888889,365,0,1,50,25.1,Savings,GT Bank,Student
Bad,2,2.446666667,365,2,0,0,35.9,Savings,Stanbic IBTC,Permanent
Good,2,1.004166667,365,0,1,50,33,Savings,GT Bank,Permanent
Bad,2,1.003611111,365,0,1,50,44.6,Savings,Access Bank,Unknown
Bad,2,2.889166667,365,0,1,50,38.3,Savings,GT Bank,Permanent
Good,2,1.003055556,365,0,1,50,33.8,Savings,GT Bank,Permanent
Bad,2,1.019166667,365,0,1,50,37.9,Savings,GT Bank,Permanent
Good,2,1.018611111,365,2,2,100,36.8,Savings,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,42,Savings,EcoBank,Permanent
Bad,2,1.018888889,365,0,0,0,27.2,Savings,GT Bank,Permanent
Good,2,1.019444444,365,0,2,100,30.5,Other,UBA,Permanent
Good,2,1.018888889,365,0,1,50,33.4,Other,GT Bank,Unknown
Good,2,1.003333333,365,0,2,100,37.2,Savings,GT Bank,Permanent
Good,2,1.0025,365,0,2,100,26.6,Savings,GT Bank,Permanent
Bad,2,1.001944444,365,0,0,0,27,Savings,FCMB,Unknown
Good,2,1.018888889,365,2,2,100,28.6,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,27.8,Savings,GT Bank,Permanent
Good,2,1.018611111,365,0,2,100,26.5,Savings,First Bank,Permanent
Good,2,1.019722222,365,0,2,100,26.7,Savings,EcoBank,Permanent
Good,2,1.018333333,365,0,2,100,31,Savings,Diamond Bank,Permanent
Good,2,1.019166667,365,0,2,100,32.3,Savings,GT Bank,Permanent
Good,2,1.018888889,365,2,1,50,35.9,Savings,GT Bank,Permanent
Bad,2,1.018888889,365,0,0,0,29.3,Other,GT Bank,Permanent
Good,2,1.019166667,365,0,2,100,36.4,Other,Skye Bank,Permanent
Good,2,1.018611111,365,0,2,100,36.2,Other,First Bank,Permanent
Good,2,1.019722222,365,0,2,100,32.6,Savings,Diamond Bank,Permanent
Good,2,1.002222222,365,0,2,100,34.1,Savings,Skye Bank,Permanent
Good,2,1.999722222,365,2,2,100,29.6,Savings,GT Bank,Permanent
Good,2,1.018888889,365,0,2,100,34.3,Savings,Zenith Bank,Permanent
Good,2,1.018888889,365,2,1,50,34.2,Savings,Skye Bank,Permanent
Good,2,1.019166667,365,0,2,100,30.8,Savings,Standard Chartered,Permanent
Good,2,1.004166667,365,0,2,100,33.1,Savings,Zenith Bank,Unknown
Good,2,1.003888889,365,0,1,50,34.6,Savings,First Bank,Permanent
Good,2,1.004444444,365,0,1,50,38.6,Savings,Access Bank,Unknown
Bad,2,1.018888889,365,0,1,50,27.6,Savings,FCMB,Permanent
Good,2,1.004444444,365,0,2,100,29.2,Savings,Sterling Bank,Permanent
Bad,2,1.020277778,365,0,0,0,25.9,Savings,EcoBank,Permanent
Good,2,1.018888889,365,0,2,100,26.1,Savings,UBA,Permanent
Good,2,1.004166667,365,0,2,100,29.8,Savings,Fidelity Bank,Permanent
Good,2,1.018888889,365,0,2,100,28.9,Savings,Diamond Bank,Permanent
Good,2,1.018888889,365,0,1,50,22.4,Savings,Access Bank,Permanent
Good,2,1.018888889,365,0,2,100,24.2,Savings,First Bank,Permanent
Good,2,1.004444444,365,0,2,100,35.4,Savings,GT Bank,Unknown
Good,2,1.019166667,365,0,2,100,24.4,Savings,GT Bank,Student
Good,2,1.002777778,365,0,1,50,34.4,Savings,GT Bank,Permanent
Bad,2,1.910277778,365,0,0,0,32.4,Savings,GT Bank,Permanent
Bad,2,1.018888889,365,2,0,0,29.5,Savings,Sterling Bank,Permanent
Good,2,1.018888889,365,0,1,50,26,Savings,GT Bank,Permanent
Good,2,1.02,365,2,1,50,33.3,Savings,Skye Bank,Student
Good,2,1.020555556,365,2,2,100,47,Other,Stanbic IBTC,Permanent
Good,2,1.018888889,365,0,2,100,34.4,Savings,First Bank,Permanent
Good,2,1.019722222,365,0,1,50,26.3,Savings,EcoBank,Unknown
Good,2,1.018888889,365,0,1,50,32.9,Savings,Access Bank,Unknown
Bad,2,1.018888889,365,0,0,0,37,Savings,Access Bank,Permanent
Good,2,1.003611111,365,2,2,100,30.2,Savings,Skye Bank,Unknown
Bad,2,1.018888889,365,2,0,0,24.5,Savings,GT Bank,Unknown
Good,2,1.018611111,365,0,2,100,36.2,Savings,GT Bank,Permanent
Bad,2,1.021666667,365,2,1,50,27.9,Savings,GT Bank,Permanent
Good,2,1.009444444,365,0,1,50,34.7,Savings,Access Bank,Permanent
Good,2,1.002777778,365,0,2,100,43.8,Savings,GT Bank,Unknown
Good,2,1.018888889,365,2,2,100,27.9,Savings,GT Bank,Permanent
Good,2,1.002222222,365,2,2,100,31.4,Savings,Zenith Bank,Permanent
Good,2,1.019166667,365,0,1,50,26,Savings,GT Bank,Permanent
Bad,2,1.004722222,365,0,1,50,31.8,Savings,GT Bank,Student
Good,2,1.018611111,365,0,2,100,27,Savings,UBA,Permanent
Good,2,1.019444444,365,0,2,100,32.7,Other,Diamond Bank,Permanent
Good,2,1.018888889,365,0,2,100,24.3,Savings,Access Bank,Permanent
Bad,2,1.004444444,365,0,1,50,32.6,Savings,Fidelity Bank,Unknown
Good,2,1.005,365,2,1,50,31.6,Savings,GT Bank,Unknown
Bad,2,1.018888889,365,0,1,50,34.2,Savings,GT Bank,Permanent
