row_id,good_bad_flag,pct_ontime,total_ontime,max_active_of_loans,max_approval_duration,bank_name_clients,max_age_at_loan,avg_age_at_loan,employment_status,bank_account_type,total_referrals,avg_num_of_loans,total_num_of_loans,total_approval_duration,mean_approval_duration,max_interest_rate,mean_interest_rate,mean_referrals,max_churn_flag,mean_churn_flag,loannumber,loanamount,totaldue,termdays,longitude,latitude,validation
21,Bad,50,1,2,1.002222222,First Bank,41,40.7,Permanent,Savings,2,1.5,3,2.004444444,1.002222222,365,365,1,1,0.5,2,10000,13000,30,3.8920083,7.4083333,Test
22,Bad,50,1,2,1.018888889,UBA,34,34.3,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,0.5,2,10000,13000,30,4.5371415,7.7659524,Test
23,Good,100,2,2,1.019166667,First Bank,29,29.1,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,3.4573084,6.4362871,Training
24,Good,50,1,2,1.018888889,Keystone Bank,39,39.4,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,0.5,2,10000,11500,15,3.422685,6.4437749,Validation
25,Good,100,2,2,1.002777778,First Bank,30,29.9,Unknown,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,1,2,10000,13000,30,3.2406074,6.6607579,Training
26,Bad,50,1,2,1.018888889,Zenith Bank,42,41.7,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,13000,30,7.3545254,8.9651347,Validation
27,Good,100,2,2,1.018888889,GT Bank,28,27.5,Unknown,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,1,2,10000,11500,15,7.5861802,9.0146061,Test
28,Good,100,2,2,1.019722222,Access Bank,27,26.7,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,1,2,10000,13000,30,6.9918949,4.8726409,Test
29,Good,100,2,2,1.018888889,Zenith Bank,33,33.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,3.4617967,6.42786,Training
30,Bad,50,1,2,1.018888889,Access Bank,35,34.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,11500,15,6.204584,6.245407,Training
31,Bad,50,1,2,1.019166667,GT Bank,43,42.5,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,13000,30,4.84996,7.1090767,Validation
32,Good,100,2,2,1.018611111,GT Bank,33,33.1,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,6.7086242,6.2140277,Training
33,Good,50,1,2,1.018888889,Fidelity Bank,45,44.7,Permanent,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,0.5,2,10000,11500,15,7.6388622,9.0007978,Test
34,Bad,50,1,2,1.003055556,UBA,29,28.6,Unknown,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,0.5,2,10000,13000,30,7.0053893,4.9033645,Training
35,Good,100,2,2,1.018888889,First Bank,51,51.2,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,13000,30,11.3448923,8.9465271,Test
36,Bad,0,0,2,1.003055556,First Bank,27,26.8,Unknown,Savings,2,1.5,3,2.004722222,1.002361111,365,365,1,0,0,2,10000,13000,30,3.3768003,6.4898933,Training
37,Good,100,2,2,1.0025,GT Bank,41,41.1,Permanent,Savings,2,1.5,3,2.004444444,1.002222222,365,365,1,1,1,2,10000,13000,30,3.3321234,7.1359255,Validation
38,Good,100,2,2,1.018888889,Access Bank,26,26.4,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,1,2,10000,11500,15,4.5545448,8.5524512,Training
39,Bad,0,0,2,1.018888889,GT Bank,29,29.1,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,0,2,10000,11500,15,3.3656492,6.4404437,Test
40,Good,100,2,2,1.018888889,First Bank,31,31,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,334.5833333,0,1,1,2,10000,12500,30,94.6767649,55.3115991,Test
41,Good,50,1,2,1.018888889,UBA,31,30.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,13000,30,6.692518,6.1958371,Training
42,Good,100,2,2,1.018611111,Diamond Bank,35,35.2,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,1,2,10000,11500,15,3.3182795,6.6862199,Validation
43,Bad,50,1,2,1.018888889,Stanbic IBTC,34,33.5,Unknown,Savings,0,1.5,3,2.02,1.01,365,365,0,1,0.5,2,10000,11500,15,3.3029506,6.6297912,Training
44,Good,100,2,2,1.019444444,Access Bank,33,32.6,ContractRetiredUnemployed,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,1,2,10000,11500,15,3.2858723,6.5824439,Training
45,Bad,0,0,2,1.018888889,GT Bank,32,32.2,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,0,2,10000,11500,15,4.5220062,7.8296432,Training
46,Good,100,2,2,1.018888889,GT Bank,29,28.8,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,13000,30,7.469311,9.0274759,Test
47,Good,100,2,2,1.818055556,Stanbic IBTC,35,35.3,Permanent,Savings,2,1.5,3,2.822222222,1.411111111,365,365,1,1,1,2,10000,11500,15,3.379166,6.6194277,Test
48,Bad,50,1,2,1.019444444,Access Bank,22,21.8,Unknown,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,0.5,2,10000,13000,30,3.2534281,6.5121219,Validation
49,Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,1,2,10000,13000,30,3.3831598,6.6290094,Test
50,Bad,50,1,2,1.0025,Access Bank,36,36,Permanent,Savings,0,1.5,3,2.004444444,1.002222222,365,365,0,1,0.5,2,10000,13000,30,3.3262112,6.6348355,Test
51,Good,100,2,2,1.005,UBA,27,27.2,Unknown,Savings,2,1.5,3,2.006388889,1.003194444,365,365,1,1,1,2,10000,13000,30,3.3982718,6.4489034,Validation
52,Bad,50,1,2,1.018888889,Diamond Bank,36,36.5,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,0.5,2,10000,11500,15,3.3894469,6.5947509,Training
53,Good,50,1,2,1.018888889,Heritage Bank,42,42.1,Permanent,Other,0,1.5,3,2.023888889,1.011944444,365,365,0,1,0.5,2,10000,13000,30,3.4086944,6.4269995,Training
54,Good,50,1,2,1.019166667,Wema Bank,37,37.2,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,0.5,2,10000,11500,15,3.8237879,7.3820442,Validation
55,Bad,0,0,2,1.018611111,Sterling Bank,25,25.2,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,0,2,10000,13000,30,3.2877592,7.1772516,Training
56,Good,100,2,2,1.018888889,UBA,28,28.3,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,11500,15,3.4274473,6.4291349,Test
57,Good,100,2,2,1.019166667,Access Bank,30,29.8,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,1,2,10000,13000,30,3.321422,7.1299539,Test
58,Good,50,1,2,1.019722222,Access Bank,33,32.7,Permanent,Savings,2,1.5,3,2.021666667,1.010833333,365,365,1,1,0.5,2,10000,13000,30,7.3660052,9.1460831,Training
59,Good,100,2,2,1.002222222,EcoBank,35,34.7,Permanent,Savings,0,1.5,3,2.004166667,1.002083333,365,365,0,1,1,2,10000,13000,30,7.9117961,5.0372535,Validation
60,Good,100,2,2,1.018888889,GT Bank,37,37,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,13000,30,4.6120462,8.475389,Test
61,Good,100,2,2,1.019444444,Diamond Bank,36,35.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,13000,30,3.2940814,6.6315824,Training
62,Good,100,2,2,1.018888889,UBA,33,32.8,Unknown,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,1,2,10000,11500,15,3.2642226,6.6165615,Training
63,Good,100,2,2,1.019166667,UBA,32,32.1,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,273.75,0,1,1,2,10000,11500,15,3.9704655,6.5858269,Validation
64,Bad,0,0,2,1.003333333,Access Bank,31,31.1,Permanent,Savings,2,1.5,3,2.005833333,1.002916667,365,365,1,0,0,2,10000,13000,30,7.4515712,10.4549443,Validation
65,Good,100,2,2,1.002222222,Access Bank,35,34.9,Permanent,Other,0,1.5,3,2.004166667,1.002083333,365,365,0,1,1,2,10000,13000,30,3.3626771,6.4537352,Validation
66,Good,100,2,2,1.018888889,Skye Bank,42,42,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,1,2,10000,13000,30,3.3379693,6.7246877,Test
67,Bad,0,0,2,1.019166667,FCMB,23,22.9,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,0,2,10000,13000,30,8.3355696,5.0262751,Training
68,Bad,50,1,2,1.019166667,Access Bank,32,31.6,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,0.5,2,10000,13000,30,-92.391699,34.5501035,Training
69,Good,100,2,2,1.018888889,Zenith Bank,35,34.9,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,1,2,10000,13000,30,3.344965,6.6061828,Training
70,Bad,0,0,2,1.018888889,First Bank,53,52.5,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,0,2,10000,13000,30,6.5242494,9.6283896,Test
71,Good,50,1,2,1.002222222,Diamond Bank,38,37.6,Permanent,Savings,0,1.5,3,2.003888889,1.001944444,365,365,0,1,0.5,2,10000,13000,30,3.8176559,7.3632415,Training
72,Good,100,2,2,1.008055556,First Bank,35,35.1,Permanent,Savings,0,1.5,3,2.010277778,1.005138889,365,365,0,1,1,2,10000,13000,30,3.2648063,6.5762506,Training
73,Good,50,1,2,1.018611111,GT Bank,32,32,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,0.5,2,10000,11500,15,3.4383217,7.1866583,Training
74,Good,100,2,2,1.019166667,Zenith Bank,27,26.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,11500,15,6.1429231,6.7377853,Test
75,Good,100,2,2,1.019166667,UBA,34,34.1,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,1,2,10000,13000,30,4.7712486,6.5008999,Training
76,Good,50,1,2,1.003333333,UBA,33,33.1,Permanent,Savings,0,1.5,3,2.005833333,1.002916667,365,365,0,1,0.5,2,10000,13000,30,13.1637493,11.8532282,Training
77,Bad,50,1,2,1.018888889,Stanbic IBTC,28,27.8,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,0.5,2,10000,13000,30,8.3327217,4.9587243,Training
78,Good,100,2,2,1.019166667,Access Bank,39,38.9,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,1,2,10000,13000,30,8.5094601,8.5095298,Training
79,Good,100,2,2,1.001944444,UBA,30,30.4,Permanent,Savings,0,1.5,3,2.003333333,1.001666667,365,365,0,1,1,2,10000,13000,30,3.3617247,6.5103095,Validation
80,Bad,0,0,2,1.019166667,Access Bank,28,27.6,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,0,2,10000,13000,30,7.8722266,8.8361474,Training
81,Good,100,2,2,1.002222222,First Bank,34,34.3,Permanent,Savings,0,1.5,3,2.004166667,1.002083333,365,365,0,1,1,2,10000,11500,15,7.4883504,9.1329346,Test
82,Good,100,2,2,1.020555556,GT Bank,36,35.8,Unknown,Savings,0,1.5,3,2.022777778,1.011388889,365,365,0,1,1,2,10000,11500,15,3.4999799,6.6812131,Validation
83,Bad,0,0,2,1.003888889,GT Bank,29,28.7,Permanent,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,0,0,2,10000,11500,15,4.61952,8.4723117,Validation
84,Bad,50,1,2,1.004444444,GT Bank,35,34.9,Unknown,Savings,2,1.5,3,2.006388889,1.003194444,365,365,1,1,0.5,2,10000,11500,15,3.3661119,6.5975949,Test
85,Good,50,1,2,1.019166667,Sterling Bank,38,37.8,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,13000,30,3.3670083,6.4973131,Training
86,Good,50,1,2,1.019166667,Sterling Bank,38,37.8,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,13000,30,3.3670083,6.4973131,Training
87,Good,100,2,2,1.019166667,GT Bank,38,37.6,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,1,2,10000,13000,30,3.35697,6.6891717,Validation
88,Good,100,2,2,1.018888889,GT Bank,25,24.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,11500,15,6.695749,6.2030015,Training
89,Bad,0,0,2,1.018888889,GT Bank,35,34.7,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,0,2,10000,13000,30,3.43672,6.4269783,Test
90,Good,100,2,2,1.019166667,Skye Bank,31,30.5,Permanent,Savings,2,1.5,3,2.021388889,1.010694444,365,365,1,1,1,2,10000,13000,30,3.3466833,6.6216883,Training
91,Good,100,2,2,1.018888889,Wema Bank,37,37.2,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,1,2,10000,13000,30,3.503346,6.6316306,Validation
92,Good,100,2,2,1.018611111,Zenith Bank,24,24.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,7.0120454,4.8756519,Validation
93,Bad,50,1,2,1.018611111,UBA,25,25,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,0.5,2,10000,11500,15,3.9442413,7.4402696,Test
94,Good,100,2,2,1.018888889,GT Bank,31,31.5,Unknown,Savings,2,1.5,3,2.020277778,1.010138889,365,365,1,1,1,2,10000,11500,15,3.8717344,7.3574644,Test
95,Good,100,2,2,1.018888889,GT Bank,29,29.2,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,13000,30,3.363275,7.1455067,Training
96,Good,100,2,2,1.018888889,GT Bank,34,33.9,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,1,2,10000,13000,30,6.3211118,4.9383161,Test
97,Bad,0,0,2,1.018611111,GT Bank,37,37.2,Permanent,Savings,2,1.5,3,2.020277778,1.010138889,365,365,1,0,0,2,10000,11500,15,3.9120898,7.4109961,Test
98,Good,100,2,2,1.018888889,Zenith Bank,40,39.5,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,8.616696,7.712747,Validation
99,Good,100,2,2,1.018888889,Stanbic IBTC,36,36.3,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,1,2,10000,13000,30,7.4518268,10.4560748,Training
100,Good,100,2,2,1.018888889,UBA,26,25.5,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,334.5833333,0,1,1,2,10000,12500,30,3.3352713,6.6397855,Validation
101,Bad,0,0,2,1.018888889,GT Bank,27,27.4,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,0,2,10000,11500,15,3.0823159,6.5099619,Test
102,Bad,50,1,2,1.012222222,Diamond Bank,26,25.7,Permanent,Other,0,1.5,3,2.014444444,1.007222222,365,365,0,1,0.5,2,10000,13000,30,7.4881394,8.9752501,Test
103,Good,50,1,2,1.018888889,EcoBank,34,33.7,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,0.5,2,10000,13000,30,8.8869769,9.8798816,Test
104,Good,100,2,2,1.018888889,GT Bank,36,36.4,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,13000,30,3.3304699,6.6387778,Validation
105,Good,50,1,2,1.018611111,GT Bank,33,33.4,Permanent,Savings,0,1.5,3,2.02,1.01,365,365,0,1,0.5,2,10000,13000,30,6.268905,7.0707567,Test
106,Good,100,2,2,1.018888889,Zenith Bank,31,31.1,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,7.4058617,9.1129897,Validation
107,Good,100,2,2,1.019166667,UBA,41,41.2,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,13000,30,7.4687583,9.0697017,Validation
108,Good,100,2,2,1.018888889,Access Bank,51,51.3,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,11500,15,3.5934507,6.6680034,Test
109,Good,100,2,2,1.018611111,GT Bank,34,33.7,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,13000,30,6.9839034,4.8803064,Training
110,Bad,0,0,2,1.018611111,Zenith Bank,38,37.7,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,0,2,10000,13000,30,3.3264576,6.6855486,Training
111,Good,100,2,2,1.018888889,GT Bank,31,31,Permanent,Savings,2,1.5,3,2.037222222,1.018611111,365,365,1,1,1,2,10000,13000,30,3.5247072,6.4293923,Test
112,Good,100,2,2,1.019166667,Access Bank,25,24.9,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,13000,30,7.1544779,4.7179447,Test
113,Bad,50,1,2,1.019444444,GT Bank,33,32.6,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,0.5,2,10000,13000,30,3.2307054,6.6975815,Training
114,Bad,50,1,2,1.019444444,Zenith Bank,23,22.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,0.5,2,10000,13000,30,3.401424,6.5763448,Training
115,Bad,0,0,2,1.018888889,Access Bank,38,37.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,0,2,10000,13000,30,3.4845443,6.5548277,Test
116,Good,50,1,2,1.020277778,First Bank,28,28,Unknown,Other,0,1.5,3,2.023611111,1.011805556,365,365,0,1,0.5,2,10000,13000,30,5.7971047,5.4964304,Training
117,Bad,50,1,2,1.018888889,Diamond Bank,24,24.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,0.5,2,10000,13000,30,3.3286609,6.7038913,Training
118,Good,100,2,2,1.004166667,Diamond Bank,36,36.2,Unknown,Savings,0,1.5,3,2.005555556,1.002777778,365,365,0,1,1,2,10000,13000,30,3.2453548,6.6333374,Validation
119,Good,100,2,2,1.018611111,First Bank,32,31.5,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,1,2,10000,13000,30,7.0325303,4.8618601,Validation
120,Good,100,2,2,1.018888889,GT Bank,35,34.9,Unknown,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,1,2,10000,13000,30,5.5865086,6.437366,Training
121,Good,100,2,2,1.019166667,GT Bank,32,31.6,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,11500,15,7.5184632,10.4332387,Training
122,Bad,50,1,2,1.018888889,GT Bank,30,29.9,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,0.5,2,10000,13000,30,3.8582203,7.4654727,Validation
123,Good,50,1,2,1.019722222,Stanbic IBTC,37,37,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,0.5,2,10000,13000,30,3.3607768,6.5453099,Training
124,Bad,0,0,2,1.018611111,First Bank,48,47.9,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,0,2,10000,13000,30,5.2212845,7.60063,Validation
125,Good,100,2,2,1.020277778,UBA,39,38.9,Unknown,Savings,2,1.5,3,2.022222222,1.011111111,365,365,1,1,1,2,10000,13000,30,7.0721976,8.9493765,Validation
126,Bad,0,0,2,1.019166667,Zenith Bank,39,38.8,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,0,2,10000,13000,30,7.4498179,9.0579825,Training
127,Good,100,2,2,1.019166667,First Bank,34,34.1,Unknown,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,1,2,10000,13000,30,7.9669489,5.0285225,Training
128,Good,100,2,2,1.019166667,FCMB,37,37.1,Permanent,Other,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,13000,30,7.0619706,6.206776,Test
129,Good,100,2,2,1.018888889,Diamond Bank,30,29.9,Permanent,Other,0,1.5,3,2.020833333,1.010416667,365,365,0,1,1,2,10000,13000,30,3.3189043,6.6649115,Validation
130,Good,50,1,2,1.002777778,First Bank,28,27.3,Self-Employed,Other,0,1.5,3,2.005,1.0025,365,365,0,1,0.5,2,10000,13000,30,3.410251,6.4498213,Validation
131,Good,100,2,2,1.019722222,Skye Bank,29,28.7,Permanent,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,1,2,10000,13000,30,7.4567704,8.9803803,Test
132,Good,100,2,2,1.019166667,Stanbic IBTC,33,32.9,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,3.0851214,6.5334629,Test
133,Good,100,2,2,1.019166667,First Bank,32,32.1,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,1,2,10000,13000,30,3.4269933,6.4452736,Validation
134,Good,100,2,2,1.019722222,Diamond Bank,31,30.8,Permanent,Savings,0,1.5,3,2.039166667,1.019583333,365,365,0,1,1,2,10000,13000,30,8.9005635,9.8669047,Test
135,Bad,50,1,2,1.019166667,First Bank,24,23.9,Permanent,Savings,2,1.5,3,2.021388889,1.010694444,365,365,1,1,0.5,2,10000,11500,15,3.5246642,6.6592427,Validation
136,Bad,0,0,2,1.019444444,EcoBank,28,28,Unknown,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,0,0,2,10000,11500,15,5.6160622,6.3711057,Training
137,Good,100,2,2,1.018888889,EcoBank,41,41,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,4.541653,7.7835196,Training
138,Good,100,2,2,1.019166667,First Bank,37,37,Permanent,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,1,2,10000,13000,30,7.382452,9.1135353,Test
139,Good,50,1,2,1.0025,GT Bank,32,31.5,Permanent,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,0.5,2,10000,13000,30,7.0345541,4.8042933,Test
140,Bad,0,0,2,1.003055556,Access Bank,36,35.6,Permanent,Savings,2,1.5,3,2.005,1.0025,365,365,1,0,0,2,10000,13000,30,6.996932,4.8410375,Validation
141,Good,100,2,2,1.019166667,GT Bank,37,36.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,1,2,10000,13000,30,3.351153,6.6023723,Training
142,Good,100,2,2,1.003333333,First Bank,41,40.7,Permanent,Savings,2,1.5,3,2.005555556,1.002777778,365,365,1,1,1,2,10000,13000,30,7.3271843,8.9266109,Validation
143,Good,100,2,2,1.003055556,Stanbic IBTC,31,30.5,Permanent,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,1,2,10000,13000,30,5.8074201,5.5703712,Training
144,Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,1,2,10000,13000,30,4.5000978,8.4692431,Training
145,Good,100,2,2,1.003611111,GT Bank,40,40.2,Unknown,Savings,0,1.5,3,2.005833333,1.002916667,365,365,0,1,1,2,10000,13000,30,3.38218,6.6039583,Training
