,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,
24,Good,50,1,2,1.018888889,Keystone Bank,39,39.4,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,11500,15,Validation
25,Good,100,2,2,1.002777778,First Bank,30,29.9,Unknown,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,10000,13000,30,Training
26,Bad,50,1,2,1.018888889,Zenith Bank,42,41.7,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Validation
27,Good,100,2,2,1.018888889,GT Bank,28,27.5,Unknown,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,11500,15,Test
28,Good,100,2,2,1.019722222,Access Bank,27,26.7,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Test
29,Good,100,2,2,1.018888889,Zenith Bank,33,33.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
30,Bad,50,1,2,1.018888889,Access Bank,35,34.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Training
31,Bad,50,1,2,1.019166667,GT Bank,43,42.5,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Validation
32,Good,100,2,2,1.018611111,GT Bank,33,33.1,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
33,Good,50,1,2,1.018888889,Fidelity Bank,45,44.7,Permanent,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,10000,11500,15,Test
34,Bad,50,1,2,1.003055556,UBA,29,28.6,Unknown,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,10000,13000,30,Training
35,Good,100,2,2,1.018888889,First Bank,51,51.2,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Test
36,Bad,0,0,2,1.003055556,First Bank,27,26.8,Unknown,Savings,2,1.5,3,2.004722222,1.002361111,365,365,1,0,10000,13000,30,Training
37,Good,100,2,2,1.0025,GT Bank,41,41.1,Permanent,Savings,2,1.5,3,2.004444444,1.002222222,365,365,1,1,10000,13000,30,Validation
38,Good,100,2,2,1.018888889,Access Bank,26,26.4,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,11500,15,Training
39,Bad,0,0,2,1.018888889,GT Bank,29,29.1,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,10000,11500,15,Test
40,Good,100,2,2,1.018888889,First Bank,31,31,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,334.5833333,0,1,10000,12500,30,Test
41,Good,50,1,2,1.018888889,UBA,31,30.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
42,Good,100,2,2,1.018611111,Diamond Bank,35,35.2,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,11500,15,Validation
43,Bad,50,1,2,1.018888889,Stanbic IBTC,34,33.5,Unknown,Savings,0,1.5,3,2.02,1.01,365,365,0,1,10000,11500,15,Training
44,Good,100,2,2,1.019444444,Access Bank,33,32.6,ContractRetiredUnemployed,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,11500,15,Training
45,Bad,0,0,2,1.018888889,GT Bank,32,32.2,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,10000,11500,15,Training
46,Good,100,2,2,1.018888889,GT Bank,29,28.8,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
47,Good,100,2,2,1.818055556,Stanbic IBTC,35,35.3,Permanent,Savings,2,1.5,3,2.822222222,1.411111111,365,365,1,1,10000,11500,15,Test
48,Bad,50,1,2,1.019444444,Access Bank,22,21.8,Unknown,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,10000,13000,30,Validation
49,Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Test
50,Bad,50,1,2,1.0025,Access Bank,36,36,Permanent,Savings,0,1.5,3,2.004444444,1.002222222,365,365,0,1,10000,13000,30,Test
51,Good,100,2,2,1.005,UBA,27,27.2,Unknown,Savings,2,1.5,3,2.006388889,1.003194444,365,365,1,1,10000,13000,30,Validation
52,Bad,50,1,2,1.018888889,Diamond Bank,36,36.5,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,11500,15,Training
53,Good,50,1,2,1.018888889,Heritage Bank,42,42.1,Permanent,Other,0,1.5,3,2.023888889,1.011944444,365,365,0,1,10000,13000,30,Training
54,Good,50,1,2,1.019166667,Wema Bank,37,37.2,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Validation
55,Bad,0,0,2,1.018611111,Sterling Bank,25,25.2,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,10000,13000,30,Training
56,Good,100,2,2,1.018888889,UBA,28,28.3,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Test
57,Good,100,2,2,1.019166667,Access Bank,30,29.8,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,13000,30,Test
58,Good,50,1,2,1.019722222,Access Bank,33,32.7,Permanent,Savings,2,1.5,3,2.021666667,1.010833333,365,365,1,1,10000,13000,30,Training
59,Good,100,2,2,1.002222222,EcoBank,35,34.7,Permanent,Savings,0,1.5,3,2.004166667,1.002083333,365,365,0,1,10000,13000,30,Validation
60,Good,100,2,2,1.018888889,GT Bank,37,37,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Test
61,Good,100,2,2,1.019444444,Diamond Bank,36,35.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Training
62,Good,100,2,2,1.018888889,UBA,33,32.8,Unknown,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,11500,15,Training
63,Good,100,2,2,1.019166667,UBA,32,32.1,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,273.75,0,1,10000,11500,15,Validation
64,Bad,0,0,2,1.003333333,Access Bank,31,31.1,Permanent,Savings,2,1.5,3,2.005833333,1.002916667,365,365,1,0,10000,13000,30,Validation
65,Good,100,2,2,1.002222222,Access Bank,35,34.9,Permanent,Other,0,1.5,3,2.004166667,1.002083333,365,365,0,1,10000,13000,30,Validation
66,Good,100,2,2,1.018888889,Skye Bank,42,42,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,13000,30,Test
67,Bad,0,0,2,1.019166667,FCMB,23,22.9,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,10000,13000,30,Training
68,Bad,50,1,2,1.019166667,Access Bank,32,31.6,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Training
69,Good,100,2,2,1.018888889,Zenith Bank,35,34.9,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Training
70,Bad,0,0,2,1.018888889,First Bank,53,52.5,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,10000,13000,30,Test
71,Good,50,1,2,1.002222222,Diamond Bank,38,37.6,Permanent,Savings,0,1.5,3,2.003888889,1.001944444,365,365,0,1,10000,13000,30,Training
72,Good,100,2,2,1.008055556,First Bank,35,35.1,Permanent,Savings,0,1.5,3,2.010277778,1.005138889,365,365,0,1,10000,13000,30,Training
73,Good,50,1,2,1.018611111,GT Bank,32,32,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,11500,15,Training
74,Good,100,2,2,1.019166667,Zenith Bank,27,26.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Test
75,Good,100,2,2,1.019166667,UBA,34,34.1,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Training
76,Good,50,1,2,1.003333333,UBA,33,33.1,Permanent,Savings,0,1.5,3,2.005833333,1.002916667,365,365,0,1,10000,13000,30,Training
77,Bad,50,1,2,1.018888889,Stanbic IBTC,28,27.8,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
78,Good,100,2,2,1.019166667,Access Bank,39,38.9,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,10000,13000,30,Training
79,Good,100,2,2,1.001944444,UBA,30,30.4,Permanent,Savings,0,1.5,3,2.003333333,1.001666667,365,365,0,1,10000,13000,30,Validation
80,Bad,0,0,2,1.019166667,Access Bank,28,27.6,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,10000,13000,30,Training
81,Good,100,2,2,1.002222222,First Bank,34,34.3,Permanent,Savings,0,1.5,3,2.004166667,1.002083333,365,365,0,1,10000,11500,15,Test
82,Good,100,2,2,1.020555556,GT Bank,36,35.8,Unknown,Savings,0,1.5,3,2.022777778,1.011388889,365,365,0,1,10000,11500,15,Validation
83,Bad,0,0,2,1.003888889,GT Bank,29,28.7,Permanent,Savings,0,1.5,3,2.005277778,1.002638889,365,365,0,0,10000,11500,15,Validation
84,Bad,50,1,2,1.004444444,GT Bank,35,34.9,Unknown,Savings,2,1.5,3,2.006388889,1.003194444,365,365,1,1,10000,11500,15,Test
85,Good,50,1,2,1.019166667,Sterling Bank,38,37.8,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
86,Good,50,1,2,1.019166667,Sterling Bank,38,37.8,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
87,Good,100,2,2,1.019166667,GT Bank,38,37.6,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,10000,13000,30,Validation
88,Good,100,2,2,1.018888889,GT Bank,25,24.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Training
89,Bad,0,0,2,1.018888889,GT Bank,35,34.7,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,10000,13000,30,Test
90,Good,100,2,2,1.019166667,Skye Bank,31,30.5,Permanent,Savings,2,1.5,3,2.021388889,1.010694444,365,365,1,1,10000,13000,30,Training
91,Good,100,2,2,1.018888889,Wema Bank,37,37.2,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Validation
92,Good,100,2,2,1.018611111,Zenith Bank,24,24.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Validation
93,Bad,50,1,2,1.018611111,UBA,25,25,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Test
94,Good,100,2,2,1.018888889,GT Bank,31,31.5,Unknown,Savings,2,1.5,3,2.020277778,1.010138889,365,365,1,1,10000,11500,15,Test
95,Good,100,2,2,1.018888889,GT Bank,29,29.2,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Training
96,Good,100,2,2,1.018888889,GT Bank,34,33.9,Permanent,Savings,2,1.5,3,2.020555556,1.010277778,365,365,1,1,10000,13000,30,Test
97,Bad,0,0,2,1.018611111,GT Bank,37,37.2,Permanent,Savings,2,1.5,3,2.020277778,1.010138889,365,365,1,0,10000,11500,15,Test
98,Good,100,2,2,1.018888889,Zenith Bank,40,39.5,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Validation
99,Good,100,2,2,1.018888889,Stanbic IBTC,36,36.3,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,10000,13000,30,Training
100,Good,100,2,2,1.018888889,UBA,26,25.5,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,334.5833333,0,1,10000,12500,30,Validation
101,Bad,0,0,2,1.018888889,GT Bank,27,27.4,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,10000,11500,15,Test
102,Bad,50,1,2,1.012222222,Diamond Bank,26,25.7,Permanent,Other,0,1.5,3,2.014444444,1.007222222,365,365,0,1,10000,13000,30,Test
103,Good,50,1,2,1.018888889,EcoBank,34,33.7,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Test
104,Good,100,2,2,1.018888889,GT Bank,36,36.4,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Validation
105,Good,50,1,2,1.018611111,GT Bank,33,33.4,Permanent,Savings,0,1.5,3,2.02,1.01,365,365,0,1,10000,13000,30,Test
106,Good,100,2,2,1.018888889,Zenith Bank,31,31.1,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Validation
107,Good,100,2,2,1.019166667,UBA,41,41.2,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Validation
108,Good,100,2,2,1.018888889,Access Bank,51,51.3,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Test
109,Good,100,2,2,1.018611111,GT Bank,34,33.7,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Training
110,Bad,0,0,2,1.018611111,Zenith Bank,38,37.7,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,0,10000,13000,30,Training
111,Good,100,2,2,1.018888889,GT Bank,31,31,Permanent,Savings,2,1.5,3,2.037222222,1.018611111,365,365,1,1,10000,13000,30,Test
112,Good,100,2,2,1.019166667,Access Bank,25,24.9,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
113,Bad,50,1,2,1.019444444,GT Bank,33,32.6,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
114,Bad,50,1,2,1.019444444,Zenith Bank,23,22.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Training
115,Bad,0,0,2,1.018888889,Access Bank,38,37.8,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,10000,13000,30,Test
116,Good,50,1,2,1.020277778,First Bank,28,28,Unknown,Other,0,1.5,3,2.023611111,1.011805556,365,365,0,1,10000,13000,30,Training
117,Bad,50,1,2,1.018888889,Diamond Bank,24,24.3,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
118,Good,100,2,2,1.004166667,Diamond Bank,36,36.2,Unknown,Savings,0,1.5,3,2.005555556,1.002777778,365,365,0,1,10000,13000,30,Validation
119,Good,100,2,2,1.018611111,First Bank,32,31.5,Permanent,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,13000,30,Validation
120,Good,100,2,2,1.018888889,GT Bank,35,34.9,Unknown,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,1,10000,13000,30,Training
121,Good,100,2,2,1.019166667,GT Bank,32,31.6,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,11500,15,Training
122,Bad,50,1,2,1.018888889,GT Bank,30,29.9,Unknown,Savings,0,1.5,3,2.020277778,1.010138889,365,365,0,1,10000,13000,30,Validation
123,Good,50,1,2,1.019722222,Stanbic IBTC,37,37,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
124,Bad,0,0,2,1.018611111,First Bank,48,47.9,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,0,10000,13000,30,Validation
125,Good,100,2,2,1.020277778,UBA,39,38.9,Unknown,Savings,2,1.5,3,2.022222222,1.011111111,365,365,1,1,10000,13000,30,Validation
126,Bad,0,0,2,1.019166667,Zenith Bank,39,38.8,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,0,10000,13000,30,Training
127,Good,100,2,2,1.019166667,First Bank,34,34.1,Unknown,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,13000,30,Training
128,Good,100,2,2,1.019166667,FCMB,37,37.1,Permanent,Other,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
129,Good,100,2,2,1.018888889,Diamond Bank,30,29.9,Permanent,Other,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Validation
130,Good,50,1,2,1.002777778,First Bank,28,27.3,Self-Employed,Other,0,1.5,3,2.005,1.0025,365,365,0,1,10000,13000,30,Validation
131,Good,100,2,2,1.019722222,Skye Bank,29,28.7,Permanent,Savings,0,1.5,3,2.021666667,1.010833333,365,365,0,1,10000,13000,30,Test
132,Good,100,2,2,1.019166667,Stanbic IBTC,33,32.9,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Test
133,Good,100,2,2,1.019166667,First Bank,32,32.1,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Validation
134,Good,100,2,2,1.019722222,Diamond Bank,31,30.8,Permanent,Savings,0,1.5,3,2.039166667,1.019583333,365,365,0,1,10000,13000,30,Test
135,Bad,50,1,2,1.019166667,First Bank,24,23.9,Permanent,Savings,2,1.5,3,2.021388889,1.010694444,365,365,1,1,10000,11500,15,Validation
136,Bad,0,0,2,1.019444444,EcoBank,28,28,Unknown,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,0,10000,11500,15,Training
137,Good,100,2,2,1.018888889,EcoBank,41,41,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
138,Good,100,2,2,1.019166667,First Bank,37,37,Permanent,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,13000,30,Test
139,Good,50,1,2,1.0025,GT Bank,32,31.5,Permanent,Savings,0,1.5,3,2.004722222,1.002361111,365,365,0,1,10000,13000,30,Test
140,Bad,0,0,2,1.003055556,Access Bank,36,35.6,Permanent,Savings,2,1.5,3,2.005,1.0025,365,365,1,0,10000,13000,30,Validation
141,Good,100,2,2,1.019166667,GT Bank,37,36.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Training
142,Good,100,2,2,1.003333333,First Bank,41,40.7,Permanent,Savings,2,1.5,3,2.005555556,1.002777778,365,365,1,1,10000,13000,30,Validation
143,Good,100,2,2,1.003055556,Stanbic IBTC,31,30.5,Permanent,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,10000,13000,30,Training
144,Good,100,2,2,1.018888889,GT Bank,32,31.6,Permanent,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
145,Good,100,2,2,1.003611111,GT Bank,40,40.2,Unknown,Savings,0,1.5,3,2.005833333,1.002916667,365,365,0,1,10000,13000,30,Training
146,Bad,0,0,2,1.018888889,GT Bank,32,32.3,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,0,10000,13000,30,Training
147,Good,50,1,2,1.018888889,Skye Bank,38,37.7,Permanent,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,13000,30,Test
148,Good,50,1,2,1.018611111,GT Bank,44,43.7,Unknown,Savings,2,1.5,3,2.020277778,1.010138889,365,365,1,1,10000,13000,30,Training
149,Good,100,2,2,3.083055556,UBA,37,36.9,Permanent,Savings,2,1.5,3,4.084444444,2.042222222,365,365,1,1,10000,13000,30,Test
150,Good,100,2,2,1.210277778,Diamond Bank,39,39.3,Permanent,Savings,2,1.5,3,2.215833333,1.107916667,365,365,1,1,10000,13000,30,Training
151,Bad,50,1,2,1.019166667,GT Bank,33,33.2,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Test
152,Good,100,2,2,1.018888889,GT Bank,27,26.5,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,11500,15,Validation
153,Good,100,2,2,1.001944444,First Bank,32,31.7,Permanent,Savings,2,1.5,3,2.003888889,1.001944444,365,365,1,1,10000,11500,15,Test
154,Good,100,2,2,1.001944444,GT Bank,30,30.3,Permanent,Savings,0,1.5,3,2.003611111,1.001805556,365,365,0,1,10000,13000,30,Training
155,Good,50,1,2,1.019166667,EcoBank,33,33.1,Permanent,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,11500,15,Validation
156,Good,100,2,2,1.019166667,GT Bank,37,36.6,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,304.1666667,0,1,10000,11000,15,Training
157,Good,50,1,2,1.018888889,GT Bank,40,40.3,Unknown,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Test
158,Good,100,2,2,1.019166667,GT Bank,29,28.8,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Test
159,Good,50,1,2,1.020277778,Diamond Bank,32,32.2,Unknown,Savings,0,1.5,3,2.0225,1.01125,365,365,0,1,10000,11500,15,Test
160,Good,100,2,2,1.001944444,GT Bank,28,28.2,Permanent,Savings,0,1.5,3,2.003888889,1.001944444,365,365,0,1,10000,13000,30,Validation
161,Good,100,2,2,1.002222222,Zenith Bank,36,36.4,Permanent,Savings,0,1.5,3,2.003888889,1.001944444,365,365,0,1,10000,13000,30,Training
162,Bad,0,0,2,1.019166667,UBA,37,37.1,Permanent,Savings,2,1.5,3,2.021111111,1.010555556,365,365,1,0,10000,13000,30,Training
163,Good,100,2,2,1.018611111,GT Bank,35,35,Unknown,Savings,2,1.5,3,2.020833333,1.010416667,365,365,1,1,10000,13000,30,Validation
164,Good,100,2,2,1.018888889,Stanbic IBTC,30,30.3,Permanent,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Validation
165,Good,100,2,2,1.018888889,Access Bank,45,45.1,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Training
166,Good,50,1,2,1.002222222,Access Bank,22,22.2,Permanent,Savings,0,1.5,3,2.004444444,1.002222222,365,365,0,1,10000,13000,30,Validation
167,Good,50,1,2,1.003888889,FCMB,23,23.3,Permanent,Savings,0,1.5,3,2.005555556,1.002777778,365,365,0,1,10000,11500,15,Test
168,Good,50,1,2,1.018611111,FCMB,40,40.1,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Test
169,Bad,50,1,2,1.004722222,GT Bank,34,33.9,Permanent,Savings,0,1.5,3,2.006666667,1.003333333,365,365,0,1,10000,13000,30,Training
170,Good,100,2,2,1.018611111,GT Bank,24,23.7,Student,Savings,0,1.5,3,2.020833333,1.010416667,365,365,0,1,10000,11500,15,Test
171,Good,100,2,2,1.003333333,Fidelity Bank,39,39,Unknown,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,10000,13000,30,Validation
172,Good,50,1,2,1.003611111,First Bank,41,40.9,Unknown,Savings,0,1.5,3,2.005,1.0025,365,365,0,1,10000,13000,30,Validation
173,Good,100,2,2,1.019166667,Diamond Bank,32,32.1,Unknown,Savings,0,1.5,3,2.021111111,1.010555556,365,365,0,1,10000,13000,30,Test
174,Good,100,2,2,1.019444444,EcoBank,34,34.1,Permanent,Savings,0,1.5,3,2.021388889,1.010694444,365,365,0,1,10000,13000,30,Training
175,Good,100,2,2,1.018888889,GT Bank,42,41.6,Unknown,Savings,0,1.5,3,2.020555556,1.010277778,365,365,0,1,10000,13000,30,Validation
