,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,
2386,Good,First Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Savings,Norm,60.15,10000,13000,365,21,Savings,Test
2413,Good,GT Bank,60.17 - 60.23,Low - 28,9,15,High,High,No,Savings,Norm,60.18333333,10000,11500,365,21,Savings,Test
2649,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.35,10000,11500,365,21,Savings,Training
2829,Good,Diamond Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,21,Savings,Training
2970,Bad,First Bank,Low - 60.17,Low - 28,1,15,Low,Low,No,Savings,Norm,60.13333333,8000,9200,365,21,Savings,Training
3044,Good,Skye Bank,Low - 60.17,Low - 28,2,30,Med,Low,No,Other,Norm,60.15,10000,13000,365,21,Other,Training
3092,Bad,GT Bank,Low - 60.17,Low - 28,3,15,High,Low,No,Other,Norm,60.1,10000,11500,365,21,Other,Test
3116,Good,Diamond Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.21666667,10000,11500,365,21,Savings,Test
3125,Good,First Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.13333333,10000,13000,365,21,Savings,Test
3202,Good,Access Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.88333333,10000,11500,365,21,Savings,Training
3235,Good,EcoBank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,60.5,10000,13000,365,21,Savings,Validation
3394,Good,UBA,60.17 - 60.23,Low - 28,9,30,High,High,No,Other,Norm,60.21666667,10000,13000,365,21,Other,Training
3686,Good,Diamond Bank,Low - 60.17,Low - 28,3,15,High,Low,No,Other,Norm,60.15,5000,5750,365,21,Other,Validation
3918,Good,UBA,60.17 - 60.23,Low - 28,6,30,Med,High,No,Other,Norm,60.23333333,5000,6500,365,21,Other,Test
4076,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.26666667,10000,11500,365,21,Savings,Training
4333,Good,FCMB,60.23 - 61.13,Low - 28,6,15,Med,High,No,Other,Norm,60.4,10000,11500,365,21,Other,Test
77,Bad,GT Bank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,22,Savings,Validation
86,Good,UBA,60.17 - 60.23,Low - 28,3,30,Low,High,No,Other,Norm,60.2,10000,13000,365,22,Other,Test
92,Bad,First Bank,60.17 - 60.23,Low - 28,3,15,High,Low,No,Other,Norm,60.18333333,10000,11500,365,22,Other,Validation
201,Bad,Access Bank,61.13 - High,Low - 28,9,30,High,High,No,Savings,Norm,61.16666667,10000,13000,365,22,Savings,Training
235,Good,GT Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.2,10000,13000,365,22,Savings,Training
412,Good,GT Bank,Low - 60.17,Low - 28,1,30,Low,Low,No,Other,Norm,60.16666667,10000,13000,365,22,Other,Test
501,Good,Zenith Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Other,Norm,60.13333333,10000,11500,365,22,Other,Test
512,Good,First Bank,60.17 - 60.23,Low - 28,3,15,High,Low,No,Other,Norm,60.18333333,10000,11500,365,22,Other,Training
580,Good,Access Bank,Low - 60.17,Low - 28,3,15,Low,High,Yes,Savings,Norm,60.16666667,10000,11500,365,22,Savings,Test
605,Good,Access Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Savings,Norm,60.13333333,10000,11500,365,22,Savings,Training
725,Good,Fidelity Bank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,61.13333333,10000,13000,365,22,Savings,Validation
782,Good,First Bank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.15,10000,11500,365,22,Savings,Training
826,Bad,Zenith Bank,61.13 - High,Low - 28,9,15,High,High,Yes,Savings,Norm,61.2,10000,11500,365,22,Savings,Validation
863,Good,GT Bank,61.13 - High,Low - 28,3,30,Low,High,Yes,Savings,Norm,61.15,10000,13000,365,22,Savings,Training
1010,Good,GT Bank,60.17 - 60.23,Low - 28,3,15,High,Low,No,Savings,Norm,60.23333333,10000,11500,365,22,Savings,Test
1012,Good,Diamond Bank,Low - 60.17,Low - 28,2,30,Med,Low,No,Other,Norm,60.11666667,6000,7800,365,22,Other,Training
1030,Bad,GT Bank,60.23 - 61.13,Low - 28,2,15,Med,Low,No,Other,Norm,60.26666667,10000,11500,365,22,Other,Test
1038,Good,Diamond Bank,Low - 60.17,Low - 28,9,30,High,High,No,Other,Norm,60.15,10000,13000,365,22,Other,Training
1040,Good,FCMB,Low - 60.17,Low - 28,6,30,Med,High,No,Savings,Norm,60.16666667,10000,13000,365,22,Savings,Training
1086,Good,Zenith Bank,60.17 - 60.23,Low - 28,1,30,Low,Low,No,Other,Norm,60.2,10000,13000,365,22,Other,Training
1123,Good,GT Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Other,Norm,60.18333333,10000,13000,365,22,Other,Validation
1166,Good,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,22,Savings,Training
1168,Good,Diamond Bank,Low - 60.17,Low - 28,1,30,Low,Low,No,Other,Norm,60.16666667,10000,13000,365,22,Other,Training
1200,Good,First Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.3,10000,11500,365,22,Savings,Training
1282,Bad,GT Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.23333333,10000,13000,365,22,Savings,Test
1319,Bad,EcoBank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,22,Savings,Test
1336,Good,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.13333333,10000,13000,365,22,Savings,Training
1359,Good,Diamond Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.46666667,10000,13000,365,22,Savings,Training
1387,Good,First Bank,Low - 60.17,Low - 28,9,30,High,High,No,Other,Norm,60.1,10000,13000,365,22,Other,Test
1413,Bad,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,22,Savings,Validation
1428,Good,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,22,Savings,Training
1659,Good,Access Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Other,Norm,60.15,5000,5750,365,22,Other,Validation
1703,Good,First Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.18333333,10000,13000,365,22,Savings,Training
1711,Good,Stanbic IBTC,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,61.13333333,10000,11500,365,22,Savings,Validation
1795,Bad,Diamond Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,22,Savings,Training
1814,Good,Access Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,22,Savings,Test
2188,Good,Fidelity Bank,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.15,10000,11500,365,22,Savings,Test
2189,Good,Access Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,22,Savings,Training
2259,Bad,First Bank,60.17 - 60.23,Low - 28,3,30,High,Low,No,Savings,Norm,60.23333333,10000,13000,365,22,Savings,Validation
2438,Good,Zenith Bank,61.13 - High,Low - 28,1,15,Low,Low,No,Other,Norm,331.8166667,10000,11500,365,22,Other,Validation
2606,Bad,First Bank,60.17 - 60.23,Low - 28,9,15,High,High,No,Savings,Norm,60.21666667,10000,11500,365,22,Savings,Training
2749,Bad,UBA,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,22,Savings,Training
2759,Good,Diamond Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.26666667,10000,11500,365,22,Savings,Validation
2761,Good,Access Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,22,Savings,Validation
2870,Good,UBA,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.15,10000,11500,365,22,Savings,Validation
2950,Good,GT Bank,60.23 - 61.13,Low - 28,2,30,Med,Low,No,Other,Norm,61.13333333,10000,13000,365,22,Other,Training
2952,Bad,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.26666667,10000,13000,365,22,Savings,Validation
2978,Good,GT Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.21666667,10000,13000,365,22,Savings,Training
2999,Bad,Diamond Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.15,10000,13000,365,22,Other,Training
3031,Bad,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.2,10000,13000,365,22,Savings,Training
3269,Bad,GT Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.23333333,10000,11500,365,22,Savings,Validation
3275,Good,GT Bank,Low - 60.17,Low - 28,3,30,High,Low,No,Other,Norm,60.16666667,10000,13000,365,22,Other,Training
3331,Good,Access Bank,Low - 60.17,Low - 28,2,30,Med,Low,No,Other,Norm,60.16666667,10000,13000,365,22,Other,Test
3403,Good,UBA,Low - 60.17,Low - 28,6,15,High,Med,No,Other,Norm,60.16666667,10000,11500,365,22,Other,Training
3408,Good,GT Bank,Low - 60.17,Low - 28,9,30,High,High,No,Other,Norm,60.08333333,10000,13000,365,22,Other,Validation
3530,Bad,GT Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Other,Norm,60.2,10000,13000,365,22,Other,Training
3660,Bad,GT Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.06666667,10000,13000,365,22,Savings,Validation
3724,Good,Access Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Other,Norm,60.2,10000,13000,365,22,Other,Training
3777,Good,FCMB,Low - 60.17,Low - 28,1,15,Low,Low,No,Savings,Norm,60.15,10000,11500,365,22,Savings,Training
3789,Bad,GT Bank,60.17 - 60.23,Low - 28,6,30,Med,High,No,Savings,Norm,60.2,10000,13000,365,22,Savings,Test
3825,Good,Stanbic IBTC,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,22,Savings,Training
3909,Good,Stanbic IBTC,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.16666667,8000,10400,365,22,Savings,Training
3948,Good,UBA,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.21666667,10000,13000,365,22,Savings,Test
3954,Good,Diamond Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Other,Norm,60.15,10000,11500,365,22,Other,Training
3986,Bad,Diamond Bank,60.23 - 61.13,Low - 28,2,15,Med,Low,No,Other,Norm,60.25,10000,11500,365,22,Other,Test
4007,Bad,Zenith Bank,60.17 - 60.23,Low - 28,9,15,High,High,No,Savings,Norm,60.21666667,10000,11500,365,22,Savings,Training
4060,Bad,Zenith Bank,Low - 60.17,Low - 28,3,15,High,Low,No,Savings,Norm,60.13333333,10000,11500,365,22,Savings,Test
4124,Good,Fidelity Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Other,Norm,61.13333333,10000,11500,365,22,Other,Training
4147,Bad,UBA,Low - 60.17,Low - 28,9,15,High,High,No,Savings,Norm,60.11666667,10000,11500,365,22,Savings,Training
4165,Good,GT Bank,60.23 - 61.13,Low - 28,1,30,Low,Low,No,Other,Norm,60.55,7000,9100,365,22,Other,Validation
4171,Good,GT Bank,Low - 60.17,Low - 28,3,30,High,Low,No,Savings,Norm,60.11666667,10000,13000,365,22,Savings,Validation
4173,Good,Skye Bank,Low - 60.17,Low - 28,3,30,High,Low,No,Other,Norm,60.1,4000,5200,365,22,Other,Training
4182,Good,GT Bank,Low - 60.17,Low - 28,6,15,High,Med,No,Savings,Norm,60.13333333,10000,11500,365,22,Savings,Test
4240,Good,Diamond Bank,Low - 60.17,Low - 28,9,15,High,High,No,Other,Norm,60.1,3000,3450,365,22,Other,Training
4309,Good,UBA,60.23 - 61.13,Low - 28,6,30,Med,High,No,Savings,Norm,60.58333333,10000,13000,365,22,Savings,Validation
4336,Good,EcoBank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,60.46666667,7000,9100,365,22,Savings,Validation
56,Good,Diamond Bank,61.13 - High,Low - 28,3,30,Low,High,Yes,Savings,Norm,61.15,10000,13000,365,23,Savings,Validation
115,Good,First Bank,Low - 60.17,Low - 28,3,15,High,Low,No,Other,Norm,60.15,10000,11500,365,23,Other,Training
173,Bad,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.25,10000,13000,365,23,Savings,Test
268,Good,First Bank,Low - 60.17,Low - 28,9,15,High,High,No,Savings,Norm,60.15,10000,11500,365,23,Savings,Validation
287,Bad,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,23,Savings,Training
292,Bad,FCMB,61.13 - High,Low - 28,9,30,High,High,No,Savings,Norm,61.15,10000,13000,365,23,Savings,Test
398,Bad,Zenith Bank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.16666667,10000,11500,365,23,Savings,Validation
454,Good,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,61.11666667,10000,11500,365,23,Savings,Validation
608,Good,FCMB,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.23333333,10000,13000,365,23,Savings,Validation
694,Bad,GT Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,61.13333333,10000,11500,365,23,Savings,Test
719,Bad,Diamond Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,23,Savings,Test
730,Good,GT Bank,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.15,10000,11500,365,23,Savings,Test
847,Good,Access Bank,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,61.13333333,10000,13000,365,23,Savings,Training
920,Good,Stanbic IBTC,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.15,10000,11500,365,23,Savings,Validation
956,Good,Access Bank,60.17 - 60.23,Low - 28,9,15,High,High,No,Savings,Norm,60.2,10000,11500,365,23,Savings,Test
960,Good,Stanbic IBTC,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.25,10000,11500,365,23,Savings,Validation
1003,Good,Zenith Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Other,Norm,60.15,10000,13000,365,23,Other,Training
1018,Bad,Diamond Bank,Low - 60.17,Low - 28,6,15,Med,High,No,Savings,Norm,60.13333333,6000,6900,365,23,Savings,Validation
1070,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,23,Savings,Test
1103,Good,GT Bank,Low - 60.17,Low - 28,3,30,High,Low,No,Other,Norm,60.16666667,10000,13000,365,23,Other,Test
1120,Good,Wema Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.15,10000,13000,365,23,Savings,Test
1134,Good,FCMB,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.16666667,10000,13000,365,23,Other,Training
1141,Bad,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.15,10000,13000,365,23,Other,Training
1142,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Other,Norm,60.18333333,10000,13000,365,23,Other,Test
1144,Good,Zenith Bank,60.23 - 61.13,Low - 28,6,15,Med,High,No,Other,Norm,60.26666667,10000,11500,365,23,Other,Test
1160,Good,Stanbic IBTC,Low - 60.17,Low - 28,9,30,High,High,No,Other,Norm,60.1,10000,13000,365,23,Other,Training
1161,Bad,Stanbic IBTC,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.1,10000,13000,365,23,Savings,Training
1223,Good,Zenith Bank,60.23 - 61.13,Low - 28,3,15,Low,High,No,Savings,Norm,60.25,10000,11500,365,23,Savings,Validation
1290,Good,Access Bank,60.23 - 61.13,Low - 28,3,15,Low,High,Yes,Savings,Norm,60.25,10000,11500,365,23,Savings,Validation
1355,Good,Stanbic IBTC,Low - 60.17,Low - 28,3,15,Low,High,No,Other,Norm,60.1,6000,6900,365,23,Other,Training
1383,Good,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.1,10000,13000,365,23,Other,Training
1417,Bad,GT Bank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,60.46666667,10000,11500,365,23,Savings,Test
1443,Good,Wema Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,23,Savings,Validation
1507,Good,Skye Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,23,Savings,Training
1615,Good,Stanbic IBTC,Low - 60.17,Low - 28,3,15,Low,High,No,Other,Norm,60.11666667,10000,11500,365,23,Other,Validation
1637,Bad,GT Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.18333333,10000,13000,365,23,Savings,Validation
1666,Good,GT Bank,Low - 60.17,Low - 28,9,30,High,High,No,Other,Norm,60.15,8000,10400,365,23,Other,Validation
1667,Bad,GT Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Other,Norm,60.16666667,10000,13000,365,23,Other,Test
1686,Good,Stanbic IBTC,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.21666667,10000,13000,365,23,Savings,Training
1737,Good,GT Bank,Low - 60.17,Low - 28,1,15,Low,Low,No,Other,Norm,60.1,5000,5750,365,23,Other,Training
1750,Good,Zenith Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.2,10000,13000,365,23,Savings,Test
1786,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.23333333,10000,13000,365,23,Savings,Test
1800,Good,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Other,Norm,60.86666667,10000,13000,365,23,Other,Validation
1815,Bad,First Bank,Low - 60.17,Low - 28,9,15,High,High,No,Savings,Norm,60.16666667,10000,11500,365,23,Savings,Training
1832,Good,GT Bank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,23,Savings,Training
1884,Good,Skye Bank,60.17 - 60.23,Low - 28,6,30,Med,High,No,Other,Norm,60.2,10000,13000,365,23,Other,Test
1938,Bad,First Bank,Low - 60.17,Low - 28,9,30,High,High,No,Savings,Norm,60.16666667,10000,13000,365,23,Savings,Training
1972,Good,GT Bank,Low - 60.17,Low - 28,2,30,Low,Med,No,Savings,Norm,60.15,10000,13000,365,23,Savings,Test
2082,Bad,EcoBank,60.17 - 60.23,Low - 28,3,30,Low,High,No,Savings,Norm,60.18333333,10000,13000,365,23,Savings,Test
2093,Bad,FCMB,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.18333333,10000,11500,365,23,Savings,Test
2111,Good,Diamond Bank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,60.28333333,10000,11500,365,23,Savings,Training
2223,Good,Diamond Bank,61.13 - High,Low - 28,6,15,Med,High,No,Savings,Norm,82.36666667,10000,11500,365,23,Savings,Training
2249,Good,Diamond Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Other,Norm,60.51666667,5000,6500,365,23,Other,Test
2319,Good,Wema Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Other,Norm,60.2,10000,13000,365,23,Other,Validation
2370,Good,Fidelity Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.11666667,5000,6500,365,23,Savings,Test
2389,Bad,GT Bank,60.17 - 60.23,Low - 28,1,15,Low,Low,No,Savings,Norm,60.18333333,10000,11500,365,23,Savings,Test
2437,Bad,GT Bank,Low - 60.17,Low - 28,6,30,Med,High,No,Savings,Norm,60.16666667,10000,13000,365,23,Savings,Training
2490,Good,GT Bank,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.15,10000,11500,365,23,Savings,Validation
2555,Good,UBA,60.23 - 61.13,Low - 28,9,30,High,High,No,Savings,Norm,61.13333333,10000,13000,365,23,Savings,Training
2714,Good,Access Bank,60.23 - 61.13,Low - 28,3,15,Low,High,Yes,Savings,Norm,61.13333333,10000,11500,365,23,Savings,Training
2738,Bad,Access Bank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.15,10000,11500,365,23,Savings,Test
2932,Good,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.15,10000,13000,365,23,Other,Test
2933,Good,UBA,Low - 60.17,Low - 28,9,30,High,High,No,Other,Norm,60.16666667,10000,13000,365,23,Other,Training
2971,Bad,Skye Bank,60.23 - 61.13,Low - 28,9,15,High,High,No,Savings,Norm,60.3,10000,11500,365,23,Savings,Validation
2979,Good,Access Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.13333333,10000,13000,365,23,Savings,Training
2980,Good,GT Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.23333333,10000,13000,365,23,Savings,Training
2992,Bad,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.15,10000,13000,365,23,Savings,Test
3013,Bad,First Bank,60.17 - 60.23,Low - 28,3,30,High,Low,No,Savings,Norm,60.2,10000,13000,365,23,Savings,Training
3033,Good,GT Bank,Low - 60.17,Low - 28,3,30,High,Low,No,Other,Norm,60.13333333,10000,13000,365,23,Other,Test
3034,Good,Fidelity Bank,Low - 60.17,Low - 28,1,15,Low,Low,No,Other,Norm,60.15,8000,9200,365,23,Other,Training
3057,Good,UBA,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.16666667,10000,13000,365,23,Other,Training
3068,Good,GT Bank,60.17 - 60.23,Low - 28,9,30,High,High,No,Savings,Norm,60.2,10000,13000,365,23,Savings,Test
3081,Bad,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.41666667,10000,13000,365,23,Savings,Training
3132,Good,Standard Chartered,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.11666667,10000,13000,365,23,Other,Test
3137,Good,GT Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Other,Norm,60.15,10000,13000,365,23,Other,Validation
3217,Bad,Zenith Bank,Low - 60.17,Low - 28,9,15,High,High,No,Savings,Norm,60.15,6000,6900,365,23,Savings,Training
3278,Good,GT Bank,60.17 - 60.23,Low - 28,3,15,High,Low,No,Other,Norm,60.18333333,10000,11500,365,23,Other,Training
3311,Bad,UBA,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.11666667,10000,13000,365,23,Savings,Training
3314,Good,Diamond Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Other,Norm,60.18333333,8000,9200,365,23,Other,Training
3395,Bad,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Other,Norm,61.11666667,10000,13000,365,23,Other,Validation
3405,Good,Zenith Bank,Low - 60.17,Low - 28,2,15,Low,Med,No,Other,Norm,60.15,10000,11500,365,23,Other,Training
3448,Good,First Bank,60.17 - 60.23,Low - 28,3,15,Low,High,No,Savings,Norm,60.23333333,10000,11500,365,23,Savings,Test
3512,Good,GT Bank,61.13 - High,Low - 28,3,15,Low,High,No,Savings,Norm,61.15,10000,11500,365,23,Savings,Test
3531,Good,GT Bank,60.17 - 60.23,Low - 28,3,15,High,Low,No,Other,Norm,60.18333333,10000,11500,365,23,Other,Test
3540,Good,First Bank,60.17 - 60.23,Low - 28,9,15,High,High,No,Savings,Norm,60.23333333,10000,11500,365,23,Savings,Training
3559,Good,Diamond Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.15,10000,13000,365,23,Savings,Training
3563,Good,GT Bank,60.17 - 60.23,Low - 28,1,30,Low,Low,No,Other,Norm,60.2,10000,13000,365,23,Other,Training
3565,Good,UBA,60.17 - 60.23,Low - 28,3,30,Low,High,No,Other,Norm,60.2,10000,13000,365,23,Other,Validation
3615,Bad,UBA,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,61.11666667,10000,13000,365,23,Savings,Training
3635,Good,GT Bank,60.23 - 61.13,Low - 28,3,30,Low,High,No,Savings,Norm,60.3,10000,13000,365,23,Savings,Validation
3701,Good,Stanbic IBTC,61.13 - High,Low - 28,9,15,High,High,No,Savings,Norm,61.16666667,10000,11500,365,23,Savings,Validation
3736,Good,Zenith Bank,Low - 60.17,Low - 28,3,30,Low,High,No,Savings,Norm,60.16666667,10000,13000,365,23,Savings,Test
3749,Bad,GT Bank,Low - 60.17,Low - 28,3,15,Low,High,No,Savings,Norm,60.11666667,10000,11500,365,23,Savings,Training
3764,Bad,UBA,61.13 - High,Low - 28,9,30,High,High,No,Savings,Norm,61.15,10000,13000,365,23,Savings,Training
3781,Good,Access Bank,Low - 60.17,Low - 28,9,15,High,High,No,Other,Norm,60.13333333,10000,11500,365,23,Other,Validation
3804,Good,Zenith Bank,61.13 - High,Low - 28,3,30,Low,High,No,Savings,Norm,61.15,10000,13000,365,23,Savings,Training
