customerid,systemloanid,loannumber,approveddate,creationdate,DurApproval,loanamount,totaldue,termdays,termdays 2,Interestrate,referral,good_bad_flag of perf-trainperf,birthdate,AgeAtTimeofLoan,bank_account_type,bank_account_type_recode,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,employment_status_clients_Risk,employment_status_clients_Risk 2,level_of_education_clients,level_of_education_clients_Risk,level_of_education_clients 2,DemoCreditRating,Validation,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups
8a858e0a5a85cfaa015a89b1af345719,301828953,1,57:12.0,56:49.0,60.38333333,10000,13000,30,Norm,365,No,Good,00:00.0,30,Savings,Savings,3.3255134,6.4636791,Access Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,60.23 - 61.13,Norm
8a858e0a5b192e2e015b1948fba112cf,301876724,1,57:36.0,57:29.0,60.11666667,10000,13000,30,Norm,365,No,Bad,00:00.0,33,Savings,Savings,3.0363925,6.8878547,Diamond Bank,Permanent,Low,1,,High,3,3,Test,32 - 36,Low - 60.17,Norm
8a858e0a5b192e2e015b194726201191,301849059,1,05:44.0,05:25.0,60.31666667,10000,11500,15,Short,365,No,Good,00:00.0,24,Savings,Savings,3.3744114,6.6357817,GT Bank,Permanent,Low,1,,High,3,3,Test,Low - 28,60.23 - 61.13,Norm
8a858e0a565e71c40156652b73613d66,301891757,1,24:26.0,24:15.0,60.18333333,10000,13000,30,Norm,365,No,Good,00:00.0,30,Savings,Savings,7.4687117,9.0053581,Access Bank,Permanent,Low,1,,High,3,3,Test,28 - 32,60.17 - 60.23,Norm
8a858e0a5668e69c01566f643ad645a9,301674565,1,02:40.0,02:28.0,60.2,10000,13000,30,Norm,365,No,Good,00:00.0,44,Other,Other,3.5150748,6.4287105,GT Bank,Self-Employed,Med,2,Secondary,Med,2,4,Test,36 - High,60.17 - 60.23,Norm
8a858e0a5668e69c015669d6d4233c13,301893570,1,56:19.0,56:08.0,60.18333333,10000,13000,30,Norm,365,No,Good,00:00.0,27,Savings,Savings,4.5558341,7.7962433,Access Bank,Permanent,Low,1,,High,3,3,Validation,Low - 28,60.17 - 60.23,Norm
8a858e0a5668e69c01567a390d716175,301677716,1,31:03.0,30:50.0,60.21666667,10000,13000,30,Norm,365,No,Good,00:00.0,40,Other,Other,3.8664636,7.3297443,UBA,Permanent,Low,1,Graduate,Low,1,1,Validation,36 - High,60.17 - 60.23,Norm
8a858e0a5668e69c01567aa57c377762,301677842,1,01:22.0,01:12.0,60.16666667,10000,13000,30,Norm,365,No,Good,00:00.0,30,Other,Other,6.9502058,4.8094405,GT Bank,Student,High,3,,High,3,9,Training,28 - 32,Low - 60.17,Norm
8a858e0a5668e69c01567e19e7626d39,301680216,1,50:05.0,49:56.0,60.15,10000,13000,30,Norm,365,No,Bad,00:00.0,26,Savings,Savings,7.0801593,5.4794504,Zenith Bank,Student,High,3,,High,3,9,Test,Low - 28,Low - 60.17,Norm
8a858e0a5668e69c01567edcd2bc2bf8,301678665,1,11:13.0,11:04.0,60.15,10000,13000,30,Norm,365,No,Good,00:00.0,27,Other,Other,7.4833331,9.0666666,Skye Bank,Self-Employed,Med,2,,High,3,6,Validation,Low - 28,Low - 60.17,Norm
8a858e0a5668e69c01567fd20d2f6854,301679018,1,40:16.0,40:06.0,60.16666667,10000,11500,15,Short,365,No,Good,00:00.0,35,Other,Other,5.6903337,5.8857439,GT Bank,Permanent,Low,1,,High,3,3,Validation,32 - 36,Low - 60.17,Norm
8a858e0a5668e69c0156782807775d39,301680767,1,52:22.0,52:14.0,60.13333333,10000,13000,30,Norm,365,No,Good,00:00.0,47,Other,Other,3.431007,6.4551378,Access Bank,Permanent,Low,1,,High,3,3,Test,36 - High,Low - 60.17,Norm
8a858e0a5668e69c015680dcf84a7f9c,301681197,1,08:06.0,07:58.0,60.13333333,10000,13000,30,Norm,365,No,Good,00:00.0,51,Other,Other,3.1960999,6.4992127,GT Bank,Self-Employed,Med,2,,High,3,6,Validation,36 - High,Low - 60.17,Norm
8a858e0a5668e69c0156831b8a43116f,301679572,1,44:45.0,44:29.0,60.26666667,10000,13000,30,Norm,365,No,Good,00:00.0,24,Other,Other,3.4553466,6.7930779,EcoBank,Unemployed,High,3,,High,3,9,Validation,Low - 28,60.23 - 61.13,Norm
8a858e0b5cf4883c015cf7f00f2b1efc,301957253,1,50:19.0,49:11.0,61.13333333,10000,11500,15,Short,365,Yes,Bad,00:00.0,27,Savings,Savings,5.5920183,6.3235483,UBA,Permanent,Low,1,,High,3,3,Training,Low - 28,60.23 - 61.13,Norm
8a858e0b5cf4883c015cf7f015511f70,301957265,1,58:15.0,57:08.0,61.11666667,10000,13000,30,Norm,365,No,Good,00:00.0,38,Savings,Savings,3.3885508,6.4539447,EcoBank,Unknown,High,3,,High,3,9,Training,36 - High,60.23 - 61.13,Norm
8a858e0b5cf4883c015cf56488eb4d41,301957629,1,03:15.0,02:07.0,61.13333333,10000,13000,30,Norm,365,No,Good,00:00.0,41,Savings,Savings,5.6272822,6.3217533,First Bank,Permanent,Low,1,Secondary,Med,2,2,Test,36 - High,60.23 - 61.13,Norm
8a858e0b5cfa2028015cfd224a806b9a,301958711,1,21:04.0,19:56.0,61.13333333,10000,11500,15,Short,365,No,Good,00:00.0,31,Savings,Savings,3.3549943,6.5397064,GT Bank,Permanent,Low,1,,High,3,3,Test,28 - 32,60.23 - 61.13,Norm
8a858e0b5cfa2028015d034211a96a52,301959943,1,50:32.0,49:24.0,61.13333333,10000,13000,30,Norm,365,Yes,Good,00:00.0,29,Savings,Savings,7.4018074,9.1226869,First Bank,Unknown,High,3,,High,3,9,Training,28 - 32,60.23 - 61.13,Norm
8a858e0b5cfa2028015d092b47e27e30,301961614,1,46:15.0,45:04.0,61.18333333,10000,11500,15,Short,365,No,Good,00:00.0,34,Savings,Savings,3.2865452,6.6156567,UBA,Permanent,Low,1,,High,3,3,Validation,32 - 36,61.13 - High,Norm
8a858e0b5cfa2028015d099b789b229f,301962320,1,59:58.0,58:49.0,61.15,10000,11500,15,Short,365,No,Good,00:00.0,24,Savings,Savings,3.5224291,6.4247056,Diamond Bank,Unknown,High,3,,High,3,9,Test,Low - 28,61.13 - High,Norm
8a858e0b5d1d8104015d1da5234b0e90,301980877,1,53:03.0,51:50.0,61.21666667,10000,13000,30,Norm,365,No,Good,00:00.0,25,Savings,Savings,3.3546694,6.5791156,GT Bank,Permanent,Low,1,,High,3,3,Training,Low - 28,61.13 - High,Norm
8a858e0b5d1d8104015d1db8dcf31765,301968321,1,28:02.0,27:50.0,60.2,10000,11500,15,Short,365,No,Good,00:00.0,33,Savings,Savings,8.8464408,9.8824985,GT Bank,Permanent,Low,1,,High,3,3,Validation,32 - 36,60.17 - 60.23,Norm
8a858e0b5d1d8104015d1dcb82a0210c,301968623,1,50:34.0,50:22.0,60.2,10000,11500,15,Short,365,No,Good,00:00.0,44,Savings,Savings,3.1483217,6.4638023,GT Bank,Unknown,High,3,,High,3,9,Training,36 - High,60.17 - 60.23,Norm
8a858e0c5bf343de015bf734d8c57f92,301906998,1,08:29.0,08:13.0,60.26666667,10000,13000,30,Norm,365,No,Bad,00:00.0,30,Savings,Savings,7.4306571,10.5282429,GT Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,60.23 - 61.13,Norm
8a858e0c5bfceae6015bfcfabccb0a81,301903471,1,33:27.0,33:15.0,60.2,10000,11500,15,Short,365,No,Good,00:00.0,33,Savings,Savings,7.4730606,10.4684494,First Bank,Permanent,Low,1,,High,3,3,Validation,32 - 36,60.17 - 60.23,Norm
8a858e0c552ae0b8015543cb7d1a5cbd,301631556,1,56:25.0,56:17.0,60.13333333,5000,5750,15,Short,365,No,Good,00:00.0,30,Other,Other,3.4780827,6.6471457,Access Bank,Self-Employed,Med,2,,High,3,6,Validation,28 - 32,Low - 60.17,Norm
8a858e0c552ae0b80155504019352754,301632724,1,04:35.0,04:28.0,60.11666667,10000,11500,15,Short,365,No,Good,00:00.0,34,Other,Other,3.4231792,6.4540573,GT Bank,Permanent,Low,1,Graduate,Low,1,1,Validation,32 - 36,Low - 60.17,Norm
8a858e0c5519be5401551d86e3f71cba,301678997,1,12:36.0,12:25.0,60.18333333,10000,13000,30,Norm,365,No,Bad,00:00.0,31,Savings,Savings,5.1984532,7.6404166,Diamond Bank,Student,High,3,,High,3,9,Test,28 - 32,60.17 - 60.23,Norm
8a858e0c5519be540155224efeb83f2f,301631268,1,42:24.0,42:18.0,60.1,10000,13000,30,Norm,365,No,Good,00:00.0,27,Savings,Savings,3.374037,6.4812902,First Bank,Permanent,Low,1,,High,3,3,Validation,Low - 28,Low - 60.17,Norm
8a858e0d5aa8e240015aa8fb5bc5165f,301833442,1,17:04.0,15:53.0,61.18333333,10000,13000,30,Norm,365,No,Good,00:00.0,39,Savings,Savings,3.4183333,6.610727,UBA,Permanent,Low,1,,High,3,3,Test,36 - High,61.13 - High,Norm
8a858e0d59b23c720159b3a2d9a054bb,301815608,1,41:40.0,41:33.0,60.11666667,10000,11500,15,Short,365,No,Good,00:00.0,33,Savings,Savings,3.2623567,6.43968,Skye Bank,Unknown,High,3,,High,3,9,Validation,32 - 36,Low - 60.17,Norm
8a858e0d59b7438d0159b7e0aa7533cd,301797026,1,13:39.0,13:01.0,60.63333333,10000,11500,15,Short,365,No,Good,00:00.0,25,Savings,Savings,3.3813132,6.4939532,Zenith Bank,Permanent,Low,1,,High,3,3,Validation,Low - 28,60.23 - 61.13,Norm
8a858e0d59bbb9050159c0c33dfe4f9d,301799367,1,10:45.0,10:36.0,60.15,10000,11500,15,Short,365,No,Good,00:00.0,33,Savings,Savings,3.2856324,6.6135403,GT Bank,Unknown,High,3,,High,3,9,Training,32 - 36,Low - 60.17,Norm
8a858e0d59bbb9050159c1f9f1d667ec,301840803,1,21:24.0,21:06.0,60.3,10000,13000,30,Norm,365,No,Good,00:00.0,30,Savings,Savings,7.4345863,10.4829935,Diamond Bank,Permanent,Low,1,,High,3,3,Test,28 - 32,60.23 - 61.13,Norm
8a858e0d58625b41015862eadbe32d73,301758808,1,51:43.0,51:29.0,60.23333333,10000,11500,15,Short,365,No,Good,00:00.0,35,Savings,Savings,3.3006553,6.7034117,Stanbic IBTC,Permanent,Low,1,Graduate,Low,1,1,Training,32 - 36,60.17 - 60.23,Norm
8a858e0d58625b410158641fcfec1b72,301758966,1,39:13.0,39:01.0,60.2,10000,13000,30,Norm,365,No,Good,00:00.0,29,Savings,Savings,3.3112585,6.4633712,First Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,60.17 - 60.23,Norm
8a858e0d587161ab01587183d98f06c9,301762656,1,13:53.0,13:44.0,60.15,10000,13000,30,Norm,365,No,Good,00:00.0,24,Savings,Savings,5.200208,7.2513109,Union Bank,Student,High,3,,High,3,9,Validation,Low - 28,Low - 60.17,Norm
8a858e0e5b80bb4c015b81746a0f5481,301872294,1,43:17.0,43:06.0,60.18333333,10000,11500,15,Short,365,Yes,Good,00:00.0,32,Savings,Savings,7.3928096,9.1249753,Zenith Bank,Permanent,Low,1,,High,3,3,Training,32 - 36,60.17 - 60.23,Norm
8a858e0f5c45466f015c4a6560255de7,301919930,1,37:30.0,37:11.0,60.31666667,10000,13000,30,Norm,365,No,Good,00:00.0,34,Savings,Savings,3.3281894,6.4662308,Stanbic IBTC,Permanent,Low,1,,High,3,3,Test,32 - 36,60.23 - 61.13,Norm
8a858e0f5c45466f015c55c7e09d5e9c,301921941,1,17:13.0,17:02.0,60.18333333,10000,13000,30,Norm,365,No,Bad,00:00.0,30,Savings,Savings,7.8819306,8.8536729,UBA,Unknown,High,3,,High,3,9,Test,28 - 32,60.17 - 60.23,Norm
8a858e0f5c45466f015c518a7d2e5bbe,301928440,1,04:46.0,04:29.0,60.28333333,10000,11500,15,Short,365,No,Good,00:00.0,24,Savings,Savings,7.3585564,8.9748124,Skye Bank,Permanent,Low,1,,High,3,3,Validation,Low - 28,60.23 - 61.13,Norm
8a858e0f5c45466f015c546652e81026,301921129,1,45:48.0,45:34.0,60.23333333,10000,11500,15,Short,365,Yes,Bad,00:00.0,30,Savings,Savings,3.3029379,6.6263662,First Bank,Unknown,High,3,,High,3,9,Test,28 - 32,60.17 - 60.23,Norm
8a858e0f5c45466f015c5469454d1227,301939795,1,16:53.0,15:44.0,61.15,10000,13000,30,Norm,365,Yes,Good,00:00.0,23,Savings,Savings,6.9313152,4.8061756,Diamond Bank,Permanent,Low,1,,High,3,3,Validation,Low - 28,61.13 - High,Norm
8a858e0f5c45466f015c536697241575,301966511,1,05:35.0,05:25.0,60.16666667,10000,11500,15,Short,365,No,Good,00:00.0,34,Savings,Savings,8.8633286,9.8119354,Diamond Bank,Permanent,Low,1,,High,3,3,Validation,32 - 36,Low - 60.17,Norm
8a858e0f58afbace0158b64e22de02b4,301767465,1,02:27.0,02:10.0,60.28333333,10000,13000,30,Norm,365,No,Good,00:00.0,27,Savings,Savings,7.464168,5.5372662,Zenith Bank,Student,High,3,,High,3,9,Validation,Low - 28,60.23 - 61.13,Norm
8a858e0f58afbace0158b493ecd36d7f,301773960,1,59:16.0,59:04.0,60.2,10000,11500,15,Short,365,No,Good,00:00.0,34,Savings,Savings,3.3828068,6.6021278,GT Bank,Permanent,Low,1,,High,3,3,Training,32 - 36,60.17 - 60.23,Norm
8a858e0f58afbace0158cb199b892d2d,301782291,1,54:42.0,54:24.0,60.3,10000,11500,15,Short,365,No,Good,00:00.0,28,Savings,Savings,4.7175318,8.1396633,GT Bank,Permanent,Low,1,,High,3,3,Training,Low - 28,60.23 - 61.13,Norm
8a858e0f58d4699c0158d4894de00907,301770106,1,57:22.0,57:10.0,60.2,10000,11500,15,Short,365,No,Good,00:00.0,25,Savings,Savings,3.3426863,6.447937,Diamond Bank,Permanent,Low,1,,High,3,3,Training,Low - 28,60.17 - 60.23,Norm
8a858e0f5577f57901557ccf46ce3b55,301637162,1,36:42.0,36:33.0,60.15,9000,10350,15,Short,365,No,Good,00:00.0,44,Savings,Savings,3.3468346,6.5942889,GT Bank,Permanent,Low,1,,High,3,3,Training,36 - High,Low - 60.17,Norm
8a858e0f5577f579015581d14503059f,301659092,1,38:45.0,38:35.0,60.16666667,10000,11500,15,Short,365,No,Good,00:00.0,30,Other,Other,3.174916,6.6841814,Diamond Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,Low - 60.17,Norm
8a858e0f5577f57901558109093f578c,301637737,1,20:27.0,20:22.0,60.08333333,5000,5750,15,Short,365,No,Good,00:00.0,27,Other,Other,8.8897302,9.9135749,GT Bank,Self-Employed,Med,2,,High,3,6,Training,Low - 28,Low - 60.17,Norm
8a858e005b4830ef015b4833bcc6027e,301903195,1,06:13.0,06:02.0,60.18333333,10000,11500,15,Short,365,No,Good,00:00.0,36,Savings,Savings,5.2124771,7.6314657,Stanbic IBTC,Permanent,Low,1,,High,3,3,Test,32 - 36,60.17 - 60.23,Norm
8a858e005c2154c2015c2c44a86e0eaf,301914957,1,48:51.0,47:43.0,61.13333333,10000,11500,15,Short,365,Yes,Good,00:00.0,25,Savings,Savings,3.4454016,6.4361152,Stanbic IBTC,Permanent,Low,1,,High,3,3,Training,Low - 28,60.23 - 61.13,Norm
8a858e005c2154c2015c2cf818481eb3,301968633,1,09:49.0,09:33.0,60.26666667,10000,13000,30,Norm,365,No,Good,00:00.0,36,Savings,Savings,2.4464717,6.3691899,Diamond Bank,Unknown,High,3,,High,3,9,Validation,36 - High,60.23 - 61.13,Norm
8a858e005c2154c2015c2f5f6aac6594,301915256,1,18:48.0,17:40.0,61.13333333,10000,13000,30,Norm,365,No,Good,00:00.0,31,Savings,Savings,3.3496499,6.6060299,UBA,Permanent,Low,1,,High,3,3,Validation,28 - 32,60.23 - 61.13,Norm
8a858e005c2154c2015c2f54b7935fe5,301916342,1,40:55.0,39:47.0,61.13333333,10000,11500,15,Short,365,No,Good,00:00.0,37,Savings,Savings,3.9625763,7.4604206,Access Bank,Unknown,High,3,,High,3,9,Test,36 - High,60.23 - 61.13,Norm
8a858e005c2154c2015c2fb72f1e0b51,301963004,1,59:04.0,57:55.0,61.15,10000,13000,30,Norm,365,Yes,Good,00:00.0,39,Current,Other,3.3253233,6.6772667,Zenith Bank,Permanent,Low,1,,High,3,3,Test,36 - High,61.13 - High,Norm
8a858e005c2154c2015c30e623201bdd,301915652,1,17:49.0,16:41.0,61.13333333,10000,11500,15,Short,365,No,Good,00:00.0,41,Savings,Savings,3.322697,6.6277907,GT Bank,Permanent,Low,1,,High,3,3,Test,36 - High,60.23 - 61.13,Norm
8a858e005c2154c2015c218a9a451516,301920400,1,54:07.0,54:01.0,60.1,10000,13000,30,Norm,365,No,Bad,00:00.0,28,Savings,Savings,3.4515467,6.436961,FCMB,Permanent,Low,1,,High,3,3,Validation,Low - 28,Low - 60.17,Norm
8a858e005c2154c2015c258d28687efa,301929846,1,13:23.0,13:13.0,60.16666667,10000,13000,30,Norm,365,No,Good,00:00.0,28,Savings,Savings,3.3468977,6.637077,UBA,Unknown,High,3,,High,3,9,Training,Low - 28,Low - 60.17,Norm
8a858e005ca7abe3015ca9c692843861,301939390,1,59:16.0,58:08.0,61.13333333,10000,11500,15,Short,365,Yes,Good,00:00.0,47,Savings,Savings,3.871098,7.3473618,Diamond Bank,Permanent,Low,1,,High,3,3,Training,36 - High,60.23 - 61.13,Norm
8a858e005577f1ba015578147fc50f0c,301636587,1,38:45.0,38:34.0,60.18333333,8000,9200,15,Short,365,No,Good,00:00.0,34,Other,Other,3.3545075,6.5850413,Diamond Bank,Permanent,Low,1,,High,3,3,Test,32 - 36,60.17 - 60.23,Norm
8a858e0059416900015946224e1779e9,301894254,1,57:39.0,57:28.0,60.18333333,10000,13000,30,Norm,365,No,Bad,00:00.0,30,Savings,Savings,6.9979401,4.8319172,Stanbic IBTC,Permanent,Low,1,,High,3,3,Training,28 - 32,60.17 - 60.23,Norm
8a858e0059416900015959ea8c801312,301971825,1,06:09.0,05:01.0,61.13333333,10000,11500,15,Short,365,No,Bad,00:00.0,22,Savings,Savings,3.2059219,6.643403,GT Bank,Student,High,3,,High,3,9,Validation,Low - 28,60.23 - 61.13,Norm
8a858e005941690001596c6cde945968,301898405,1,14:49.0,14:36.0,60.21666667,10000,11500,15,Short,365,No,Good,00:00.0,28,Current,Other,4.5767446,7.5185773,Stanbic IBTC,Permanent,Low,1,,High,3,3,Validation,Low - 28,60.17 - 60.23,Norm
8a858e015c58ee6a015c592ed3541c4a,301933364,1,13:44.0,12:34.0,61.16666667,10000,11500,15,Short,365,No,Bad,00:00.0,33,Savings,Savings,3.3583366,6.4346996,First Bank,Permanent,Low,1,,High,3,3,Validation,32 - 36,61.13 - High,Norm
8a858e0156b782a10156b8e131824d39,301692434,1,25:48.0,25:39.0,60.15,10000,13000,30,Norm,365,No,Good,00:00.0,27,Other,Other,7.4572617,9.005805,Fidelity Bank,Permanent,Low,1,,High,3,3,Validation,Low - 28,Low - 60.17,Norm
8a858e0156b782a10156b96d30cb5b73,301692486,1,06:41.0,06:31.0,60.16666667,10000,13000,30,Norm,365,No,Good,00:00.0,28,Other,Other,7.3880845,9.1210136,Fidelity Bank,Self-Employed,Med,2,,High,3,6,Training,28 - 32,Low - 60.17,Norm
8a858e0156b782a10156bb6e91b8089a,301692766,1,23:45.0,23:35.0,60.16666667,10000,13000,30,Norm,365,No,Bad,00:00.0,32,Savings,Savings,4.555411667,7.493411667,GT Bank,Self-Employed,Med,2,Secondary,Med,2,4,Training,32 - 36,Low - 60.17,Norm
8a858e0156b782a10156bbef39622867,301884997,1,10:31.0,10:16.0,60.25,10000,11500,15,Short,365,No,Bad,00:00.0,31,Other,Other,3.5231228,6.4247372,GT Bank,Permanent,Low,1,,High,3,3,Training,28 - 32,60.23 - 61.13,Norm
8a858e0156b782a10156beb5c215582e,301964027,1,44:54.0,44:41.0,60.21666667,10000,11500,15,Short,365,No,Bad,00:00.0,37,Other,Other,7.3592521,8.9924654,GT Bank,Self-Employed,Med,2,,High,3,6,Training,36 - High,60.17 - 60.23,Norm
8a858e0156b782a10156beec8fb25d41,301694320,1,56:57.0,56:43.0,60.23333333,10000,13000,30,Norm,365,No,Good,00:00.0,27,Other,Other,3.6083256,6.4817141,GT Bank,Self-Employed,Med,2,Graduate,Low,1,2,Test,Low - 28,60.17 - 60.23,Norm
8a858e0156b782a10156c2f83bd248f2,301707411,1,06:57.0,06:45.0,60.2,10000,13000,30,Norm,365,No,Good,00:00.0,22,Other,Other,3.3913437,6.530161,UBA,Permanent,Low,1,,High,3,3,Test,Low - 28,60.17 - 60.23,Norm
8a858e0156b782a10156c72b56162057,301712105,1,27:41.0,27:29.0,60.2,10000,11500,15,Short,365,No,Good,00:00.0,35,Savings,Savings,3.5573894,6.463117,Stanbic IBTC,Self-Employed,Med,2,Primary,High,3,6,Test,32 - 36,60.17 - 60.23,Norm
8a858e0156b782a10156c74e46602d88,301696627,1,47:52.0,47:41.0,60.18333333,10000,11500,15,Short,365,No,Bad,00:00.0,29,Other,Other,7.3980912,6.4349228,Zenith Bank,Student,High,3,Post-Graduate,Low,1,3,Training,28 - 32,60.17 - 60.23,Norm
8a858e0156b782a10156c206b49d04ed,301694893,1,07:39.0,07:29.0,60.16666667,10000,13000,30,Norm,365,No,Good,00:00.0,42,Other,Other,3.3623516,6.5482963,GT Bank,Permanent,Low,1,,High,3,3,Training,36 - High,Low - 60.17,Norm
8a858e0156b782a10156c6613e7c4b5f,301696190,1,26:22.0,26:09.0,60.21666667,10000,11500,15,Short,365,No,Good,00:00.0,35,Other,Other,3.3567907,6.6217712,GT Bank,Permanent,Low,1,,High,3,3,Test,32 - 36,60.17 - 60.23,Norm
8a858e0156b782a10156c19772015fcd,301797469,1,37:52.0,37:38.0,60.23333333,10000,13000,30,Norm,365,No,Good,00:00.0,35,Other,Other,7.5749554,9.0251491,GT Bank,Permanent,Low,1,,High,3,3,Training,32 - 36,60.17 - 60.23,Norm
8a858e0156b782a10156d90febe93799,301699713,1,29:55.0,29:44.0,60.18333333,10000,11500,15,Short,365,No,Bad,00:00.0,22,Other,Other,5.6026117,6.3937633,First Bank,Unemployed,High,3,Graduate,Low,1,3,Validation,Low - 28,60.17 - 60.23,Norm
8a858e0156b782a10156d151957b56cc,301698151,1,23:44.0,23:34.0,60.16666667,10000,13000,30,Norm,365,No,Good,00:00.0,27,Other,Other,5.2066062,7.2284074,GT Bank,Self-Employed,Med,2,,High,3,6,Validation,Low - 28,Low - 60.17,Norm
8a858e0156b782a10156d773847c2452,301699443,1,18:43.0,18:34.0,60.15,10000,11500,15,Short,365,No,Good,00:00.0,28,Other,Other,4.1532063,7.6237409,First Bank,Self-Employed,Med,2,,High,3,6,Training,Low - 28,Low - 60.17,Norm
8a858e0156b782a10156dfbdd6a1331c,301774849,1,17:55.0,17:43.0,60.2,10000,13000,30,Norm,365,No,Good,00:00.0,49,Savings,Savings,5.710165,5.5934783,First Bank,Self-Employed,Med,2,,High,3,6,Training,36 - High,60.17 - 60.23,Norm
8a858e0156b782a10156e09c0f90725b,301770230,1,33:45.0,33:04.0,60.68333333,10000,13000,30,Norm,365,No,Good,00:00.0,35,Other,Other,7.430362,10.4847245,Zenith Bank,Permanent,Low,1,,High,3,3,Training,32 - 36,60.23 - 61.13,Norm
8a858e0159f57d2c0159f981d9044ac8,301811049,1,23:41.0,23:33.0,60.13333333,10000,13000,30,Norm,365,No,Good,00:00.0,32,Savings,Savings,3.4204889,6.4293619,GT Bank,Unknown,High,3,,High,3,9,Training,32 - 36,Low - 60.17,Norm
8a858e025ab3a6c2015ab74cfa5c4431,301835301,1,29:52.0,28:38.0,61.23333333,10000,11500,15,Short,365,Yes,Good,00:00.0,29,Savings,Savings,7.409596,9.0911591,Access Bank,Unemployed,High,3,,High,3,9,Validation,28 - 32,61.13 - High,Norm
