Source,good_bad_flag of perf-trainperf,termdays,referral,bank_account_type_recode,bank_name_clients,employment_status_clients_Risk,DemoCreditRating,AgeAtTimeofLoan Groups 2_25thPctile,DurApproval Groups,loanamount Groups,___Class___,___Validation___,No Weighting,Weighting,Undersampling,Oversampling,Tomek,SMOTE plus Tomek,Naive No Weighting,Naive Weighting,Naive Under Sampling,Naive Over Sampling,Naive SMOTE,Naive Tomek,Naive SMOTE plus Tomek,Neural No Weighting,Neural Weighting,Neural Under Sampling,Neural Over Sampling,Neural SMOTE,Neural Tomek,Neural SMOTE plus Tomek,BootstrapForest No Weighting,BootstrapForest Weighting,BootstrapForest Under Sampling,BootstrapForest Over Sampling,BootstrapForest SMOTE,BootstrapForest Tomek,BootstrapForest SMOTE plus Tomek,BoostedTree No Weighting,BoostedTree Weighting,BoostedTree Under Sampling,BoostedTree Over Sampling,BoostedTree SMOTE,BoostedTree Tomek,BoostedTree SMOTE plus Tomek,SVM No Weighting,SVM Weighting,SVM Under Sampling,SVM Over Sampling,SVM SMOTE,SVM Tomek,SVM SMOTE plus Tomek,GenReg No Weighting,GenReg Weighting,GenReg Under Sampling,GenReg Over Sampling,GenReg SMOTE,GenReg Tomek,GenReg SMOTE plus Tomek,Prob(good_bad_flag of perf-trainperf==Bad),Prob(good_bad_flag of perf-trainperf==Good),Most Likely good_bad_flag of perf-trainperf
Training Set for Newloandemo_4344,Good,30,No,Savings,Access Bank,Low,3,28 - 32,60.17 - 60.23,Norm,0,Training,1,1,1,1,1,1,0.268388,0.56876763,0.59096511,0.57720121,0.6453851,0.2755727,0.65068913,0.294366675,0.588510522,0.591193366,0.586836376,0.609527691,0.288445175,0.612085468,,,0.632841272,,,0.269579213,,0.219821453,0.497210122,0.56457265,0.515996148,0.524064198,0.225188799,0.57972594,0.37546678,0.77094478,0.75409048,0.81123678,0.67261551,0.54290915,0.66958337,0.375228012,0.654769547,0.600806845,0.647214273,0.793407913,0.412384308,0.791056222,0.415276693,0.584723307,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,Access Bank,Low,3,Low - 28,60.17 - 60.23,Norm,0,Training,1,1,0,1,1,1,0.35035812,0.6597707,0.67692796,0.68677771,0.74922928,0.36413242,0.76009176,0.335624236,0.66794173,0.687499901,0.76628778,0.733328574,0.333761099,0.806698961,,,0.654195241,,,0.313989401,,0.292445084,0.544057806,0.572351097,0.59717686,0.692581969,0.269901129,0.708010796,0.16423496,0.73303439,0.7980234,0.79915262,0.73735434,0.16409984,0.74457693,0.203284026,0.455629526,0.568114663,0.541501327,0.551036639,0.205347254,0.558370476,0.668173464,0.331826536,Bad
Training Set for Newloandemo_4344,Bad,30,No,Savings,Zenith Bank,High,9,Low - 28,Low - 60.17,Norm,1,Training,1,3.586726998,1,2,1,1,0.4702462,0.76080985,0.69253653,0.79112491,0.7932231,0.50081578,0.7891697,0.240801557,0.575629144,0.58777558,0.577278391,0.680826353,0.426677354,0.899574726,,,0.671475741,,,0.546868987,,0.783564304,0.705347344,0.635520989,0.684046711,0.78435615,0.618721202,0.775163737,0.88986746,0.78093959,0.71446581,0.79906494,0.73730514,0.911033,0.74440498,0.338972539,0.642470887,0.564727623,0.626642712,0.773005444,0.360622433,0.78709871,0.834290078,0.165709922,Bad
Training Set for Newloandemo_4344,Good,15,No,Other,GT Bank,Low,3,32 - 36,Low - 60.17,Norm,0,Training,1,1,0,1,1,1,0.07216962,0.21795206,0.24549159,0.20466,0.26060549,0.07400358,0.25320843,0.134078599,0.318277201,0.295908094,0.224440173,0.280026947,0.107150576,0.322480693,,,0.506605693,,,0.191579466,,0.134041525,0.37343055,0.467627749,0.354329185,0.193618797,0.135468727,0.229909506,0.16551278,0.24221984,0.24334004,0.1875505,0.1393045,0.16556177,0.12304032,0.145672961,0.375497598,0.411716231,0.367553474,0.24148768,0.142463678,0.212868118,0.31443699,0.685563011,Good
Training Set for Newloandemo_4344,Good,30,No,Other,Access Bank,Low,3,36 - High,Low - 60.17,Norm,0,Training,1,1,1,1,1,1,0.13727896,0.3632779,0.43249828,0.34301397,0.40383388,0.14105002,0.39725988,0.13793224,0.236737127,0.466455888,0.203876939,0.280694942,0.132868045,0.323779021,,,0.408466636,,,0.153348222,,0.175063843,0.455537662,0.363836231,0.420918315,0.282688416,0.182192901,0.210721295,0.16561978,0.40035054,0.49252959,0.37096699,0.18500671,0.16450195,0.17994196,0.198001174,0.46814696,0.522191123,0.459577793,0.650754652,0.211773134,0.653730418,0.256786364,0.743213636,Good
Training Set for Newloandemo_4344,Good,30,No,Other,GT Bank,Med,6,36 - High,Low - 60.17,Norm,0,Training,1,1,1,1,1,1,0.09189548,0.26536914,0.31138118,0.26870284,0.34056644,0.0999891,0.32404906,0.208011876,0.396773496,0.421876408,0.398368727,0.622034917,0.125411448,0.547437695,,,0.458674626,,,0.401841328,,0.175063843,0.431130886,0.425076538,0.398494289,0.721024749,0.182192901,0.688988325,0.16520751,0.37682527,0.29351107,0.39107093,0.66849169,0.47764096,0.72694958,0.175888308,0.435290781,0.434489681,0.415466808,0.51498163,0.184532077,0.520691847,0.781942699,0.218057301,Bad
Training Set for Newloandemo_4344,Good,30,No,Other,EcoBank,High,9,Low - 28,60.23 - 61.13,Norm,0,Validation,1,1,0,1,1,1,0.46900451,0.75940639,0.57602191,0.77098906,0.73970942,0.50850996,0.74107883,0.231988399,0.546592186,0.478954821,0.639939285,0.557696006,0.344800397,0.217107131,,,0.223085731,,,0.113611895,,0.115023066,0.246096305,0.238747283,0.378185163,0.138665641,0.147977251,0.577019721,0.03698584,0.27543416,0.3202773,0.26461433,0.20084852,0.02655783,0.19827385,0.186289873,0.404822739,0.314258127,0.444109839,0.161861376,0.172913076,0.137997741,0.62594206,0.37405794,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,EcoBank,High,9,36 - High,60.23 - 61.13,Norm,0,Training,1,1,1,1,1,1,0.53467134,0.80455425,0.68130057,0.82454142,0.79494422,0.56855718,0.79282253,0.337976092,0.570591398,0.580770007,0.701118387,0.683355069,0.328499331,0.636196159,,,0.389240499,,,0.13241164,,0.245842727,0.538555216,0.521685501,0.363507609,0.591048988,0.262273628,0.596128253,0.03010759,0.47356457,0.55651527,0.50245554,0.52115523,0.0733964,0.5234544,0.191468737,0.488766835,0.503034264,0.509186287,0.296940946,0.194651869,0.275648059,0.263180208,0.736819792,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,GT Bank,Low,3,28 - 32,60.23 - 61.13,Norm,0,Validation,1,1,0,1,1,1,0.16362651,0.41287828,0.42704126,0.38786543,0.51059087,0.16801396,0.51100999,0.157252446,0.415154956,0.434896696,0.389498636,0.490098734,0.182664481,0.491909821,,,0.494703522,,,0.22366919,,0.203884208,0.469683096,0.513112949,0.466037565,0.550020013,0.218297172,0.543491448,0.16581279,0.24230478,0.35170596,0.22609406,0.5091094,0.16545968,0.50016732,0.20028609,0.472254668,0.504499219,0.477543157,0.55194808,0.199383751,0.562541879,0.547674764,0.452325236,Bad
Training Set for Newloandemo_4344,Good,30,Yes,Savings,First Bank,High,9,28 - 32,60.23 - 61.13,Norm,0,Validation,1,1,0,1,1,1,0.4849366,0.77096726,0.71335006,0.7686909,0.78266204,0.51113232,0.78403715,0.366725127,0.536727382,0.593994006,0.562495272,0.755268144,0.266972497,0.369226397,,,0.544866732,,,0.211062157,,0.119412512,0.464333623,0.564278556,0.638732579,0.245503835,0.199377529,0.479857855,0.20547438,0.52019905,0.62031802,0.38885707,0.29089302,0.12542311,0.29574097,0.300697701,0.576889857,0.598927319,0.589810752,0.439388533,0.336110928,0.439703994,0.234971063,0.765028937,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,UBA,Low,3,32 - 36,61.13 - High,Norm,0,Training,1,1,1,1,1,0,0.13431946,0.35753136,0.35846126,0.3487807,0.4223835,0.14350509,0.42289183,0.14686948,0.390295861,0.370493765,0.494047507,0.51396327,0.15197642,0.65937465,,,0.242114484,,,0.134064643,,0.196365836,0.470992181,0.322641469,0.46194456,0.496134137,0.208849487,0.542035905,0.13416634,0.24228196,0.21320505,0.29281347,0.2269559,0.07969665,0.30890914,0.205410102,0.48667286,0.409282988,0.482496214,0.337541687,0.210073837,0.323192783,0.478693328,0.521306672,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,GT Bank,High,9,36 - High,60.17 - 60.23,Norm,0,Training,1,1,1,1,0,1,0.40630055,0.71032569,0.63979842,0.75537403,0.75664415,0.4242318,0.75211459,0.351125785,0.691881741,0.566894221,0.624100378,0.616427513,0.296946689,0.411399773,,,0.463316905,,,0.295552036,,0.141911039,0.461737687,0.467244517,0.447121288,0.531992063,0.199480217,0.640649045,0.16386107,0.69252317,0.69977051,0.6260812,0.60575575,0.16439072,0.56968411,0.261255948,0.552987922,0.523707321,0.568194608,0.739583138,0.279598944,0.747845393,0.457492484,0.542507516,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,First Bank,Low,3,32 - 36,60.17 - 60.23,Norm,0,Validation,1,1,0,1,1,1,0.1944737,0.46443638,0.47504175,0.47050343,0.53915431,0.20256056,0.54593968,0.22324054,0.489531048,0.498891431,0.555189267,0.563283317,0.243575369,0.506251993,,,0.570126032,,,0.176413466,,0.180295661,0.502807737,0.646633212,0.464625991,0.274711725,0.185139347,0.24516316,0.16555967,0.53526384,0.45520044,0.45431922,0.60298977,0.16406688,0.64271694,0.214832377,0.493948185,0.518846255,0.493562285,0.606362455,0.239872001,0.661298365,0.466890279,0.533109721,Good
Training Set for Newloandemo_4344,Good,15,No,Other,Access Bank,Med,6,28 - 32,Low - 60.17,Norm,0,Validation,1,1,1,1,1,0,0.10040911,0.28471785,0.30576587,0.24615049,0.32008616,0.11135193,0.3043358,0.211780308,0.381661366,0.409026196,0.193406939,0.457530395,0.114710311,0.383706549,,,0.427521941,,,0.21328749,,0.136869922,0.39295169,0.297321309,0.241386664,0.776425667,0.158960451,0.514789309,0.11835195,0.20251034,0.24003617,0.16332602,0.12894894,0.13659836,0.06790703,0.204529076,0.461506303,0.379743515,0.401206818,0.346537638,0.222847843,0.261452741,0.344053779,0.655946221,Good
Training Set for Newloandemo_4344,Good,15,No,Other,GT Bank,Low,1,32 - 36,Low - 60.17,Norm,0,Training,1,1,1,1,1,1,0.07333019,0.22068725,0.24321239,0.20739176,0.25733596,0.07520301,0.25020272,0.133740151,0.350449259,0.295813056,0.262594609,0.273660106,0.118483681,0.335428229,,,0.372939936,,,0.147776838,,0.122912163,0.227520136,0.102813977,0.257770817,0.174243448,0.135142645,0.11115788,0.12834678,0.25357181,0.23108903,0.23711588,0.1246579,0.15327222,0.11985368,0.134361154,0.359654316,0.405521794,0.34890183,0.231209241,0.130739007,0.211317633,0.233210437,0.766789563,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,First Bank,Low,3,Low - 28,Low - 60.17,Norm,0,Validation,1,1,0,1,1,1,0.28046064,0.58361483,0.59849754,0.59558192,0.66946575,0.29652074,0.67790858,0.238483959,0.557969585,0.638698165,0.669856399,0.828697085,0.349915138,0.506872971,,,0.510131615,,,0.277350268,,0.22926948,0.539267303,0.540304841,0.536925977,0.667809602,0.276620149,0.683389989,0.16611109,0.63747703,0.62799235,0.49428968,0.7232111,0.16616056,0.72841475,0.236262823,0.539087962,0.508422959,0.52115744,0.638678852,0.257695237,0.630504411,0.544974867,0.455025133,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,UBA,Low,3,36 - High,61.13 - High,Norm,0,Training,1,1,0,1,1,1,0.18645416,0.45140721,0.4777953,0.46167599,0.53406014,0.19721831,0.53593846,0.175019175,0.404137353,0.472698878,0.649168413,0.41482739,0.237302863,0.68069579,,,0.699765583,,,0.317835321,,0.219472731,0.50290442,0.561745265,0.517412958,0.541530828,0.238296177,0.542468895,0.16659222,0.52177732,0.66715797,0.4766081,0.73729522,0.16494127,0.7445463,0.218200225,0.508665192,0.575057211,0.509879976,0.529041377,0.232647072,0.525598323,0.676865047,0.323134953,Bad
Training Set for Newloandemo_4344,Good,15,No,Savings,Zenith Bank,Low,3,Low - 28,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.21992647,0.50317456,0.52717406,0.48194736,0.60437054,0.23311601,0.61027857,0.230240982,0.576878671,0.525591415,0.576581782,0.627032421,0.247619139,0.373399444,,,0.356103598,,,0.070861191,,0.218329272,0.524081281,0.581347358,0.316990786,0.411390709,0.219985613,0.426382587,0.16421828,0.38923623,0.610479,0.39002703,0.66483688,0.16361458,0.68830288,0.230223362,0.531110227,0.508422959,0.503881756,0.609299454,0.248199494,0.60331517,0.183494743,0.816505257,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,GT Bank,High,9,32 - 36,Low - 60.17,Norm,0,Training,1,1,0,1,1,1,0.30193266,0.60771731,0.52493526,0.63923361,0.64223459,0.31944252,0.6295178,0.238236444,0.400412123,0.485630213,0.547394282,0.589287612,0.249205259,0.62860397,,,0.442622573,,,0.121348881,,0.152992016,0.430245361,0.479126639,0.245160814,0.589225643,0.152537834,0.59759084,0.16335217,0.56368437,0.66294527,0.4947998,0.56658393,0.16485276,0.52088559,0.248849902,0.531887172,0.510006978,0.547303524,0.665853534,0.262592283,0.656642051,0.245999328,0.754000672,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,Diamond Bank,Low,3,28 - 32,60.23 - 61.13,Norm,0,Training,1,1,0,1,1,1,0.14840143,0.38507399,0.33233696,0.36823533,0.49372241,0.15106429,0.49793089,0.149307305,0.453943253,0.33487412,0.385388182,0.544294731,0.156298914,0.471030897,,,0.304042721,,,0.07863305,,0.223066484,0.50290442,0.48666739,0.511553067,0.561065273,0.231213276,0.556778479,0.11255209,0.27333483,0.2950929,0.27579048,0.38189,0.09916744,0.34890218,0.155966343,0.349742443,0.508422959,0.346166608,0.299012113,0.153595077,0.277725202,0.240551266,0.759448734,Good
Training Set for Newloandemo_4344,Good,15,No,Savings,Stanbic IBTC,Low,1,32 - 36,60.17 - 60.23,Norm,0,Validation,1,1,0,1,1,1,0.10440369,0.29450015,0.2859095,0.30872196,0.31887458,0.11711141,0.3161143,0.144584848,0.346601405,0.329981288,0.393875233,0.31883039,0.154462024,0.31872249,,,0.344348081,,,0.087145124,,0.100628497,0.102508614,0.42576999,0.34041701,0.1670764,0.188727061,0.126588398,0.10995496,0.22483052,0.22689873,0.25315943,0.11268705,0.11536035,0.10537887,0.18287257,0.433945544,0.459546958,0.447886107,0.348064452,0.197588934,0.319531777,0.261198795,0.738801205,Good
Training Set for Newloandemo_4344,Good,30,No,Savings,First Bank,Low,3,28 - 32,60.17 - 60.23,Norm,0,Validation,1,1,0,1,1,1,0.25585268,0.55283321,0.55219126,0.56402284,0.63064547,0.2650784,0.63867579,0.24855741,0.573545821,0.55233522,0.57729981,0.683357805,0.302113001,0.634550589,,,0.531504818,,,0.382174545,,0.219821453,0.527736553,0.5011902,0.515996148,0.559263885,0.225188799,0.565046061,0.16639028,0.78090145,0.63855612,0.78657557,0.73734535,0.16574813,0.74438397,0.228040815,0.515938845,0.532525987,0.520941874,0.697450803,0.259167344,0.699797412,0.596735781,0.403264219,Bad
Training Set for Newloandemo_4344,Good,30,No,Savings,Union Bank,High,9,Low - 28,Low - 60.17,Norm,0,Training,1,1,1,1,1,1,0.59121813,0.83702072,0.53139126,0.87004987,0.66138676,0.60461972,0.65823361,0.368304528,0.677345048,0.567906606,0.76368792,0.573639472,0.45679403,0.432025853,,,0.483748024,,,0.333840288,,0.243958552,0.635270918,0.635520989,0.684046711,0.728498462,0.269254084,0.530530344,0.16491101,0.76300144,0.68301773,0.80206054,0.5694082,0.16447978,0.56534394,0.338972539,0.642470887,0.536085924,0.626642712,0.220205611,0.360622433,0.186579675,0.455226716,0.544773284,Good
Training Set for Newloandemo_4344,Good,15,Yes,Savings,Zenith Bank,Low,3,32 - 36,60.17 - 60.23,Norm,0,Validation,1,1,0,1,1,1,0.15622071,0.39860494,0.48894304,0.40289757,0.47084771,0.16366639,0.47423199,0.230111,0.577091761,0.502785648,0.577268203,0.494306228,0.153476928,0.587793748,,,0.495212144,,,0.238893242,,0.047789327,0.289601237,0.216794964,0.237194035,0.401366232,0.176237892,0.428294189,0.38024814,0.40876408,0.37935176,0.52630955,0.48642065,0.2600496,0.52187904,0.216274057,0.507926167,0.508422959,0.503665819,0.532260319,0.227417306,0.562810305,0.528459931,0.471540069,Bad
Training Set for Newloandemo_4344,Bad,30,No,Savings,UBA,High,9,28 - 32,60.17 - 60.23,Norm,1,Training,1,3.586726998,1,2,1,1,0.47835754,0.76671149,0.60321766,0.78490755,0.78152899,0.50921342,0.78426101,0.361481043,0.720494984,0.51710339,0.785175063,0.702779426,0.341545383,0.701330785,,,0.541467083,,,0.34382065,,0.250498237,0.509211261,0.559828459,0.535159042,0.76392859,0.254158147,0.632775428,0.17455446,0.67043226,0.56470679,0.56353998,0.69706088,0.17079861,0.71917849,0.219445552,0.512428402,0.555992097,0.52024911,0.740867286,0.2354748,0.730358566,0.885579602,0.114420398,Bad
